rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.35510364007597134,0.35342798670317727,2.8078142257561513e-06,100
2,0.13425926540749258,0.13579367528417574,2.3544136696628213e-06,100
3,0.07103346889130543,0.07760212346826237,4.3147222951377275e-05,99
4,0.04661618228551347,0.052174482330033294,3.089469938490904e-05,93
5,0.03775878798493154,0.03834619979864327,3.4505263888809946e-07,85
6,0.029248588236255132,0.02981619439340512,3.2217674963457824e-07,76
7,0.023278815068161266,0.02410269701959982,6.787814699062015e-07,65
8,0.019220367222024443,0.020046416747394536,6.823578183641567e-07,59
9,0.016025716879140124,0.017039085169678496,1.0269152922686618e-06,50
10,0.01260040740249444,0.014733330691811557,4.549361758111351e-06,40
11,0.010041902916986898,0.01291751668706395,8.269154554656753e-06,35
12,0.009195933137197564,0.01145594229092078,5.10764137491273e-06,28
13,0.008018527063636538,0.010257915343070554,5.014859866066443e-06,25
14,0.007020134135084958,0.009260709212881881,5.020176679244689e-06,21
15,0.006371139292317878,0.00841966862633355,4.19647243232269e-06,17
16,0.005202026812009814,0.0077022100932067575,6.250916439576716e-06,16
17,0.005154433074607343,0.007084046858975524,3.7234093568236924e-06,16
18,0.004622321269853568,0.006546736777282882,3.7033750452344252e-06,14
19,0.004431768834538458,0.006076044801401018,2.7036434552018044e-06,13
20,0.004431768834538458,0.005660822569488533,1.5105730833947284e-06,13
21,0.003380788579339606,0.00529222512195662,3.653589656451686e-06,11
22,0.00329657398119915,0.004963152700055585,2.7774846261451565e-06,11
23,0.003252372085653489,0.004667846038137648,2.0035665101611277e-06,10
24,0.003252372085653489,0.004401588346295973,1.3206980137250945e-06,10
25,0.00309046762400328,0.004160482741374962,1.1449323514039352e-06,10
26,0.0028739447897481816,0.003941283875629661,1.1392127242503122e-06,10
27,0.0025491359583878293,0.003741269058678487,1.4211813288086158e-06,9
28,0.0025600485825840284,0.0035581385376008533,9.961835583054877e-07,8
29,0.0025600485825840284,0.0033899375658764386,6.887157245901102e-07,8
30,0.0025600485825840284,0.0032349949366203418,4.5555258082691244e-07,8
31,0.0025600485825840284,0.0030918740856373575,2.8283836569792657e-07,8
32,0.002200620677720565,0.0029593338833288746,5.756457283644373e-07,8
33,0.002200620677720565,0.0028362969616629523,4.040843379668027e-07,8
34,0.0018524551434530633,0.0027218239501601966,7.558021220753849e-07,7
35,0.0017436694579617005,0.0026150923819622616,7.593779124736877e-07,7
36,0.0017436694579617005,0.002515379317857883,5.955361078609859e-07,7
37,0.0017436694579617005,0.0024220469506309656,4.601960225602389e-07,7
38,0.0017436694579617005,0.0023345306139168193,3.491169056166193e-07,7
39,0.0017436694579617005,0.0022523287428521796,2.5873426810529357e-07,7
