verb,subject,frequency,rank,total,proportion
go,you,407,1,944,0.4311440677966102
go,i,89,2,944,0.09427966101694915
go,she,80,3,944,0.0847457627118644
go,it,58,4,944,0.0614406779661017
go,we,54,5,944,0.057203389830508475
go,they,39,6,944,0.0413135593220339
go,that,34,7,944,0.036016949152542374
go,he,25,8,944,0.026483050847457626
go,who,21,9,944,0.022245762711864406
go,this,13,10,944,0.013771186440677966
go,sarah,7,11,944,0.007415254237288136
go,one,5,12,944,0.005296610169491525
go,mommy,5,13,944,0.005296610169491525
go,what,4,14,944,0.00423728813559322
go,daddy,4,15,944,0.00423728813559322
go,betty,4,16,944,0.00423728813559322
go,head,3,17,944,0.0031779661016949155
go,light,3,18,944,0.0031779661016949155
go,mother,3,19,944,0.0031779661016949155
go,kid,3,20,944,0.0031779661016949155
go,tail,2,21,944,0.00211864406779661
go,adam,2,22,944,0.00211864406779661
go,man,2,23,944,0.00211864406779661
go,end,2,24,944,0.00211864406779661
go,hand,2,25,944,0.00211864406779661
go,auntieshirley,2,26,944,0.00211864406779661
go,fish,2,27,944,0.00211864406779661
go,arm,2,28,944,0.00211864406779661
go,flag,2,29,944,0.00211864406779661
go,hasta,2,30,944,0.00211864406779661
go,howcome,2,31,944,0.00211864406779661
go,everybody,2,32,944,0.00211864406779661
go,snake,2,33,944,0.00211864406779661
go,summer,2,34,944,0.00211864406779661
go,girl,1,35,944,0.001059322033898305
go,boy,1,36,944,0.001059322033898305
go,ursula,1,37,944,0.001059322033898305
go,channel,1,38,944,0.001059322033898305
go,nine,1,39,944,0.001059322033898305
go,engine,1,40,944,0.001059322033898305
go,ax,1,41,944,0.001059322033898305
go,paul,1,42,944,0.001059322033898305
go,wing,1,43,944,0.001059322033898305
go,everything,1,44,944,0.001059322033898305
go,robin,1,45,944,0.001059322033898305
go,kris,1,46,944,0.001059322033898305
go,bowl,1,47,944,0.001059322033898305
go,grain,1,48,944,0.001059322033898305
go,norm,1,49,944,0.001059322033898305
go,grampy,1,50,944,0.001059322033898305
go,tommy,1,51,944,0.001059322033898305
go,hadta,1,52,944,0.001059322033898305
go,four,1,53,944,0.001059322033898305
go,pigeon,1,54,944,0.001059322033898305
go,dime,1,55,944,0.001059322033898305
go,husband,1,56,944,0.001059322033898305
go,bell,1,57,944,0.001059322033898305
go,joan,1,58,944,0.001059322033898305
go,teacher,1,59,944,0.001059322033898305
go,cousin,1,60,944,0.001059322033898305
go,chantilly,1,61,944,0.001059322033898305
go,somebody,1,62,944,0.001059322033898305
go,today,1,63,944,0.001059322033898305
go,candy,1,64,944,0.001059322033898305
go,foot,1,65,944,0.001059322033898305
go,baby,1,66,944,0.001059322033898305
go,fta,1,67,944,0.001059322033898305
go,don,1,68,944,0.001059322033898305
go,thing,1,69,944,0.001059322033898305
go,unclebuster,1,70,944,0.001059322033898305
go,something,1,71,944,0.001059322033898305
go,electricity,1,72,944,0.001059322033898305
go,bunny,1,73,944,0.001059322033898305
go,auntdot,1,74,944,0.001059322033898305
go,red,1,75,944,0.001059322033898305
go,gail,1,76,944,0.001059322033898305
go,elaine,1,77,944,0.001059322033898305
go,dickie,1,78,944,0.001059322033898305
go,useta,1,79,944,0.001059322033898305
go,popsicle,1,80,944,0.001059322033898305
go,annmarie,1,81,944,0.001059322033898305
go,martian,1,82,944,0.001059322033898305
go,all,1,83,944,0.001059322033898305
go,scar,1,84,944,0.001059322033898305
go,place,1,85,944,0.001059322033898305
go,line,1,86,944,0.001059322033898305
go,road,1,87,944,0.001059322033898305
go,dog,1,88,944,0.001059322033898305
go,judy,1,89,944,0.001059322033898305
do,you,412,1,776,0.5309278350515464
do,i,68,2,776,0.08762886597938144
do,she,62,3,776,0.07989690721649484
do,it,46,4,776,0.059278350515463915
do,he,41,5,776,0.05283505154639175
do,they,27,6,776,0.03479381443298969
do,we,22,7,776,0.028350515463917526
do,who,9,8,776,0.011597938144329897
do,that,5,9,776,0.006443298969072165
do,daddy,4,10,776,0.005154639175257732
do,girl,4,11,776,0.005154639175257732
do,sarah,4,12,776,0.005154639175257732
do,cat,3,13,776,0.003865979381443299
do,this,2,14,776,0.002577319587628866
do,crayon,2,15,776,0.002577319587628866
do,robin,2,16,776,0.002577319587628866
do,mommy,2,17,776,0.002577319587628866
do,useta,2,18,776,0.002577319587628866
do,hafta,2,19,776,0.002577319587628866
do,bone,2,20,776,0.002577319587628866
do,georgie,2,21,776,0.002577319587628866
do,cow,1,22,776,0.001288659793814433
do,adam,1,23,776,0.001288659793814433
do,wiper,1,24,776,0.001288659793814433
do,animal,1,25,776,0.001288659793814433
do,slide,1,26,776,0.001288659793814433
do,fish,1,27,776,0.001288659793814433
do,diandra,1,28,776,0.001288659793814433
do,paper,1,29,776,0.001288659793814433
do,spear,1,30,776,0.001288659793814433
do,what,1,31,776,0.001288659793814433
do,bullet,1,32,776,0.001288659793814433
do,wait,1,33,776,0.001288659793814433
do,kitty,1,34,776,0.001288659793814433
do,diver,1,35,776,0.001288659793814433
do,adamy,1,36,776,0.001288659793814433
do,corkscrew,1,37,776,0.001288659793814433
do,lion,1,38,776,0.001288659793814433
do,drop,1,39,776,0.001288659793814433
do,cough,1,40,776,0.001288659793814433
do,both,1,41,776,0.001288659793814433
do,dickie,1,42,776,0.001288659793814433
do,cotton,1,43,776,0.001288659793814433
do,turtle,1,44,776,0.001288659793814433
do,everybody,1,45,776,0.001288659793814433
do,somebody,1,46,776,0.001288659793814433
do,annmarie,1,47,776,0.001288659793814433
do,everything,1,48,776,0.001288659793814433
do,doll,1,49,776,0.001288659793814433
do,dick,1,50,776,0.001288659793814433
do,santa,1,51,776,0.001288659793814433
do,run,1,52,776,0.001288659793814433
do,nurse,1,53,776,0.001288659793814433
do,gigi,1,54,776,0.001288659793814433
do,oven,1,55,776,0.001288659793814433
do,basket,1,56,776,0.001288659793814433
do,bozo,1,57,776,0.001288659793814433
do,clown,1,58,776,0.001288659793814433
do,four,1,59,776,0.001288659793814433
do,hose,1,60,776,0.001288659793814433
do,baboon,1,61,776,0.001288659793814433
do,all,1,62,776,0.001288659793814433
do,ann,1,63,776,0.001288659793814433
do,mother,1,64,776,0.001288659793814433
do,boy,1,65,776,0.001288659793814433
do,don,1,66,776,0.001288659793814433
do,betty,1,67,776,0.001288659793814433
do,batman,1,68,776,0.001288659793814433
do,huh,1,69,776,0.001288659793814433
do,dentist,1,70,776,0.001288659793814433
do,tail,1,71,776,0.001288659793814433
do,elephant,1,72,776,0.001288659793814433
do,one,1,73,776,0.001288659793814433
do,melissa,1,74,776,0.001288659793814433
have,you,262,1,679,0.3858615611192931
have,i,84,2,679,0.12371134020618557
have,she,84,3,679,0.12371134020618557
have,we,53,4,679,0.0780559646539028
have,they,35,5,679,0.05154639175257732
have,it,34,6,679,0.050073637702503684
