rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3641981749208607,0.3679161449333496,1.3823301013766813e-05,100
2,0.14815223040345982,0.1337349908528817,0.00020785679625875367,100
3,0.08420933867199856,0.0739863860305431,0.00010450876070944128,99
4,0.05427441429591727,0.04861175032604329,3.206576323570892e-05,99
5,0.03797777191486954,0.03509559742159093,8.306929809705833e-06,99
6,0.026789167211532103,0.02689354298606526,1.0894302309396355e-08,99
7,0.019353825971954317,0.021473641957140382,4.493619811050368e-06,99
8,0.014806748640286424,0.017670037248225905,8.198421652356007e-06,99
9,0.011460087920501147,0.014878350388380458,1.1684518299312362e-05,99
10,0.009286241356552013,0.012757008532482697,1.2046224789517859e-05,98
11,0.007996665020853333,0.011099809509766492,9.629505719072109e-06,97
12,0.006691411735937902,0.009775618098777826,9.512328888582272e-06,97
13,0.005601359937724899,0.008697442207361914,9.58572542036069e-06,97
14,0.004988250200880369,0.007805521313114613,7.937016519829575e-06,97
15,0.004502924226579154,0.007057576718403455,6.526249353984111e-06,97
16,0.0041497226360196785,0.006422937134736669,5.167504157177138e-06,97
17,0.003698988953529138,0.005878864099268464,4.751855651012049e-06,97
18,0.003286473095948905,0.00540817814194179,4.5016323021916724e-06,96
19,0.0030975993241184087,0.004997681653425541,3.610312858145216e-06,96
20,0.0029032258395840465,0.004637084952362638,3.0062674229653644e-06,96
21,0.002642008451145852,0.004318258889156574,2.809815530931138e-06,94
22,0.0025091006442215986,0.004034704493672778,2.327467105460257e-06,94
23,0.002449406437685732,0.0037811700165214005,1.7735942299131875e-06,94
24,0.0023948109490249197,0.003553370013860497,1.3422591067126877e-06,94
25,0.0022656543410915905,0.0033477763216982785,1.1709879809121413e-06,93
26,0.002169833041692665,0.0031614604851214812,9.833249865611703e-07,91
27,0.002098275839784735,0.0029919735529187327,7.986956024609373e-07,90
28,0.0019539534602323032,0.0028372533681566485,7.802187273391568e-07,88
29,0.001915606809979315,0.0026955523403376725,6.083150303259795e-07,88
30,0.0018706620980071067,0.002565380646859573,4.826338621196769e-07,88
31,0.0018523724818268479,0.002445461179533276,3.5175420334710707e-07,88
32,0.001716843982390944,0.0023346935185957953,3.817380493885499e-07,83
33,0.0016899766467597217,0.0022321249082555184,2.9392473744291475e-07,82
34,0.0016567269729820088,0.002136926708349343,2.3059178584685784e-07,81
35,0.0016461658521935035,0.0020483751628776925,1.617723296010505e-07,79
36,0.0016411785391967396,0.001965835596788947,1.0540220504442972e-07,78
37,0.001627314307105804,0.001888749354253438,6.834828387708554e-08,77
38,0.001537064600503319,0.0018166229435991668,7.815286719449575e-08,74
39,0.0015193835865127668,0.001749018969387142,5.273240906786088e-08,73
40,0.0015026174865976798,0.0016855485203037094,3.346376309275654e-08,72
41,0.00145737943622807,0.0016258647495152588,2.8387300793482175e-08,68
42,0.001455176236561602,0.0015696574368769486,1.3105945225642515e-08,68
43,0.0014379125428018577,0.0015166483635937324,6.199329475770209e-09,67
44,0.0014310201259957486,0.0014665873623272453,1.2650283002605396e-09,65
45,0.0014141686862976083,0.0014192489313633277,2.5808889927766568e-11,64
46,0.001405320832753496,0.0013744293218344258,9.54285446863033e-10,64
47,0.00137330421034505,0.0013319440232894488,1.7106650732743304e-09,62
48,0.001366878726038277,0.001291625586005814,5.663035084745486e-09,61
49,0.0013302539777147273,0.001253321729023319,5.918570888716682e-09,57
50,0.0012972622185859382,0.0012168936914712441,6.459100150585314e-09,56
51,0.0013151670963294268,0.0011822147917655876,1.7676315288835856e-08,55
52,0.0012952987312454523,0.001149169164990193,2.1353850133950223e-08,54
53,0.0012983059859078077,0.0011176506534929945,3.263634912990665e-08,53
54,0.0012203149659549741,0.0010875618296232613,1.7623395205906336e-08,51
55,0.001163292164190641,0.0010588131327633954,1.0915868007975365e-08,48
56,0.0011020879665179508,0.0010313221054935632,5.007807086522942e-09,46
57,0.0010837554067427509,0.0010050127159684427,6.200411350378308e-09,45
58,0.0010037148447891806,0.0009798147554623555,5.712142698302196e-10,42
59,0.0009652624908873674,0.0009556633016162829,9.214443466210345e-11,41
60,0.0009221865953265424,0.0009324982392498054,1.0633000040016803e-10,38
61,0.0008874649970404983,0.0009102638317251441,5.197868629778091e-10,37
62,0.0008690642172546636,0.0008889083368037736,3.9378908067936807e-10,36
63,0.000860141232238613,0.0008683836617467293,6.793764419626533e-11,36
64,0.0008705814713760686,0.0008486450531010357,4.812064467371997e-10,34
65,0.0008705814713760686,0.0008296508172057072,1.6753184508137262e-09,34
66,0.0007737344192598804,0.0008113620679574111,1.4158399465047863e-09,32
67,0.0007637506688924109,0.0007937424988112269,8.99509861879187e-10,31
68,0.0007336682116054015,0.000776758176366925,1.8567450631493321e-09,30
69,0.0006649807232924841,0.0007603773532149475,9.10051700056345e-09,27
70,0.0005860328585718919,0.0007445702979964202,2.5134119699286006e-08,26
71,0.0005846545071598144,0.0007293091408744731,2.09249630551221e-08,26
72,0.0005823788716202236,0.0007145677328252753,1.7473895026688424e-08,26
73,0.0005791982710403702,0.0007003215173410473,1.4670840794414493e-08,26
74,0.0005737334567278387,0.0006865474132977457,1.2726988796956854e-08,26
75,0.0005703078766457471,0.0006732237078803679,1.0591668318712933e-08,26
76,0.0005699632887927277,0.0006603299585816784,8.166135008745251e-09,26
77,0.0005665837004786137,0.0006478469033979653,6.603708148711715e-09,24
78,0.0005579829644774092,0.0006357563784401997,6.048703919427565e-09,24
79,0.0005579829644774092,0.0006240412422624334,4.3636960639234185e-09,24
80,0.0005517405654224164,0.0006126853062828775,3.7142614385487622e-09,24
81,0.0005517405654224164,0.0006016732707381534,2.493275060148236e-09,24
82,0.0005387473956862143,0.0005909906656687645,2.729359258469631e-09,23
83,0.0005102635897123027,0.0005806237964848578,4.950558697076713e-09,23
84,0.0004996487041387612,0.000570559693706631,5.028368441494539e-09,23
85,0.0004959076442881146,0.0005607860665140052,4.209209670520939e-09,23
86,0.0004959076442881146,0.0005512912597760274,3.0673448645129746e-09,23
87,0.0004905090962981662,0.0005420642142624258,2.6579301883087196e-09,23
88,0.0004905090962981662,0.0005330944297682749,1.8135106267603573e-09,23
89,0.0004888196248945348,0.0005243719309082293,1.2639664628913801e-09,23
90,0.0004888196248945348,0.0005158872353596246,7.326555362898392e-10,23
91,0.0004884300907998172,0.0005076313243542065,3.686873700102059e-10,23
92,0.0004880405567050997,0.0004995956152366121,1.335193776666783e-10,23
93,0.0004867406193961858,0.0004917719359242389,2.5314146005460607e-11,23
94,0.0005026508680074722,0.0004841525011179757,3.4218957757842134e-10,22
95,0.00048394422074438895,0.00047672989012664254,5.204656626215333e-11,22
96,0.00048394422074438895,0.0004694970261800488,2.0872143077990035e-10,22
97,0.00048394422074438895,0.00046244715711645553,4.6212374462341805e-10,22
98,0.00048394422074438895,0.00045557383734006997,8.048786545080579e-10,22
99,0.00048394422074438895,0.0004488709109530945,1.2301370597161108e-09,22
100,0.00048217795518604693,0.00044233249597491276,1.5876606197461572e-09,22
101,0.00048217795518604693,0.0004359529695683007,2.1367492953608484e-09,22
102,0.00048177071499611496,0.0004297269541991797,2.7085530378886153e-09,22
103,0.00047843927062876993,0.00042364930466244947,3.0019403705905543e-09,22
104,0.0004727953340938239,0.0004177150959119177,3.033832638175519e-09,22
105,0.00044545064613030433,0.00041191961163732066,1.1243302741696605e-09,21
106,0.0004440269052681605,0.000406258333535975,1.4264650106892417e-09,21
107,0.0004436002726882318,0.0004007269312307341,1.8381234077311922e-09,21
108,0.0004436002726882318,0.0003953212527897041,2.3308637623624317e-09,21
109,0.0004287309933452428,0.00039003731580662134,1.4972006814628198e-09,21
110,0.00043081568269199536,0.0003848712990039497,2.110886392474356e-09,20
111,0.0003540543239011695,0.0003798195343236404,6.638460681142013e-10,19
112,0.0003535827826286167,0.0003748784994731399,4.5350755592210914e-10,19
113,0.0003535827826286167,0.00037004481089665276,2.7099837469761776e-10,19
114,0.0003535827826286167,0.00036531521714388985,1.3765001965517223e-10,19
115,0.00034073318430275076,0.00036068659261056705,3.9813850309843196e-10,19
116,0.00034026164303019795,0.00035615593162679647,2.5262840999196165e-10,19
117,0.00034026164303019795,0.0003517203428712323,1.3130180204692068e-10,19
118,0.00034026164303019795,0.00034737704409041665,5.062893224776143e-11,19
119,0.00033325501734876025,0.00034312335710423055,9.738412952939549e-11,19
120,0.00033325501734876025,0.00033895670307969924,3.2509220174393204e-11,19
121,0.00033325501734876025,0.0003348745980566364,2.6230416693246656e-12,19
122,0.0003327834760762075,0.00033087464870976,3.643621914898892e-12,19
123,0.0003327834760762075,0.0003269545483329628,3.397639863596752e-11,19
124,0.0003327834760762075,0.0003231120730323984,9.353603683579989e-11,19
125,0.00031498223015693794,0.00031934507811594325,1.903444231339679e-11,18
126,0.00031498223015693794,0.00031565149466743035,4.47914985004646e-13,18
127,0.00031498223015693794,0.00031202932629481925,8.719641218915478e-12,18
128,0.00031498223015693794,0.0003084766460421855,4.232262467411959e-11,18
129,0.00031498223015693794,0.00030499159345607184,9.98128216886928e-11,18
130,0.00031498223015693794,0.00030157237179735886,1.798243012239731e-10,18
131,0.00031119746303427876,0.00029821724539038345,1.6848605008289116e-10,18
132,0.00031119746303427876,0.00029492453710156256,2.648081184116673e-10,18
