rank,verb,frequency
1,be,97692
2,go,29274
3,do,14793
4,get,11942
5,want,10830
6,have,10584
7,see,8715
8,put,7888
9,wanna,7807
10,say,7049
11,know,6402
12,think,5932
13,like,5292
14,look,3661
15,come,3585
16,make,2803
17,play,2767
18,take,2372
19,need,2315
20,find,2125
21,eat,2110
22,sit,1831
23,give,1619
24,try,1527
25,turn,1351
26,fall,1336
27,read,1275
28,help,1029
29,open,1024
30,hear,966
31,tell,939
32,throw,918
33,fit,886
34,hold,855
35,love,808
36,show,793
37,happen,753
38,draw,726
39,talk,693
40,pick,673
41,can,667
42,push,644
43,call,568
44,mean,562
45,use,539
46,remember,532
47,bring,531
48,cook,530
49,move,524
50,drink,511
51,work,506
52,stay,506
53,pull,501
54,leave,484
55,let,473
56,feed,460
57,feel,454
58,build,445
59,keep,441
60,blow,421
61,close,412
62,sing,401
63,will,395
64,walk,391
65,finish,389
66,fix,388
67,wear,384
68,wash,383
69,sleep,382
70,hurt,377
71,pop,376
72,stand,374
73,stop,369
74,color,369
75,run,365
76,start,363
77,roll,349
78,cry,347
79,catch,335
80,break,330
81,jump,329
82,drop,319
83,guess,314
84,touch,309
85,needta,305
86,begin,298
87,write,286
88,hide,283
89,drive,280
90,watch,263
91,knock,261
92,ask,257
93,bet,249
94,miss,245
95,dance,241
96,sound,239
97,clean,222
98,wipe,219
99,taste,216
100,climb,215
