rank,verb,frequency
1,be,764120
2,go,206499
3,do,157861
4,have,108631
5,get,99898
6,think,80899
7,know,71493
8,see,65372
9,want,58300
10,say,53561
11,put,47630
12,like,47301
13,wanna,42597
14,look,31649
15,come,30948
16,make,27815
17,play,22754
18,eat,20564
19,need,19491
20,take,18978
21,tell,17151
22,happen,15668
23,find,14163
24,sit,11981
25,give,11929
26,try,10628
27,remember,10312
28,fall,10184
29,can,9999
30,mean,9884
31,read,8275
32,hear,7491
33,help,7026
34,talk,6606
35,use,6562
36,turn,6407
37,show,6163
38,will,6134
39,fit,6126
40,start,5870
41,call,5577
42,bring,5450
43,open,5440
44,work,5437
45,love,5365
46,hold,5222
47,finish,4969
48,keep,4855
49,feel,4673
50,move,4632
51,hurt,4547
52,leave,4430
53,pick,4358
54,buy,4346
55,run,4302
56,watch,4133
57,wear,4078
58,draw,3985
59,stay,3981
60,ask,3829
61,throw,3820
62,break,3772
63,build,3734
64,sing,3663
65,live,3649
66,sleep,3629
67,walk,3619
68,let,3572
69,stand,3462
70,guess,3290
71,needta,3229
72,sound,3211
73,pull,3168
74,drive,3155
75,drink,3142
76,cry,3103
77,bet,2928
78,push,2908
79,wonder,2904
80,stop,2889
81,wash,2845
82,cut,2839
83,jump,2810
84,wait,2806
85,hide,2799
86,would,2778
87,write,2759
88,fix,2692
89,miss,2475
90,drop,2459
91,stick,2432
92,seem,2428
93,pretend,2409
94,blow,2380
95,catch,2363
96,fly,2294
97,hit,2292
98,hafta,2248
99,lose,2204
100,cook,2119
