rank,average_proportion,num_verbs,sd_proportion
1,0.4566856842919419,100,0.19200961909424408
2,0.1784983674125253,100,0.07276525679766004
3,0.09239019922514541,100,0.04387173732927678
4,0.058401202312727635,99,0.029193662568561637
5,0.042827324170375554,98,0.023282212554267774
6,0.03136048114094873,97,0.01672293163495046
7,0.02400948465409311,95,0.013629892246020226
8,0.019633655233863002,92,0.011473655660411537
9,0.016384076532177022,88,0.009711700429141362
10,0.013593932980999632,85,0.00754562825875092
11,0.012178978454031765,78,0.007172087855554488
12,0.010821114042365791,75,0.006514904581644364
13,0.010060034442282904,74,0.006463522295960417
14,0.009684797242020527,72,0.006344015469055143
15,0.008745679870774821,68,0.005812037989979212
16,0.007811178538617171,64,0.0051269938667289055
17,0.007155949789992211,59,0.004711687910904905
18,0.006304502653990424,54,0.004530579373451763
19,0.005746321268749954,49,0.00433061480414647
20,0.004801814524455912,41,0.003416720652433915
21,0.0044493245722962895,36,0.003218360346861385
22,0.004373449442619926,35,0.003296788330423408
23,0.003944679228230443,32,0.003019973050543533
24,0.0038272078399643468,30,0.0031337602533897846
25,0.003451107063566768,29,0.0029093993992089662
26,0.0030509008364858594,28,0.002517064609388827
27,0.0030509008364858594,28,0.002517064609388827
28,0.0030188707466792075,28,0.002524686594976289
29,0.002701540373493386,26,0.0022356970224216995
30,0.0026916224935394045,26,0.0022427731764868525
31,0.002736041070852109,25,0.0022655788270991802
32,0.0023474375352544753,23,0.0018934933033228952
33,0.002061911721636702,21,0.001523178973541329
34,0.002034820709768253,19,0.0014751303878879005
35,0.0018304469086626771,17,0.00136807909849735
36,0.0016033197858092857,16,0.0010300374159361314
37,0.0015472671286476446,16,0.0010402984923894
38,0.0016028671531062274,15,0.0010519161850867365
39,0.0016043377725414826,14,0.0010916090126591948
40,0.0015775051010807118,14,0.0011184763141727715
41,0.0014839827173649608,13,0.0011057052444474124
42,0.0014839827173649608,13,0.0011057052444474124
43,0.0014641469574569988,13,0.0011217083947367738
44,0.0012997814084760651,13,0.0007803555511148025
45,0.001338825259570323,12,0.0008016827503206237
46,0.001317781488526552,12,0.0008213991847554876
47,0.0011534888965744202,11,0.0006211852755982409
48,0.001222261167694368,10,0.0006090477709735918
49,0.0011583634041160934,10,0.0006354999160277366
50,0.0011527160220395126,9,0.0006737832483681829
51,0.0011527160220395126,9,0.0006737832483681829
52,0.0011527160220395126,9,0.0006737832483681829
53,0.0011527160220395126,9,0.0006737832483681829
54,0.0011527160220395126,9,0.0006737832483681829
55,0.0010934251409770199,9,0.0007050006949389293
56,0.0010934251409770199,9,0.0007050006949389293
57,0.0010044715146460788,8,0.0006975968963950875
58,0.0009215694376122722,7,0.0007096496511114166
59,0.0009215694376122722,7,0.0007096496511114166
60,0.0009215694376122722,7,0.0007096496511114166
61,0.0009215694376122722,7,0.0007096496511114166
62,0.0009215694376122722,7,0.0007096496511114166
63,0.0007842975608676043,6,0.0006678601503077113
64,0.0007413200810670199,6,0.000696291063136978
65,0.0007413200810670199,6,0.000696291063136978
66,0.0007413200810670199,6,0.000696291063136978
67,0.0007413200810670199,6,0.000696291063136978
68,0.0007413200810670199,6,0.000696291063136978
69,0.0007413200810670199,6,0.000696291063136978
70,0.0007413200810670199,6,0.000696291063136978
71,0.0007413200810670199,6,0.000696291063136978
72,0.0007413200810670199,6,0.000696291063136978
73,0.0006992325389794778,6,0.0007206351542474798
74,0.0006992325389794778,6,0.0007206351542474798
75,0.0006992325389794778,6,0.0007206351542474798
76,0.0006992325389794778,6,0.0007206351542474798
77,0.0006992325389794778,6,0.0007206351542474798
78,0.0006992325389794778,6,0.0007206351542474798
79,0.0006992325389794778,6,0.0007206351542474798
80,0.0006992325389794778,6,0.0007206351542474798
81,0.0006992325389794778,6,0.0007206351542474798
82,0.0006992325389794778,6,0.0007206351542474798
83,0.0006992325389794778,6,0.0007206351542474798
84,0.0006992325389794778,6,0.0007206351542474798
85,0.0006992325389794778,6,0.0007206351542474798
86,0.0006992325389794778,6,0.0007206351542474798
87,0.0006992325389794778,6,0.0007206351542474798
88,0.0006992325389794778,6,0.0007206351542474798
89,0.0006992325389794778,6,0.0007206351542474798
90,0.0006992325389794778,6,0.0007206351542474798
91,0.0006992325389794778,6,0.0007206351542474798
92,0.0006992325389794778,6,0.0007206351542474798
93,0.0006992325389794778,6,0.0007206351542474798
94,0.0006992325389794778,6,0.0007206351542474798
95,0.0006992325389794778,6,0.0007206351542474798
96,0.0006992325389794778,6,0.0007206351542474798
97,0.0006992325389794778,6,0.0007206351542474798
98,0.0006992325389794778,6,0.0007206351542474798
