rank,verb,frequency
1,go,29274
2,do,14793
3,get,11942
4,want,10830
5,have,10584
6,see,8715
7,put,7888
8,wanna,7807
9,say,7049
10,know,6402
11,think,5932
12,like,5292
13,look,3661
14,come,3585
15,make,2803
16,play,2767
17,take,2372
18,need,2315
19,find,2125
20,eat,2110
21,sit,1831
22,give,1619
23,try,1527
24,turn,1351
25,fall,1336
26,read,1275
27,help,1029
28,open,1024
29,hear,966
30,tell,939
31,throw,918
32,fit,886
33,hold,855
34,love,808
35,show,793
36,happen,753
37,draw,726
38,talk,693
39,pick,673
40,can,667
41,push,644
42,call,568
43,mean,562
44,use,539
45,remember,532
46,bring,531
47,cook,530
48,move,524
49,drink,511
50,work,506
51,stay,506
52,pull,501
53,leave,484
54,let,473
55,feed,460
56,feel,454
57,build,445
58,keep,441
59,blow,421
60,close,412
61,sing,401
62,will,395
63,walk,391
64,finish,389
65,fix,388
66,wear,384
67,wash,383
68,sleep,382
69,hurt,377
70,pop,376
71,stand,374
72,stop,369
73,color,369
74,run,365
75,start,363
76,roll,349
77,cry,347
78,catch,335
79,break,330
80,jump,329
81,drop,319
82,guess,314
83,touch,309
84,needta,305
85,begin,298
86,write,286
87,hide,283
88,drive,280
89,watch,263
90,knock,261
91,ask,257
92,bet,249
93,miss,245
94,dance,241
95,sound,239
96,clean,222
97,wipe,219
98,taste,216
99,climb,215
100,rid,215
