rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.37449224196178876,0.38082677099355744,4.01262580543202e-05,100
2,0.1690173490490688,0.13557910943049425,0.0011181158687892075,100
3,0.09547604135062639,0.07409975991694454,0.0004569454079319714,100
4,0.05757269125374044,0.04826786432584306,8.657980415812418e-05,100
5,0.04123512697831056,0.03461482688279499,4.382837335468347e-05,100
6,0.03049862632623308,0.02638044440085524,1.6959422370508724e-05,100
7,0.022280712628986798,0.020966763224559936,1.726463037393705e-06,100
8,0.014424676196361277,0.017183965408567436,7.613676956597284e-06,100
9,0.010204160049418974,0.014418036855506957,1.7756757736886258e-05,100
10,0.007731072310916944,0.012323312748250752,2.1088672234283804e-05,100
11,0.005975238648621418,0.0106918379926089,2.2246309371703152e-05,100
12,0.005100830302875738,0.009391769252243899,1.8412157067204735e-05,99
13,0.0042478557447066575,0.008335888088253366,1.6712008441883994e-05,99
14,0.003527955723999814,0.007464430817743021,1.5495836163660596e-05,99
15,0.0030251155250779387,0.006735215475765747,1.376484164409368e-05,99
16,0.00275188290794023,0.006117707325300948,1.1328774008501613e-05,99
17,0.0024285405028029103,0.005589314890300589,9.990494728661327e-06,99
18,0.0021544728424648754,0.00513300205105262,8.871636246410336e-06,99
19,0.001989418459887232,0.0047357046054054735,7.542087593065439e-06,99
20,0.00183447825718976,0.004387253982387595,6.516663903159331e-06,99
21,0.001718178280169722,0.004079629478573596,5.576451762443093e-06,99
22,0.0015926297218006027,0.0038064284961667285,4.900905013384961e-06,99
23,0.0015112985860770488,0.0035624845925621837,4.207364033200436e-06,99
24,0.0014450983851101839,0.003343587710165124,3.604261717347562e-06,99
25,0.001366355802324433,0.0031462762898728483,3.168116941994588e-06,99
26,0.0012944183148052807,0.0029676807656381283,2.799807229367148e-06,99
27,0.0012036177855676614,0.002805404322493907,2.565720109878175e-06,99
28,0.0011530177203696995,0.002657431041506941,2.263259440815185e-06,99
29,0.0011316051893157748,0.0025220544208137286,1.9333490653732503e-06,99
30,0.0010723555226477529,0.0023978212289131606,1.7568593384856562e-06,99
31,0.0010267606961488005,0.002283487016282526,1.5793610437168549e-06,99
32,0.0009855007381939875,0.002177980578300114,1.4220081690595326e-06,99
33,0.0009496035947522029,0.002080375353487396,1.278644770353081e-06,99
34,0.0009250752043614491,0.0019898662406965463,1.13377995105957e-06,99
35,0.0009142312085919506,0.0019057506840110584,9.83110870135383e-07,99
36,0.0008871223427816436,0.0018274131437004144,8.841467902924634e-07,99
37,0.0008596280044553799,0.0017543122724803686,8.004599394514097e-07,99
38,0.0008392131527386278,0.0016859702674044052,7.169976112371125e-07,99
39,0.0008026186635573148,0.0016219639822656843,6.713267512893195e-07,99
40,0.000764011321345642,0.0015619174729382724,6.366542267493617e-07,99
41,0.0007392125043678581,0.0015054957154975559,5.87189959659241e-07,99
42,0.0007289426532192303,0.0014523992892315782,5.233895041903028e-07,99
43,0.0007064896682015302,0.0014023598574589547,4.842353202971638e-07,99
44,0.0006917860130953951,0.0013551363111231247,4.4003361789347766e-07,99
45,0.0006879242883809323,0.0013105114654651583,3.876147930697053e-07,98
46,0.0006723995982530105,0.0012682892202124335,3.550844415589441e-07,98
47,0.0006680820565401048,0.0012282921098119826,3.138353037868802e-07,97
48,0.0006487343006069125,0.001190359183164153,2.9335751340514465e-07,97
49,0.0006396000822110943,0.0011543441627484639,2.64961468448262e-07,97
50,0.0006257021430845113,0.0011201138414989654,2.4444292752906516e-07,97
51,0.0006025439197879719,0.0010875466826844574,2.352276800172245e-07,97
