verb,subject,frequency,rank,total,proportion
be,that,3329,1,14239,0.23379450804129503
be,it,2482,2,14239,0.17430999367933142
be,you,1400,3,14239,0.09832151134208864
be,this,1298,4,14239,0.09115808694430788
be,i,495,5,14239,0.03476367722452419
be,he,492,6,14239,0.03455298827164829
be,they,447,7,14239,0.031392653978509724
be,one,309,8,14239,0.021700962146218132
be,we,283,9,14239,0.01987499122129363
be,she,262,10,14239,0.0184001685511623
be,who,237,11,14239,0.016644427277196432
be,what,212,12,14239,0.014888686003230563
be,name,134,13,14239,0.009410773228457054
be,thing,112,14,14239,0.00786572090736709
be,anything,77,15,14239,0.005407683123814875
be,color,66,16,14239,0.004635156963269892
be,number,65,17,14239,0.0045649273123112575
be,two,61,18,14239,0.004284008708476719
be,kind,54,19,14239,0.0037924011517662757
be,tiger,54,20,14239,0.0037924011517662757
be,letter,52,21,14239,0.0036519418498490064
be,word,45,22,14239,0.0031603342931385632
be,person,33,23,14239,0.002317578481634946
be,room,29,24,14239,0.002036659877800407
be,debbie,29,25,14239,0.002036659877800407
be,which,28,26,14239,0.0019664302268417727
be,dog,28,27,14239,0.0019664302268417727
be,mark,26,28,14239,0.0018259709249245032
be,some,25,29,14239,0.0017557412739658683
be,chi,23,30,14239,0.0016152819720485988
be,yesterday,22,31,14239,0.0015450523210899642
be,more,21,32,14239,0.0014748226701313295
be,boy,21,33,14239,0.0014748226701313295
be,animal,21,34,14239,0.0014748226701313295
be,lion,20,35,14239,0.0014045930191726947
be,game,19,36,14239,0.00133436336821406
be,octopus,19,37,14239,0.00133436336821406
be,all,18,38,14239,0.0012641337172554252
be,picture,18,39,14239,0.0012641337172554252
be,turtle,18,40,14239,0.0012641337172554252
be,peter,18,41,14239,0.0012641337172554252
be,balloon,18,42,14239,0.0012641337172554252
be,jack,18,43,14239,0.0012641337172554252
be,kid,17,44,14239,0.0011939040662967905
be,your,17,45,14239,0.0011939040662967905
be,day,16,46,14239,0.0011236744153381559
be,house,16,47,14239,0.0011236744153381559
be,sposta,16,48,14239,0.0011236744153381559
be,something,16,49,14239,0.0011236744153381559
be,lot,16,50,14239,0.0011236744153381559
be,many,15,51,14239,0.001053444764379521
be,way,15,52,14239,0.001053444764379521
be,book,15,53,14239,0.001053444764379521
be,horsie,15,54,14239,0.001053444764379521
be,stuff,14,55,14239,0.0009832151134208864
be,flavor,14,56,14239,0.0009832151134208864
be,today,13,57,14239,0.0009129854624622516
be,guy,13,58,14239,0.0009129854624622516
be,girl,13,59,14239,0.0009129854624622516
be,type,13,60,14239,0.0009129854624622516
be,cereal,13,61,14239,0.0009129854624622516
be,cat,12,62,14239,0.0008427558115036168
be,daddy,12,63,14239,0.0008427558115036168
be,man,12,64,14239,0.0008427558115036168
be,ross,11,65,14239,0.0007725261605449821
be,paper,10,66,14239,0.0007022965095863473
be,piece,10,67,14239,0.0007022965095863473
be,cake,10,68,14239,0.0007022965095863473
be,food,10,69,14239,0.0007022965095863473
be,time,10,70,14239,0.0007022965095863473
be,nothing,10,71,14239,0.0007022965095863473
be,jibo,10,72,14239,0.0007022965095863473
be,useta,9,73,14239,0.0006320668586277126
be,water,9,74,14239,0.0006320668586277126
be,part,9,75,14239,0.0006320668586277126
be,answer,9,76,14239,0.0006320668586277126
be,birthday,9,77,14239,0.0006320668586277126
be,mom,8,78,14239,0.0005618372076690779
be,toy,8,79,14239,0.0005618372076690779
be,candy,8,80,14239,0.0005618372076690779
be,horse,8,81,14239,0.0005618372076690779
be,program,8,82,14239,0.0005618372076690779
be,dad,7,83,14239,0.0004916075567104432
be,five,7,84,14239,0.0004916075567104432
be,pencil,7,85,14239,0.0004916075567104432
be,bro,7,86,14239,0.0004916075567104432
be,matter,7,87,14239,0.0004916075567104432
be,hand,7,88,14239,0.0004916075567104432
be,cow,7,89,14239,0.0004916075567104432
be,car,7,90,14239,0.0004916075567104432
be,window,7,91,14239,0.0004916075567104432
be,fish,7,92,14239,0.0004916075567104432
be,p,6,93,14239,0.0004213779057518084
be,rest,6,94,14239,0.0004213779057518084
be,someone,6,95,14239,0.0004213779057518084
be,cup,6,96,14239,0.0004213779057518084
be,look,6,97,14239,0.0004213779057518084
be,shoe,6,98,14239,0.0004213779057518084
be,lady,6,99,14239,0.0004213779057518084
be,mommy,6,100,14239,0.0004213779057518084
be,pair,6,101,14239,0.0004213779057518084
be,sign,6,102,14239,0.0004213779057518084
be,brother,6,103,14239,0.0004213779057518084
be,moon,5,104,14239,0.00035114825479317367
be,right,5,105,14239,0.00035114825479317367
be,chair,5,106,14239,0.00035114825479317367
be,bean,5,107,14239,0.00035114825479317367
be,everybody,5,108,14239,0.00035114825479317367
be,school,5,109,14239,0.00035114825479317367
be,place,5,110,14239,0.00035114825479317367
be,teacher,5,111,14239,0.00035114825479317367
be,sister,5,112,14239,0.00035114825479317367
be,tomorrow,5,113,14239,0.00035114825479317367
be,bit,5,114,14239,0.00035114825479317367
be,three,5,115,14239,0.00035114825479317367
be,everything,5,116,14239,0.00035114825479317367
be,any,5,117,14239,0.00035114825479317367
be,shark,5,118,14239,0.00035114825479317367
be,germ,5,119,14239,0.00035114825479317367
be,story,5,120,14239,0.00035114825479317367
be,instrument,5,121,14239,0.00035114825479317367
be,yag,5,122,14239,0.00035114825479317367
be,rock,5,123,14239,0.00035114825479317367
be,bed,5,124,14239,0.00035114825479317367
be,job,5,125,14239,0.00035114825479317367
be,y,5,126,14239,0.00035114825479317367
be,fruit,5,127,14239,0.00035114825479317367
be,ball,5,128,14239,0.00035114825479317367
be,tim,5,129,14239,0.00035114825479317367
be,sound,4,130,14239,0.00028091860383453897
be,s,4,131,14239,0.00028091860383453897
be,t,4,132,14239,0.00028091860383453897
be,a,4,133,14239,0.00028091860383453897
be,the,4,134,14239,0.00028091860383453897
be,finger,4,135,14239,0.00028091860383453897
be,pen,4,136,14239,0.00028091860383453897
be,nose,4,137,14239,0.00028091860383453897
be,subject,4,138,14239,0.00028091860383453897
be,honey,4,139,14239,0.00028091860383453897
be,mind,4,140,14239,0.00028091860383453897
be,much,4,141,14239,0.00028091860383453897
be,table,4,142,14239,0.00028091860383453897
be,sis,4,143,14239,0.00028091860383453897
be,door,4,144,14239,0.00028091860383453897
be,woman,4,145,14239,0.00028091860383453897
be,god,4,146,14239,0.00028091860383453897
be,song,4,147,14239,0.00028091860383453897
be,problem,4,148,14239,0.00028091860383453897
be,microphone,4,149,14239,0.00028091860383453897
be,camera,4,150,14239,0.00028091860383453897
be,class,4,151,14239,0.00028091860383453897
be,juice,4,152,14239,0.00028091860383453897
be,plenty,4,153,14239,0.00028091860383453897
be,favorite,4,154,14239,0.00028091860383453897
be,difference,4,155,14239,0.00028091860383453897
be,language,4,156,14239,0.00028091860383453897
be,nobody,4,157,14239,0.00028091860383453897
be,ceiling,4,158,14239,0.00028091860383453897
be,dinosaur,4,159,14239,0.00028091860383453897
be,light,4,160,14239,0.00028091860383453897
be,mary,4,161,14239,0.00028091860383453897
be,tractor,4,162,14239,0.00028091860383453897
be,arm,4,163,14239,0.00028091860383453897
be,farm,4,164,14239,0.00028091860383453897
be,b,4,165,14239,0.00028091860383453897
be,helen,4,166,14239,0.00028091860383453897
be,karen,4,167,14239,0.00028091860383453897
be,bagel,4,168,14239,0.00028091860383453897
be,bear,4,169,14239,0.00028091860383453897
be,l,3,170,14239,0.0002106889528759042
be,egg,3,171,14239,0.0002106889528759042
be,mother,3,172,14239,0.0002106889528759042
be,little,3,173,14239,0.0002106889528759042
be,eraser,3,174,14239,0.0002106889528759042
be,point,3,175,14239,0.0002106889528759042
be,period,3,176,14239,0.0002106889528759042
be,blue,3,177,14239,0.0002106889528759042
be,colon,3,178,14239,0.0002106889528759042
be,hasta,3,179,14239,0.0002106889528759042
be,george,3,180,14239,0.0002106889528759042
be,both,3,181,14239,0.0002106889528759042
be,eye,3,182,14239,0.0002106889528759042
be,anybody,3,183,14239,0.0002106889528759042
be,head,3,184,14239,0.0002106889528759042
be,movie,3,185,14239,0.0002106889528759042
be,party,3,186,14239,0.0002106889528759042
be,fork,3,187,14239,0.0002106889528759042
be,sugar,3,188,14239,0.0002106889528759042
be,reason,3,189,14239,0.0002106889528759042
be,bus,3,190,14239,0.0002106889528759042
be,sun,3,191,14239,0.0002106889528759042
be,chili,3,192,14239,0.0002106889528759042
be,drink,3,193,14239,0.0002106889528759042
be,lesson,3,194,14239,0.0002106889528759042
be,line,3,195,14239,0.0002106889528759042
be,baby,3,196,14239,0.0002106889528759042
be,gravy,3,197,14239,0.0002106889528759042
be,direction,3,198,14239,0.0002106889528759042
be,dish,3,199,14239,0.0002106889528759042
be,glass,3,200,14239,0.0002106889528759042
be,purpose,3,201,14239,0.0002106889528759042
be,stop,3,202,14239,0.0002106889528759042
be,work,3,203,14239,0.0002106889528759042
be,brian,3,204,14239,0.0002106889528759042
be,jacket,3,205,14239,0.0002106889528759042
be,weather,3,206,14239,0.0002106889528759042
be,marky,3,207,14239,0.0002106889528759042
be,mouth,3,208,14239,0.0002106889528759042
be,restaurant,3,209,14239,0.0002106889528759042
be,nine,3,210,14239,0.0002106889528759042
be,friend,3,211,14239,0.0002106889528759042
be,kneel,3,212,14239,0.0002106889528759042
be,player,3,213,14239,0.0002106889528759042
be,strategy,3,214,14239,0.0002106889528759042
be,king,3,215,14239,0.0002106889528759042
be,cupcake,3,216,14239,0.0002106889528759042
be,dessert,3,217,14239,0.0002106889528759042
be,costume,3,218,14239,0.0002106889528759042
be,clock,3,219,14239,0.0002106889528759042
be,frog,3,220,14239,0.0002106889528759042
be,bubble,3,221,14239,0.0002106889528759042
be,order,3,222,14239,0.0002106889528759042
be,vegetable,3,223,14239,0.0002106889528759042
be,ship,3,224,14239,0.0002106889528759042
be,few,3,225,14239,0.0002106889528759042
be,face,3,226,14239,0.0002106889528759042
be,skack,3,227,14239,0.0002106889528759042
be,brib,3,228,14239,0.0002106889528759042
be,christine,3,229,14239,0.0002106889528759042
be,sofa,3,230,14239,0.0002106889528759042
be,bag,3,231,14239,0.0002106889528759042
be,grover,3,232,14239,0.0002106889528759042
be,christopher,3,233,14239,0.0002106889528759042
be,hat,3,234,14239,0.0002106889528759042
be,voice,2,235,14239,0.00014045930191726948
be,h,2,236,14239,0.00014045930191726948
be,page,2,237,14239,0.00014045930191726948
be,bunny,2,238,14239,0.00014045930191726948
be,e,2,239,14239,0.00014045930191726948
be,cheese,2,240,14239,0.00014045930191726948
be,author,2,241,14239,0.00014045930191726948
be,kitchen,2,242,14239,0.00014045930191726948
be,chart,2,243,14239,0.00014045930191726948
be,vowel,2,244,14239,0.00014045930191726948
be,santa,2,245,14239,0.00014045930191726948
be,left,2,246,14239,0.00014045930191726948
be,taco,2,247,14239,0.00014045930191726948
be,channel,2,248,14239,0.00014045930191726948
be,thanksgiving,2,249,14239,0.00014045930191726948
be,my,2,250,14239,0.00014045930191726948
be,eight,2,251,14239,0.00014045930191726948
be,body,2,252,14239,0.00014045930191726948
be,mouse,2,253,14239,0.00014045930191726948
be,goliath,2,254,14239,0.00014045930191726948
be,uncle,2,255,14239,0.00014045930191726948
be,butter,2,256,14239,0.00014045930191726948
be,bath,2,257,14239,0.00014045930191726948
be,address,2,258,14239,0.00014045930191726948
be,louisa,2,259,14239,0.00014045930191726948
be,dress,2,260,14239,0.00014045930191726948
be,dinner,2,261,14239,0.00014045930191726948
be,potato,2,262,14239,0.00014045930191726948
be,lentil,2,263,14239,0.00014045930191726948
be,soup,2,264,14239,0.00014045930191726948
be,beer,2,265,14239,0.00014045930191726948
be,noise,2,266,14239,0.00014045930191726948
be,alotof,2,267,14239,0.00014045930191726948
be,bride,2,268,14239,0.00014045930191726948
be,earth,2,269,14239,0.00014045930191726948
be,circle,2,270,14239,0.00014045930191726948
be,magnet,2,271,14239,0.00014045930191726948
be,flower,2,272,14239,0.00014045930191726948
be,craig,2,273,14239,0.00014045930191726948
be,thursday,2,274,14239,0.00014045930191726948
be,mike,2,275,14239,0.00014045930191726948
be,meal,2,276,14239,0.00014045930191726948
be,four,2,277,14239,0.00014045930191726948
be,pig,2,278,14239,0.00014045930191726948
be,library,2,279,14239,0.00014045930191726948
be,milk,2,280,14239,0.00014045930191726948
be,applesauce,2,281,14239,0.00014045930191726948
be,hollywood,2,282,14239,0.00014045930191726948
be,meatball,2,283,14239,0.00014045930191726948
be,cherry,2,284,14239,0.00014045930191726948
be,sothat,2,285,14239,0.00014045930191726948
be,foot,2,286,14239,0.00014045930191726948
be,snow,2,287,14239,0.00014045930191726948
be,lamb,2,288,14239,0.00014045930191726948
be,fur,2,289,14239,0.00014045930191726948
be,box,2,290,14239,0.00014045930191726948
be,mine,2,291,14239,0.00014045930191726948
be,assignment,2,292,14239,0.00014045930191726948
be,machine,2,293,14239,0.00014045930191726948
be,question,2,294,14239,0.00014045930191726948
be,riddle,2,295,14239,0.00014045930191726948
be,witch,2,296,14239,0.00014045930191726948
be,side,2,297,14239,0.00014045930191726948
be,six,2,298,14239,0.00014045930191726948
be,seven,2,299,14239,0.00014045930191726948
be,pittsburgh,2,300,14239,0.00014045930191726948
be,sunday,2,301,14239,0.00014045930191726948
be,state,2,302,14239,0.00014045930191726948
be,celia,2,303,14239,0.00014045930191726948
be,cartoonist,2,304,14239,0.00014045930191726948
be,battery,2,305,14239,0.00014045930191726948
be,indian,2,306,14239,0.00014045930191726948
be,grandmother,2,307,14239,0.00014045930191726948
be,idea,2,308,14239,0.00014045930191726948
be,cell,2,309,14239,0.00014045930191726948
be,bathroom,2,310,14239,0.00014045930191726948
be,suggestion,2,311,14239,0.00014045930191726948
be,other,2,312,14239,0.00014045930191726948
be,zero,2,313,14239,0.00014045930191726948
be,kell,2,314,14239,0.00014045930191726948
be,smide,2,315,14239,0.00014045930191726948
be,symbol,2,316,14239,0.00014045930191726948
be,slug,2,317,14239,0.00014045930191726948
be,position,2,318,14239,0.00014045930191726948
be,goat,2,319,14239,0.00014045930191726948
be,soap,2,320,14239,0.00014045930191726948
be,yock,2,321,14239,0.00014045930191726948
be,x,2,322,14239,0.00014045930191726948
be,go,2,323,14239,0.00014045930191726948
be,task,2,324,14239,0.00014045930191726948
be,math,2,325,14239,0.00014045930191726948
