rank,verb,frequency
1,be,87808
2,go,27172
3,want,18737
4,do,12451
5,get,11691
6,have,10196
7,say,6443
8,know,6227
9,put,6127
10,see,5949
11,think,5867
12,like,5747
13,come,3130
14,look,2856
15,make,2510
16,need,2314
17,play,2072
18,take,1967
19,eat,1939
20,find,1924
21,sit,1430
22,give,1412
23,fall,1264
24,try,1162
25,turn,998
26,hear,923
27,fit,890
28,tell,880
29,open,834
30,love,823
31,throw,821
32,read,815
33,help,751
34,hold,668
35,show,609
36,talk,602
37,can,590
38,draw,570
39,push,555
40,pick,548
41,remember,522
42,use,505
43,mean,500
44,call,477
45,stay,477
46,happen,473
47,drink,460
48,work,459
49,bring,449
50,leave,414
51,cook,411
52,move,392
53,feed,391
54,pull,386
55,feel,385
56,blow,384
57,keep,382
58,hurt,365
59,will,362
60,let,361
61,wear,356
62,build,349
63,ride,348
64,run,333
65,stop,332
66,sing,327
67,fix,324
68,drop,319
69,close,318
70,start,317
71,guess,316
72,sleep,310
73,break,308
74,finish,304
75,stand,302
76,walk,298
77,catch,296
78,begin,295
79,roll,294
80,cry,292
81,jump,291
82,pop,285
83,wash,281
84,hide,269
85,touch,248
86,bet,248
87,knock,248
88,ask,247
89,drive,241
90,miss,235
91,dance,227
92,sound,225
93,write,223
94,live,218
95,watch,217
96,color,217
97,lose,201
98,taste,192
99,climb,191
100,hit,186
