rank,verb,frequency
1,be,707095
2,go,197591
3,do,138799
4,get,102557
5,have,102086
6,want,101633
7,think,80144
8,know,70108
9,like,50794
10,say,50700
11,see,50090
12,put,40454
13,look,28712
14,come,28219
15,make,25869
16,play,19833
17,eat,19664
18,need,19610
19,take,17014
20,tell,15558
21,find,13312
22,give,11116
23,happen,10909
24,sit,10584
25,remember,10084
26,fall,9847
27,mean,9465
28,try,8859
29,can,8523
30,hear,7129
31,use,6324
32,read,6217
33,fit,6143
34,talk,5904
35,help,5704
36,love,5561
37,start,5526
38,will,5413
39,turn,5179
40,show,5164
41,bring,5114
42,work,5069
43,open,4794
44,keep,4629
45,call,4620
46,hold,4605
47,hurt,4467
48,finish,4303
49,buy,4285
50,feel,4225
51,wear,4009
52,run,3969
53,leave,3916
54,pick,3849
55,stay,3849
56,watch,3809
57,move,3707
58,ask,3693
59,live,3692
60,throw,3549
61,break,3522
62,draw,3515
63,sing,3304
64,walk,3296
65,guess,3239
66,sleep,3204
67,let,3171
68,build,3153
69,sound,3059
70,stand,3006
71,drink,3003
72,wonder,2905
73,drive,2857
74,bet,2829
75,pull,2791
76,cry,2786
77,hide,2739
78,stop,2651
79,push,2639
80,wait,2620
81,would,2580
82,jump,2570
83,pretend,2520
84,forget,2515
85,write,2500
86,wash,2430
87,drop,2428
88,lose,2375
89,fix,2323
90,miss,2309
91,seem,2218
92,blow,2215
93,hit,2194
94,cut,2162
95,fly,2096
96,catch,2092
97,ride,1985
98,knock,1978
99,stick,1947
100,cook,1853
