rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3506188849332315,0.35986442618062997,8.548003295734624e-05,100
2,0.16630205338725895,0.1326342614790572,0.0011335202119739745,100
3,0.09557148617251957,0.0739748870113965,0.0004664130953262216,100
4,0.0576871288244095,0.048884652214178245,7.748359447366837e-05,100
5,0.04155262404536415,0.03545047927642452,3.7236170781097306e-05,100
6,0.03045865860441111,0.027264724693372298,1.020121382808369e-05,100
7,0.022165361973188392,0.021837239621647825,1.0766427758051184e-07,99
8,0.014165793082205605,0.018017284489336073,1.4833986059199836e-05,99
9,0.009871356751477652,0.01520651531585988,2.8463916907101035e-05,99
10,0.007403460396126071,0.0130658875838622,3.206308165641329e-05,99
11,0.005923099789138876,0.011390255096592987,2.9889787155823658e-05,98
12,0.004881060122432415,0.010048886083338837,2.6706425162218384e-05,97
13,0.0043209267908607876,0.008954894835970876,2.1473659843101412e-05,97
14,0.003928182643598739,0.008048492541201244,1.697695365228117e-05,96
15,0.0034770000502290853,0.00728731435559304,1.4518495105661195e-05,96
16,0.003068231703348609,0.00664058197545115,1.2761686466591098e-05,96
17,0.0028732782975283474,0.006085446805688675,1.0318026524816945e-05,96
18,0.0026286894290484526,0.005604624358109474,8.856188702005429e-06,96
19,0.002468059330973155,0.005184820575645414,7.380791660553161e-06,95
20,0.0022699966910814896,0.004815658965368513,6.48039641472818e-06,95
21,0.0020761474059087692,0.0044889330984923545,5.821534798336051e-06,95
22,0.001995575651370572,0.0041980756165000315,4.85100609639527e-06,95
23,0.0019798755212279222,0.003937774419797939,3.833368097021686e-06,93
24,0.0019204543323120002,0.003703690855182848,3.1799324965005117e-06,93
25,0.0018465497042122222,0.0034922498293771323,2.7083289019678005e-06,92
26,0.0017932628212109526,0.0033004814501877274,2.2717079955346287e-06,92
27,0.001733290013432163,0.0031259001181827666,1.939362903853487e-06,92
28,0.0016659369766980096,0.002966411199772507,1.6912332048812179e-06,92
29,0.0016141567150875645,0.0028202382618470697,1.4546326974338004e-06,92
30,0.0015794719048417205,0.0026858658077935907,1.2241074684890724e-06,91
31,0.001569466493173917,0.0025619938221159455,9.851104986967977e-07,91
32,0.001497082153320282,0.002447501397826441,9.032967403276579e-07,91
33,0.0014481375775679491,0.0023414174130635497,7.979488645030471e-07,91
34,0.0013900758477685524,0.0022428967247723193,7.273034482534742e-07,91
35,0.0013571756483774767,0.0021512007143294886,6.304758053600969e-07,91
36,0.001349374437358663,0.0020656812914101744,5.130955091611733e-07,91
37,0.0012950084531794422,0.001985767664991598,4.771482887033508e-07,90
38,0.0012604567034007477,0.0019109553429628907,4.231484800721989e-07,90
39,0.0012454016999824153,0.001840796937670578,3.5449548906174367e-07,89
40,0.0012345080952110056,0.0017748944434036785,2.9201740531301277e-07,88
41,0.001195488651031773,0.0017128927201941532,2.677069707857891e-07,88
42,0.0011805175460026238,0.0016544739713966108,2.2463469317224592e-07,87
43,0.001164177930116867,0.0015993530440066917,1.8937737974902196e-07,85
44,0.0011532984895128726,0.0015472734133165904,1.5521624058614527e-07,84
45,0.0011390777647231705,0.0014980037393330409,1.2882785524964533e-07,84
46,0.0011327527913889538,0.0014513349029361075,1.0149456179784305e-07,83
47,0.0011208762826554577,0.001407077446202048,8.191110601542217e-08,82
48,0.0011027275566622477,0.0013650593545396572,6.881797217759404e-08,81
49,0.0010804440326907772,0.0013251241289793632,5.986834951979171e-08,80
50,0.0010485422098046706,0.0012871291056352021,5.6923706862048915e-08,78
51,0.0010148384768167485,0.0012509439864409532,5.574581167490543e-08,77
52,0.000993244260595271,0.0012164495510630154,4.982060169279017e-08,76
53,0.001000374777030401,0.0011835365246650267,3.354822579657031e-08,75
54,0.000977168251066564,0.0011521045801408676,3.0602719229993e-08,74
55,0.0009604675681060158,0.001122061456700587,2.6112584831114694e-08,73
56,0.0009505988452173031,0.0010933221794130429,2.0369950123948816e-08,73
57,0.0009386336041463868,0.0010658083665797413,1.617342019998015e-08,72
58,0.000922695171331389,0.001039447613716924,1.3631132802987675e-08,71
59,0.0009096433666582428,0.0010141729445222669,1.0926432648431058e-08,70
60,0.000909980777865846,0.0009899223205511972,6.390650246913833e-09,69
61,0.000896740600398086,0.0009666382024685429,4.885674775199946e-09,68
62,0.0008938925938764108,0.0009442671567088782,2.537596580562209e-09,68
63,0.0008957256221308045,0.0009227595022021205,7.308306717102929e-10,67
64,0.0008952718175992084,0.0009020689925231162,4.6201586946201463e-11,67
65,0.00089393320258067,0.0008821525294245208,1.3878426001201378e-10,67
66,0.0008678110945288354,0.0008629699042272388,2.3437123536273378e-11,66
67,0.0008610217031101598,0.0008444835639853327,2.735100457121398e-10,64
68,0.0008477820850305785,0.0008266583997237157,4.462100809433739e-10,62
69,0.0008387158915306624,0.000809461554376333,8.558162423391807e-10,62
70,0.0008363441903475017,0.0007928622483376485,1.890679280948237e-09,62
71,0.0008363441903475017,0.0007768316207875816,3.5417459356243314e-09,62
72,0.0008295879708795215,0.0007613425851650374,4.65743267131871e-09,61
73,0.0008243790757001311,0.0007463696973524586,6.085463110190316e-09,60
74,0.0008209459052703805,0.0007318890352972855,7.931126089404747e-09,60
75,0.0008169569189893989,0.0007178780889391709,9.81661456412195e-09,59
76,0.0008169569189893989,0.0007043156594370376,1.2688053353542423e-08,59
