rank,verb,frequency
1,go,18260
2,do,14226
3,have,10766
4,get,9978
5,know,9063
6,think,8750
7,want,8224
8,say,6299
9,see,5385
10,like,5158
11,look,3552
12,come,3392
13,put,3231
14,tell,3009
15,make,2874
16,eat,2552
17,play,2301
18,take,1957
19,happen,1778
20,need,1648
21,mean,1517
22,find,1325
23,remember,1299
24,give,1056
25,can,997
26,use,971
27,sit,909
28,hear,903
29,start,874
30,fall,874
31,try,851
32,talk,789
33,call,678
34,work,630
35,sound,625
36,help,611
37,bring,609
38,buy,605
39,love,602
40,guess,594
41,walk,576
42,read,575
43,feel,554
44,keep,550
45,turn,529
46,run,525
47,wonder,525
48,will,511
49,show,502
50,leave,473
51,ask,470
52,stay,468
53,bet,456
54,wear,445
55,let,435
56,fit,429
57,forget,429
58,hurt,426
59,live,425
60,finish,410
61,watch,403
62,drive,403
63,pick,400
64,would,395
65,fly,388
66,break,370
67,move,354
68,build,350
69,hold,343
70,open,339
71,wait,313
72,stop,312
73,jump,301
74,pretend,299
75,sleep,291
76,lose,275
77,draw,266
78,write,266
79,could,258
80,stand,242
81,hope,238
82,cry,238
83,drink,236
84,hit,235
85,pull,230
86,sing,228
87,cut,227
88,drop,227
89,catch,222
90,haft,214
91,throw,212
92,learn,205
93,win,200
94,fix,197
95,miss,191
96,push,187
97,understand,180
98,wash,179
99,grow,178
100,seem,178
