rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.37923598898114164,0.38068478800359495,2.099018607461689e-06,100
2,0.1465753253713652,0.136471237399387,0.00010209259374547462,100
3,0.0788133406317826,0.07489038547010594,1.538957720052547e-05,99
4,0.0460261649002839,0.04892341176801623,8.394039412584795e-06,99
5,0.03291367004939566,0.035163323529773534,5.06094078177628e-06,99
6,0.021795008433498013,0.02684736531769668,2.552631008530966e-05,99
7,0.016273860315070814,0.02137078247034588,2.5978615456933838e-05,99
8,0.011570478697018981,0.017538495763896544,3.561722771054188e-05,99
9,0.009421624038730177,0.014732844633151169,2.8209064202601674e-05,99
10,0.007515321493335281,0.012605658078299303,2.5911526548223188e-05,98
11,0.006438651750676676,0.010947232678367587,2.0327301981538236e-05,98
12,0.005542646393914117,0.009624480098177322,1.666136638925908e-05,98
13,0.004870528479560267,0.008549276466650652,1.3533186752521558e-05,97
14,0.004198091490368624,0.007661186419389284,1.1993026487408609e-05,97
15,0.003839586384663548,0.006917520574869722,9.473678879240137e-06,97
16,0.0033948820973229003,0.0062873545107357065,8.366396662354104e-06,96
17,0.003119518602009034,0.005747793002195563,6.90782632267586e-06,95
18,0.002984107149718966,0.005281559969977237,5.2782894613126845e-06,95
19,0.0028458443442860326,0.0048753993325345215,4.119093450324324e-06,95
20,0.0028004202267823135,0.004518987389017601,2.9534730911134474e-06,94
21,0.00267578545774709,0.004204176755775365,2.3359799598885536e-06,93
22,0.0025506045112040293,0.003924460437598893,1.8874801064902895e-06,93
23,0.0024510127779895597,0.0036745852349311203,1.497129557386007e-06,92
24,0.0023619826731035593,0.0034502684365513153,1.1843659029230652e-06,91
25,0.0022829854749021974,0.0032479872078519955,9.312283445961135e-07,87
26,0.0022457260717037584,0.003064819964022979,6.70914804434651e-07,86
27,0.002165846312918282,0.0028983254608993024,5.365257022270018e-07,82
28,0.002001748752354001,0.002746449618027714,5.545793793351774e-07,79
29,0.0019691934917896465,0.002607452982908591,4.0737517800341404e-07,77
30,0.0018592090585069527,0.0024798537328979764,3.851998118499399e-07,73
31,0.0017700229099016835,0.002362382495960814,3.5088987919614464e-07,70
32,0.0017324661265939818,0.0022539462492013637,2.7194151827461e-07,69
33,0.0017245827690281189,0.002153599253107395,1.8405514361174364e-07,69
34,0.0016724946721280228,0.002060519485001745,1.5056325540568727e-07,67
35,0.0016622150582477496,0.0019739894048040837,9.720324317062912e-08,67
36,0.001659899476127588,0.0018933801591647945,5.451322935152051e-08,66
37,0.0016488877528024327,0.0018181385335303783,2.8645826777019098e-08,65
38,0.0016191206331321103,0.0017477761147651853,1.6552232954238522e-08,62
39,0.001578377713244743,0.0016818602430521239,1.070863397533548e-08,58
40,0.0015593992900976878,0.0016200064205497832,3.6732242616373062e-09,58
41,0.001545062763268547,0.0015618719126415288,2.825475026432169e-10,58
42,0.001471250804527024,0.0015071503306325602,1.288775974602086e-09,51
43,0.0014520927795106118,0.0014555670261500349,1.2070389711542931e-11,50
44,0.0014379339521835158,0.0014068751600313564,9.646485699510413e-10,49
45,0.0014285472134175597,0.0013608523342006776,4.582596672188258e-09,49
46,0.0014065893685811404,0.0013172976954777386,7.973002885604772e-09,47
47,0.0012989957881447984,0.0012760294366054535,5.274533030287679e-10,43
48,0.0012723335753178537,0.0012368826329140312,1.2567693173191426e-09,41
49,0.0012602436283811462,0.001199707363643146,3.6646393484292614e-09,41
50,0.001227250383630026,0.0011643670755469113,3.9543104354759185e-09,39
51,0.0011912217099803682,0.0011307371534182192,3.6583815825198e-09,39
52,0.001206041195906071,0.0010987036679086081,1.1521344916606134e-08,38
53,0.0011664013710679453,0.0010681622757375794,9.650919851328732e-09,36
54,0.0011314498521851747,0.0010390172512786122,8.543785710351859e-09,34
55,0.0010705081807996638,0.0010111806317343935,3.519758078092058e-09,33
56,0.0009994515542097269,0.0009845714607954767,2.214171800168115e-10,31
57,0.0009942514542150003,0.0009591151179141929,1.2345621286434332e-09,31
58,0.0009943685360986171,0.0009347427221990749,3.555237683182848e-09,30
59,0.0009811667481650047,0.0009113906015087329,4.868710642197548e-09,29
60,0.0009074052257779994,0.0008889998186501737,3.3875901154101655e-10,28
61,0.000851393522418378,0.0008675157477073615,2.599261482687415e-10,27
62,0.0008488905286920852,0.000846887694475935,4.011344897381679e-12,27
63,0.0007232675702924273,0.0008270685557876906,1.077464458978787e-08,26
64,0.000722079191052108,0.0008080145131969716,7.384879592141486e-09,26
65,0.000722079191052108,0.0007896847570895769,4.570512559246574e-09,26
66,0.000672890435188084,0.0007720412377790791,9.830881654438476e-09,25
67,0.0006510684721561826,0.0007550484405886225,1.0811833835211187e-08,24
68,0.0006459504725300736,0.0007386731822892808,8.597500905090177e-09,24
69,0.0006459504725300736,0.0007228844265879955,5.91883328698644e-09,24
70,0.0006412318181901261,0.0007076531166366142,4.411788887317444e-09,24
71,0.0006412318181901261,0.000692952022774989,2.674979562300066e-09,24
72,0.0006361138185640171,0.0006787556039308502,1.8183218592710562e-09,24
73,0.0006104610294500928,0.0006650398812817822,2.9788510672655046e-09,23
74,0.0006048524717925616,0.0006517823229439219,2.2024109290888286e-09,23
75,0.0006048524717925616,0.0006389617385912252,1.163442081542416e-09,23
76,0.0006048524717925616,0.000626558183031063,4.711379003692048e-10,23
77,0.0005971575181947381,0.000614552867868853,3.0259819028473234e-10,23
78,0.0005828251286319715,0.0006029280804884424,4.041286733435846e-10,23
79,0.0005828251286319715,0.0005916671096576882,7.81806284591343e-11,23
80,0.000553946597445025,0.0005807541771416747,7.186463291922213e-10,23
81,0.0005512763367705334,0.0005701743747704505,3.571358402463093e-10,23
82,0.0005512763367705334,0.0005599136064652097,7.460242777857442e-11,23
83,0.00046783172892955456,0.0005499585347773682,6.744812238764483e-09,22
84,0.0004664272807364499,0.0005402965315398375,5.456666214253789e-09,22
85,0.0004605043153006216,0.0005309156322696623,4.9577535573147164e-09,22
86,0.00045771267914092577,0.0005218044939966586,4.10776073150154e-09,22
87,0.00045135951053833,0.0005129523562243256,3.793678639698872e-09,22
88,0.00046350800067264446,0.0005043490047575179,1.6679876146606502e-09,21
89,0.00046350800067264446,0.0004959847381566045,1.054738477602056e-09,21
90,0.00046350800067264446,0.00048785033660041276,5.925493184203194e-10,21
91,0.0004595865795340522,0.0004799370329604894,4.141409546615903e-10,21
92,0.0004595865795340522,0.00047223648590736486,1.6002013125357626e-10,21
93,0.00045666200831913275,0.0004647407548858129,6.526614608864592e-11,21
94,0.00045666200831913275,0.0004574422768107677,6.088189190382543e-13,21
95,0.0004557145886046065,0.00045033384434876444,2.8952408746777188e-11,20
96,0.0004557145886046065,0.00044340858566167753,1.514377084313761e-10,20
97,0.00045264378882894116,0.00043665994550027697,2.5548324755528257e-10,20
98,0.00045264378882894116,0.00043008166754483074,5.090493168389084e-10,20
99,0.00045264378882894116,0.00042366777789876376,8.396092094257597e-10,20
100,0.00044612852684953005,0.00041741256964933387,8.246061979234988e-10,20
101,0.0004183342414922373,0.00041131058841649214,4.9331702528424527e-11,19
102,0.00040513042911638497,0.0004053566188176335,5.11617809508881e-14,18
103,0.00040513042911638497,0.0003995456717818812,3.118951448529343e-11,18
104,0.00040513042911638497,0.00039387297265294703,1.267303260262005e-10,18
105,0.00040513042911638497,0.00038833395002451943,2.821217098834762e-10,18
106,0.00040513042911638497,0.00038292422525660794,4.93115489861976e-10,18
107,0.0004076195021325119,0.00037763960262534723,8.987943744596932e-10,17
108,0.00040580198094143524,0.00037247606006248656,1.1106170024299476e-09,17
109,0.0004018266379643818,0.0003674297404441899,1.1831465590145812e-09,17
110,0.0004018266379643818,0.00036249694339187343,1.5468248751667922e-09,17
111,0.0003977778382687891,0.0003576741175506527,1.6083084154382844e-09,16
112,0.0003977778382687891,0.000352957853313571,2.0088310513859782e-09,16
113,0.0003977778382687891,0.00034834487596216267,2.4436177624083507e-09,16
114,0.00038515619025281973,0.00034383203919609415,1.7076854605590744e-09,15
115,0.0003830963329029328,0.00033941631902662656,1.907943612234305e-09,15
116,0.00038010917146240726,0.00033509480801049117,2.026292916981199e-09,15
117,0.00038010917146240726,0.0003308647098024579,2.425017004178222e-09,15
118,0.0003746191818683781,0.0003267233340064374,2.2940122424141647e-09,15
119,0.0003746191818683781,0.00032266809130638993,2.6989158105798935e-09,15
120,0.00035673725090635655,0.000318696488859634,1.447099577095365e-09,15
121,0.00035673725090635655,0.00031480612593636783,1.7582192412488114e-09,15
122,0.00033803690391024873,0.00031099468979033654,7.312813445071784e-10,14
123,0.00033803690391024873,0.000307259951746617,9.47220784482476e-10,14
124,0.00033803690391024873,0.00030359976349344803,1.1859166400864483e-09,14
125,0.00033803690391024873,0.00030001205356592025,1.4458892437085778e-09,14
126,0.00033803690391024873,0.00029649482401015764,1.725744402425552e-09,14
127,0.00033803690391024873,0.0002930461472173799,2.024168187796924e-09,14
128,0.00031483259849968283,0.000289664162917938,6.334501496324391e-10,14
129,0.00031483259849968283,0.0002863470753260634,8.114250304748085e-10,14
130,0.00031483259849968283,0.0002830931504266758,1.0073925639791114e-09,14
131,0.0003057440020710707,0.0002799007133961533,6.67875569535112e-10,13
132,0.0003057440020710707,0.00027676814614948655,8.396002263884025e-10,13
133,0.0003057440020710707,0.00027369388500672327,1.0272100038383732e-09,13
134,0.00030101969472389324,0.0002706764184720556,9.207144136953349e-10,13
135,0.00030101969472389324,0.00026771428511931965,1.1092503089284225e-09,13
136,0.00030101969472389324,0.0002648060715780667,1.3114265013479446e-09,13
137,0.00030101969472389324,0.00026195041061472267,1.5264089608030882e-09,13
138,0.00030101969472389324,0.0002591459793036922,1.7534080430919833e-09,13
139,0.0002958211692923617,0.00025639149728357556,1.5546990347204528e-09,13
140,0.0002958211692923617,0.0002536857250939574,1.7753956577968425e-09,13
141,0.0002958211692923617,0.00025102746258850273,2.0064761602713385e-09,13
142,0.0002910968619451842,0.0002484155474203447,1.8216946095682731e-09,13
143,0.0002910968619451842,0.0002458488535959918,2.047382259568584e-09,13
144,0.0002910968619451842,0.0002433262900941989,2.2820275349701496e-09,13
145,0.0002887201034645455,0.00024084679954645844,2.2918532280335285e-09,13
146,0.0002887201034645455,0.0002384093569759587,2.531171212238848e-09,13
147,0.0002831671127993764,0.00023601296859203973,2.2235133159263036e-09,13
148,0.0002831671127993764,0.00023365667063734598,2.451283883079761e-09,13
149,0.0002831671127993764,0.0002313395282850352,2.68609851659118e-09,13
150,0.0002784428054521989,0.0002290606345835513,2.43859879970031e-09,13
151,0.0002784428054521989,0.00022681910944660804,2.6650059892776598e-09,13
152,0.0002784428054521989,0.0002246140986861636,2.897529672103815e-09,13
153,0.0002784428054521989,0.0002224447730862865,3.1357796288537745e-09,13
154,0.0002784428054521989,0.00022031032751592991,3.3793849910108024e-09,13
155,0.0002784428054521989,0.00021820998007874052,3.627993252469534e-09,13
156,0.0002784428054521989,0.00021614297129812787,3.881269335624757e-09,13
157,0.0002902275615908571,0.00021410856333591737,5.794101895335516e-09,12
158,0.0002902275615908571,0.0002121060392429996,6.1029722539467975e-09,12
159,0.0002902275615908571,0.0002101347022404727,6.414866118920457e-09,12
160,0.0002902275615908571,0.00020819387502985455,6.729525730788809e-09,12
161,0.0002902275615908571,0.00020628289913101602,7.046706355496652e-09,12
162,0.0002902275615908571,0.00020440113424655774,7.366175630686296e-09,12
163,0.0002902275615908571,0.0002025479576514182,7.687712946976868e-09,12
164,0.0002902275615908571,0.00020072276360656418,8.011108862209085e-09,12
165,0.0002902275615908571,0.00019892496279567344,8.336164546754272e-09,12
166,0.0002902275615908571,0.0001971539817837756,8.662691258105167e-09,12
167,0.0002902275615908571,0.0001954092624968679,8.990509843077192e-09,12
168,0.0002902275615908571,0.00019369026172157486,9.31945026605172e-09,12
169,0.0002902275615908571,0.0001919964506239646,9.649351161789947e-09,12
170,0.00029774806100684917,0.00019032731428668092,1.153921682591854e-08,11
171,0.00029774806100684917,0.0001886823512635911,1.189532904180062e-08,11
172,0.00029774806100684917,0.00018706107315118805,1.2251609280559274e-08,11
173,0.0002949391646206397,0.00018546300417602432,1.1985029705695166e-08,11
174,0.0002949391646206397,0.00018388768079748909,1.2332432059323479e-08,11
175,0.0002949391646206397,0.00018233465132527334,1.2679776414486336e-08,11
176,0.0002949391646206397,0.00018080347555090066,1.3026955519424145e-08,11
177,0.0002949391646206397,0.00017929372439272822,1.3373867845507443e-08,11
178,0.0002949391646206397,0.00017780497955385485,1.37204173112598e-08,11
179,0.0002949391646206397,0.0001763368331923959,1.4066513020214982e-08,11
180,0.0002580124593527265,0.00017488888760361254,6.9095281803300955e-09,10
181,0.0002580124593527265,0.0001734607549134059,7.148990723594224e-09,10
182,0.0002580124593527265,0.00017205205678270984,7.389190809999325e-09,10
183,0.0002580124593527265,0.00017066242412233705,7.630028654750276e-09,10
184,0.0002580124593527265,0.0001692914968178546,7.87140919311414e-09,10
185,0.00025187085980139573,0.00016793892346408378,7.0445699373305855e-09,10
186,0.00025187085980139573,0.00016660436110883722,7.270375799288083e-09,10
187,0.00025187085980139573,0.00016528747500552509,7.496682522709804e-09,10
188,0.00023884033584257357,0.00016398793837427738,5.602881406751793e-09,10
189,0.00023884033584257357,0.0001627054321712457,5.796523557042374e-09,10
190,0.00023884033584257357,0.00016143964486576347,5.9908669636876515e-09,10
191,0.00023884033584257357,0.00016019027222505627,6.185832507039519e-09,10
192,0.00023884033584257357,0.0001589570171062096,6.381344612335517e-09,10
193,0.00023884033584257357,0.00015773958925511215,6.5773310970436346e-09,10
194,0.00023884033584257357,0.00015653770511210688,6.773723025155559e-09,10
195,0.00023060535145152984,0.0001553510876240921,5.663204224209607e-09,10
196,0.00023060535145152984,0.00015417946606282714,5.840915957447122e-09,10
197,0.00023060535145152984,0.00015302257584920765,6.0190870701602804e-09,10
198,0.0002244637519001991,0.00015188015838328412,5.268378047828743e-09,10
199,0.0002244637519001991,0.00015075196087980963,5.433428135433571e-09,10
200,0.0002244637519001991,0.0001496377362091087,5.598932624203309e-09,10
201,0.0002244637519001991,0.0001485372427430705,5.764834792787533e-09,10
