rank,verb,frequency
1,go,27172
2,want,18737
3,do,12423
4,get,11630
5,have,10195
6,say,6443
7,know,6227
8,put,6127
9,see,5949
10,think,5867
11,like,5747
12,come,3130
13,look,2856
14,make,2510
15,need,2314
16,play,2072
17,take,1967
18,eat,1939
19,find,1924
20,sit,1430
21,give,1412
22,fall,1264
23,try,1162
24,turn,998
25,hear,923
26,fit,890
27,tell,880
28,open,834
29,love,823
30,throw,821
31,read,815
32,help,751
33,hold,668
34,show,609
35,talk,602
36,can,586
37,draw,570
38,push,555
39,pick,548
40,remember,522
41,use,505
42,mean,500
43,call,477
44,stay,477
45,happen,473
46,drink,460
47,work,459
48,bring,449
49,leave,414
50,cook,411
51,move,392
52,feed,391
53,pull,386
54,feel,385
55,blow,384
56,keep,382
57,hurt,365
58,let,361
59,will,360
60,wear,356
61,build,349
62,ride,348
63,run,333
64,stop,332
65,sing,327
66,fix,324
67,drop,319
68,close,318
69,start,317
70,guess,316
71,sleep,310
72,break,308
73,finish,304
74,stand,302
75,walk,298
76,catch,296
77,begin,295
78,roll,294
79,cry,292
80,jump,291
81,pop,285
82,wash,281
83,hide,269
84,touch,248
85,bet,248
86,knock,248
87,ask,247
88,drive,241
89,miss,235
90,dance,227
91,sound,225
92,write,223
93,live,218
94,watch,217
95,color,217
96,lose,201
97,taste,192
98,climb,191
99,hit,186
100,forget,185
