rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.33231702776704986,0.3412382161619537,7.958760237736725e-05,100
2,0.1519637650727183,0.1284119287425339,0.0005546889945237938,100
3,0.08688537010970213,0.07249644219523801,0.00020704124652764453,100
4,0.05739607842985608,0.04832290951712025,8.23223941190359e-05,100
5,0.038676828204407515,0.035278487467294284,1.15487197655233e-05,100
6,0.02771244050719593,0.02728125845331413,1.859179635897279e-07,98
7,0.020752236131817228,0.021951764078688117,1.4388672953242916e-06,98
8,0.015274472974592687,0.018184475594021147,8.468115245080498e-06,98
9,0.011033543354100407,0.01540195054962157,1.9082981425881073e-05,98
10,0.009183758387570958,0.01327570712843171,1.6744044497831886e-05,96
11,0.007461484721402508,0.011606304941155913,1.7179534654076667e-05,95
12,0.00619644082517295,0.010266256388032946,1.6563398715697422e-05,95
13,0.005504841253415675,0.009170595466132695,1.3437753948052582e-05,94
14,0.00493730240121142,0.0082607053698451,1.1045007291923162e-05,93
15,0.00437433941297044,0.007494954276147937,9.73823712428431e-06,93
16,0.004117191872332176,0.006843030685319069,7.430197234385792e-06,93
17,0.003756589630999945,0.006282386972273591,6.379652209185018e-06,92
18,0.0036089191542979606,0.005795933992150994,4.783033900989329e-06,92
19,0.003262376219259315,0.0053705045103022535,4.44420489149562e-06,91
20,0.0030076501331640806,0.004995803743663441,3.952754778941641e-06,89
21,0.0028848773358197753,0.004663676927846838,3.164127988595644e-06,89
22,0.002805259510409367,0.004367588190533985,2.44087090473993e-06,89
23,0.002671986818025028,0.00410224329847217,2.0456335998610462e-06,85
24,0.0026195299786195498,0.0038633122590436726,1.5469943610970314e-06,85
25,0.0025189018486911664,0.0036472224359224725,1.2731073475699994e-06,84
26,0.002472625749220955,0.003451002249304731,9.57220575916179e-07,84
27,0.0024058896328550267,0.00327216168890244,7.504272750886126e-07,83
28,0.0023627334327013276,0.00310859997232012,5.563168949229115e-07,83
29,0.002340682971385023,0.002958533464060462,3.817392312992829e-07,81
30,0.002301354942695052,0.002820438886541589,2.6944814075927477e-07,78
31,0.002262148596106478,0.002693008193076871,1.8563999230148972e-07,77
32,0.0021813124805287825,0.0025751124203776646,1.5507839262498318e-07,76
33,0.0021374081861448013,0.002465772517306426,1.0782313397922123e-07,75
34,0.002014106601752602,0.002364135638998122,1.2252032691502564e-07,72
35,0.001936803626283787,0.002269455756290359,1.1065743959790931e-07,70
36,0.0018823093515373775,0.002181077697473632,8.926252453348531e-08,68
37,0.0018519188549638525,0.002098423938915671,6.076475641409321e-08,67
38,0.001828319315135012,0.002020983611522234,3.7119531102383324e-08,67
39,0.0017711409389463732,0.0019483033043135641,3.138650370249806e-08,65
40,0.0017107675637211541,0.0018799793339633571,2.863262318850009e-08,64
41,0.0017146924226492577,0.0018156512167216221,1.0192678100546092e-08,62
42,0.0017105502077087646,0.0017549961316543734,1.9754401553788387e-09,62
43,0.0016661568236730738,0.0016977242052101512,9.96499577107419e-10,61
44,0.0015866365319179962,0.0016435744794580682,3.241929870075988e-09,58
45,0.0015749367937526485,0.0015923114519471938,3.018787473772771e-10,57
46,0.001578860817332779,0.001543722095528521,1.2347297700370332e-09,56
47,0.0015669499180528867,0.0014976132828079989,4.807568987082626e-09,55
48,0.0015385241050444667,0.0014538095530396982,7.176555321368636e-09,54
49,0.0014548352117524001,0.0014121511698961609,1.821927429185185e-09,53
50,0.0014144158251770745,0.0013724924271892433,1.7575712988460886e-09,50
51,0.0013719389415814693,0.0013347001666641847,1.3867263573401862e-09,48
52,0.0013254455255719945,0.0012986524777685565,7.178674105973177e-10,47
53,0.001325088065682027,0.0012642375540547397,3.7027847653026256e-09,47
54,0.0012970925353956587,0.001231352684805876,4.321727955566943e-09,45
55,0.0012078582995712261,0.001199903363736481,6.328100413491179e-11,42
56,0.0012070582702936792,0.0011698024993342488,1.3879924697815328e-09,42
57,0.0011776446534415724,0.001140969713678283,1.3450512066408998e-09,41
58,0.0011762550080074484,0.0011133307184709523,3.9594662136727965e-09,41
59,0.001138219291299756,0.0010868167586202985,2.642220365862695e-09,40
60,0.0010974581267145915,0.001061364115059605,1.3027776773502945e-09,36
61,0.0010379601290368252,0.0010369136596329593,1.095098213227264e-12,35
62,0.0009829728139260213,0.0010134104558450793,9.264500455927949e-10,33
63,0.0009830427177795638,0.0009908034000988013,6.022819006012482e-11,32
64,0.0009794535352628843,0.0009690448987478305,1.0833971410251185e-10,32
65,0.0009489181740299932,0.0009480905768949432,6.849170179429149e-13,31
66,0.0009406337441490066,0.0009278990153827746,1.6217331674949584e-10,31
67,0.0008873375528240718,0.0009084315128688957,4.449551503726286e-10,30
68,0.0008536246106331828,0.0008896518702601275,1.2979634362272813e-09,29
69,0.0008536246106331828,0.0008715261951121655,3.204667268581562e-10,29
70,0.0008536246106331828,0.000854022723887347,1.5849416314117952e-13,29
71,0.0008279457762795139,0.0008371116602122505,8.401342826839849e-11,28
72,0.0008279457762795139,0.0008207650274932515,5.1563153131409723e-11,28
73,0.0008084199002900027,0.0008049565344367609,1.1994903033401227e-11,27
74,0.000735105367030728,0.0007896614521855838,2.976366427423878e-09,26
75,0.0007253582906794817,0.0007748565019269055,2.4500729166945894e-09,25
76,0.0007122366689439352,0.0007605197519537291,2.3312561049306488e-09,25
77,0.0006975676861546685,0.0007466305232724789,2.4071619860487937e-09,25
78,0.0006975676861546685,0.0007331693029470571,1.2674751182320826e-09,25
79,0.0005926142147896785,0.0007201176644556022,1.6257129676710738e-08,24
80,0.0005926142147896785,0.0007074581944120922,1.3189139655513368e-08,24
81,0.0005344462297604886,0.0006951744250720208,2.583355276810204e-08,23
82,0.0005344462297604886,0.0006832507721007924,2.214279182110728e-08,23
83,0.0005524603184804261,0.0006716724771361726,1.4211538771362867e-08,22
84,0.0005524603184804261,0.0006604255547229379,1.165649223690138e-08,22
85,0.0005524603184804261,0.000649496743239504,9.416067730024176e-09,22
86,0.0005516966541700406,0.000638873459473405,7.599795382900715e-09,22
87,0.0005400231393377414,0.0006285437565355856,7.835899669087267e-09,22
88,0.0004960317458457364,0.000618496284833024,1.4997563309368887e-08,21
89,0.0004960317458457364,0.000608720255845654,1.2698700286001535e-08,21
90,0.0004963989989490448,0.000599205408477227,1.056915784007631e-08,20
91,0.0004963989989490448,0.0005899419777710024,8.750288886885204e-09,20
92,0.0004963989989490448,0.0005809206658002259,7.143912167302046e-09,20
93,0.0004955589682076206,0.0005721326145605004,5.863523315775898e-09,20
94,0.00048594448291484226,0.0005635693807065879,6.0256247571789525e-09,20
95,0.00048309570977488807,0.0005552229119900952,5.202333299393376e-09,20
96,0.00048309570977488807,0.000547085525267036,4.0946964867191385e-09,20
97,0.00048309570977488807,0.0005391498859556037,3.1420706672987126e-09,20
98,0.00047816105680445817,0.0005314089888347326,2.8353422655007205e-09,19
99,0.00047816105680445817,0.0005238561400833,2.0880406358602854e-09,19
100,0.00047816105680445817,0.0005164849404682326,1.4687200590745155e-09,19
101,0.0004725799541636051,0.0005092892695973952,1.3475738396174996e-09,18
102,0.0004725799541636051,0.0005022632711600687,8.810993079125419e-10,18
103,0.0004725799541636051,0.0004954013390841098,5.208156096898378e-10,18
104,0.0004725799541636051,0.0004886981045446108,2.5979477170471377e-10,18
105,0.0004716465866731338,0.0004821484237640853,1.1028858228488495e-10,18
106,0.0004716465866731338,0.00047574736654895514,1.681639558994142e-11,18
107,0.0004716465866731338,0.0004694902055114508,4.6499797144611376e-12,18
108,0.0004716465866731338,0.00046337240592998264,6.846206697033317e-11,18
109,0.0004684812831842958,0.0004573896162046664,1.230250763870017e-10,18
110,0.0004381494980677257,0.00045153765886798427,1.7924284961357976e-10,17
111,0.0004549830904063169,0.0004458125221135919,8.409932281153251e-11,16
112,0.0004397632682019676,0.000440210351809054,1.9988375172539914e-13,15
113,0.0004397632682019676,0.0004347274439608341,2.5359525787587633e-11,15
114,0.0004397632682019676,0.0004293602376021932,1.0822304565984303e-10,15
115,0.0004397632682019676,0.00042410530807679815,2.451717152813965e-10,15
116,0.0004397632682019676,0.00041895936069280705,4.3280256764970667e-10,15
117,0.0004397632682019676,0.0004139192247240085,6.679145832906402e-10,15
118,0.0004397632682019676,0.00040898184773626096,9.47495845886624e-10,15
119,0.00045161976746820894,0.0004041442902190092,2.2539209400392825e-09,14
120,0.00045161976746820894,0.00039940372050307425,2.726515560665152e-09,14
121,0.0004421270191430425,0.00039475740994721325,2.2438798753655926e-09,14
122,0.0004421270191430425,0.00039020272837715484,2.696131971540448e-09,14
123,0.0004421270191430425,0.00038573713976192245,3.17981849661727e-09,14
124,0.0004421270191430425,0.0003813581981132933,3.6928496093456925e-09,14
125,0.0004421270191430425,0.0003770635435951835,4.233255850366851e-09,14
126,0.0004096875515701884,0.00037285089883063686,1.3569389850543096e-09,13
127,0.0004096875515701884,0.00036871806539490507,1.6784987974667312e-09,13
128,0.0004037309465454325,0.00036466292048386483,1.5263106603473318e-09,13
129,0.0003839757675984645,0.00036068341374771495,5.425337479085271e-10,13
130,0.0003186147208393378,0.00035677756428054906,1.4564026195184003e-09,12
131,0.0003186147208393378,0.0003529434577570003,1.1784621783620842e-09,12
132,0.00031721466960363097,0.0003491792437077135,1.0217339976553828e-09,12
133,0.00031721466960363097,0.0003454831329259243,7.991060186038423e-10,12
134,0.00031721466960363097,0.00034185339499790524,6.07066789054456e-10,12
135,0.0002996924331592793,0.00033828835595048996,1.489645256105096e-09,11
136,0.0002996924331592793,0.0003347863960093075,1.23158622851916e-09,11
137,0.0002945128456320898,0.00033134594746174614,1.356677390393831e-09,11
138,0.0002945128456320898,0.00032796549261903264,1.119079590433014e-09,11
139,0.0003015669733487334,0.0003246435618721514,5.325289378791477e-10,10
140,0.0003015669733487334,0.0003213787318366423,3.925057743832316e-10,10
141,0.0003015669733487334,0.00031816962358161536,2.7564799475541576e-10,10
142,0.0003015669733487334,0.0003150149009385923,1.8084675646208844e-10,10
143,0.0003015669733487334,0.0003119132688860453,1.0704583134540028e-10,10
144,0.0002890587195607802,0.00030886347200574307,3.922282194062637e-10,9
145,0.0002890587195607802,0.0003058642930072401,2.824272988643585e-10,9
146,0.0002890587195607802,0.00030291455131705483,1.9198407365818905e-10,9
147,0.0002890587195607802,0.00030001310172928143,1.1999848869357813e-10,9
148,0.00027443044674275524,0.0002971588331145626,5.165795470661576e-10,9
149,0.00027443044674275524,0.0002943506671845261,3.968151824487446e-10,9
150,0.00027443044674275524,0.0002915875573089481,2.943664429805673e-10,9
151,0.00027443044674275524,0.0002888684873830597,2.084570175310833e-10,9
152,0.000261683102903918,0.00028619247074255567,6.007091118496467e-10,8
