rank,verb,frequency
1,be,9912
2,go,2756
3,do,2685
4,have,1889
5,think,1782
6,know,1662
7,say,1192
8,get,1165
9,want,1121
10,see,963
11,wanna,945
12,like,823
13,tell,583
14,read,395
15,make,384
16,eat,379
17,look,366
18,put,319
19,mean,307
20,start,303
21,come,290
22,write,286
23,play,284
24,hit,239
25,take,210
26,need,193
27,happen,190
28,try,183
29,call,163
30,help,153
31,give,151
32,move,149
33,use,149
34,remember,142
35,can,140
36,hear,132
37,sound,121
38,work,118
39,talk,118
40,love,115
41,feel,101
42,wear,101
43,ask,100
44,keep,88
45,sit,88
46,guess,84
47,paint,77
48,live,76
49,spell,75
50,learn,74
51,finish,73
52,pick,72
53,grow,71
54,find,69
55,skip,65
56,stop,64
57,hafta,63
58,brush,63
59,bring,62
60,miss,61
61,share,60
62,leave,59
63,wash,59
64,turn,58
65,let,57
66,show,56
67,dress,52
68,wait,47
69,press,46
70,build,42
71,understand,41
72,forget,41
73,fall,41
74,walk,41
75,watch,38
76,hold,38
77,cut,37
78,win,36
79,buy,36
80,flip,35
81,will,34
82,would,34
83,stay,33
84,feed,33
85,become,32
86,needta,32
87,listen,31
88,bet,30
89,teach,30
90,pretend,30
91,send,29
92,useta,28
93,figure,27
94,notice,26
95,lose,26
96,break,26
97,open,26
98,throw,26
99,hurt,26
100,swing,26
