rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.39119307939226755,0.3921808866556225,9.757631895368078e-07,100
2,0.15103185470179892,0.14255505775389676,7.185608649596328e-05,100
3,0.07918974240786633,0.07886592331836918,1.0485880272276245e-07,100
4,0.05297928100925376,0.0518177840447939,1.3490751984494627e-06,98
5,0.03567326678793561,0.03741021617032249,3.016993156974166e-06,98
6,0.028136159670633758,0.028667221264499963,2.8202641647971464e-07,95
7,0.020798327590073912,0.022889867863782682,4.374540716545758e-06,90
8,0.01765010442689143,0.018835408477392308,1.404945692133783e-06,86
9,0.016032938957248857,0.015859604770388974,3.004474033437664e-08,83
10,0.014249885916269448,0.0135983565446652,4.24490522063025e-07,75
11,0.01324554446213077,0.011831862219684137,1.998497482608937e-06,69
12,0.012193587751467162,0.010420337966630841,3.144414799422056e-06,68
13,0.01024919133493259,0.009271054405990117,9.567518517610115e-07,59
14,0.009326574091125814,0.00832030969975835,1.0125680253341333e-06,56
15,0.008424523084357344,0.007523036792976179,8.126775335481664e-07,50
16,0.008308233470186787,0.006846541569657604,2.1365432120726143e-06,47
17,0.0076448423260891425,0.006266585923802512,1.8995907104440866e-06,44
18,0.006900351577380763,0.005764857367926918,1.289347099703212e-06,42
19,0.005580847251714621,0.005327287886260147,6.42923518096757e-08,36
20,0.005163060956001318,0.004942909174166497,4.846680704504656e-08,32
21,0.0038680362552127832,0.004603055949786449,5.402539514111651e-07,28
22,0.0037475141488127538,0.004300800624035307,3.061259236641975e-07,27
23,0.0037156924794570457,0.004030545085059138,9.913216325442645e-08,27
24,0.003593097570872197,0.003787721256167664,3.7878378877988876e-08,25
25,0.0027003308398498996,0.003568568284509982,7.538362603098693e-07,22
26,0.0027817659228931823,0.003369964578222753,3.4597765813151527e-07,21
27,0.0027647273268931504,0.0031892996732894386,1.8026167732444972e-07,21
28,0.0028922335664618637,0.003024375409760562,1.746146675037775e-08,19
29,0.002881582485184177,0.0028733289403534467,6.812100227287283e-11,17
30,0.002881582485184177,0.0027345721859442238,2.1612028082620544e-08,17
31,0.002451831150968667,0.002606743810726232,2.3997932153163127e-08,16
32,0.0019589835282345816,0.0024886708202433053,2.805686273155349e-07,14
33,0.0019589835282345816,0.0023793376227192555,1.766975647500302e-07,14
34,0.0019589835282345816,0.0022778609276587914,1.0168279586354704e-07,14
35,0.001979209540972709,0.0021834692460322926,4.172202711102811e-08,13
36,0.0019321275875180408,0.002095486044809311,2.6685985568583724e-08,12
37,0.0016929514999286203,0.0020133158237878794,1.0263330000180027e-07,11
38,0.0016929514999286203,0.001936432544618916,5.928301912347781e-08,11
39,0.0015226830446969316,0.0018643699648353657,1.1674995139368864e-07,10
40,0.0015226830446969316,0.00179671352371213,7.509270342929907e-08,10
41,0.0013217036773054676,0.0017330934992334382,1.692415855859274e-07,9
42,0.0012144407261267,0.0016731792116693098,2.104409981179272e-07,8
43,0.0012144407261267,0.0016166740931870245,1.6179168157668576e-07,8
44,0.0012144407261267,0.0015633114774553452,1.2171080113261337e-07,8
45,0.001131059247847747,0.0015128509905102062,1.4576493476523758e-07,7
46,0.0010799434598476499,0.0014650754458741106,1.4832664666068593e-07,7
47,0.0010799434598476499,0.0014197881642947269,1.1549442314072113e-07,7
