rank,verb,frequency
1,go,5407
2,do,4485
3,have,3757
4,know,3328
5,think,2811
6,get,2784
7,see,2208
8,say,2088
9,like,1697
10,want,1684
11,wanna,1344
12,eat,1332
13,look,1247
14,make,1239
15,tell,1135
16,come,888
17,put,816
18,play,807
19,happen,730
20,take,624
21,read,514
22,start,471
23,need,464
24,mean,403
25,try,378
26,call,372
27,use,356
28,find,350
29,give,346
30,remember,313
31,live,283
32,stick,262
33,talk,255
34,sit,247
35,hear,239
36,work,229
37,hit,219
38,feel,218
39,can,217
40,keep,212
41,stay,206
42,move,201
43,help,200
44,turn,185
45,ask,179
46,leave,174
47,fall,172
48,drink,172
49,bring,168
50,fly,165
51,love,162
52,show,155
53,pick,149
54,grow,145
55,guess,143
56,let,141
57,run,136
58,build,133
59,sound,133
60,walk,126
61,watch,123
62,finish,120
63,wear,117
64,open,112
65,roll,112
66,drive,107
67,hold,106
68,touch,106
69,pull,106
70,wait,104
71,jump,103
72,learn,101
73,wave,99
74,will,97
75,stop,97
76,wash,95
77,buy,95
78,hurt,92
79,wonder,90
80,push,89
81,end,88
82,cut,86
83,hafta,85
84,bet,85
85,would,81
86,lie,81
87,press,80
88,understand,79
89,brush,79
90,paint,76
91,miss,75
92,count,74
93,pretend,69
94,laugh,67
95,fit,67
96,nibble,67
97,listen,64
98,forget,64
99,feed,63
100,stand,62
