rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.36902481484088606,0.37459768187838943,3.10568470176916e-05,100
2,0.15491326012144513,0.13522313235981376,0.0003877011312693664,100
3,0.0859348238827282,0.07450695951940157,0.00013059608390659074,99
4,0.04998895582590558,0.04881315718108449,1.3825024531631144e-06,99
5,0.03368478595289117,0.03516245417057416,2.1835033615504276e-06,99
6,0.021862752924362634,0.026895693529919194,2.5330491139060028e-05,98
7,0.016692245298599334,0.021442280188455287,2.2562831454848854e-05,98
8,0.012643433828738017,0.01762068569484913,2.4773036138706565e-05,97
9,0.00988731032640193,0.014819330939233984,2.4324827325400275e-05,97
10,0.008119083884715385,0.012693023540778453,2.092092397730633e-05,95
11,0.006962492342233635,0.011033615315879586,1.657404226654785e-05,94
12,0.006049850059922317,0.00970886928041896,1.3388421655963867e-05,93
13,0.005244869822298218,0.008631143906090754,1.1466852170564974e-05,93
14,0.0048957156542452215,0.007740283595671051,8.091566773387582e-06,92
15,0.004608627089501465,0.006993763379294743,5.688875120888845e-06,91
16,0.004276406167737665,0.006360755629979569,4.344512680748113e-06,90
17,0.003938174821725754,0.005818421389126896,3.5353271542237775e-06,87
18,0.0037928012612647535,0.005349516150317444,2.4233612457983297e-06,83
19,0.003681744176292578,0.0049408002023231595,1.5852220766839204e-06,81
20,0.0035357820677714294,0.0045819568174960855,1.0944816069614466e-06,79
21,0.0031943057752147393,0.00426483979824401,1.1460430944632355e-06,75
22,0.0030966346136292186,0.003982939821690678,7.855369218368664e-07,73
23,0.0029391603302254903,0.0037309992913993504,6.270089404328979e-07,70
24,0.0027875146656411885,0.0035047299523771076,5.143977675276867e-07,68
25,0.0026632047788471523,0.003300602868383783,4.0627632454494666e-07,64
26,0.002603347278941991,0.0031156901691901306,2.6249523718781744e-07,62
27,0.0025958025383382164,0.002947544375761979,1.2372232019424474e-07,62
28,0.0024272473215032073,0.0027941053663533204,1.3458482507124758e-07,57
29,0.0023645947101886815,0.0026536279239839236,8.354019867680612e-08,55
30,0.0023394447307571883,0.0025246247824849393,3.429165155789256e-08,54
31,0.0022971810937444056,0.0024058214659939963,1.1802730482529626e-08,50
32,0.002270798830692965,0.002296120189927897,6.411712335044857e-10,46
33,0.0022702651826353873,0.0021945707874395566,5.729641464062609e-09,44
34,0.0021046329787620006,0.002100347128903222,1.8368509011992053e-11,40
35,0.001960291468447434,0.002012727870227286,2.7495762316180553e-09,37
36,0.0019247488029811956,0.0019310806378406177,4.0092132686992766e-11,36
37,0.0019029432759509676,0.0018548489610788505,2.313063123018348e-09,35
38,0.0017958987948094968,0.0017835414153444672,1.5270482724273675e-10,34
39,0.0018176358370643301,0.0017167225552292792,1.0183490450720426e-08,33
40,0.001797227480734253,0.001654005305351486,2.051259152137208e-08,32
41,0.0017561984375503348,0.0015950445448892334,2.5970577119825766e-08,32
42,0.0017182838473872657,0.0015395316747277004,3.1952339230515066e-08,32
43,0.0016847540064926828,0.0014871899974800522,3.903153765714279e-08,30
44,0.001684188169100206,0.0014377707731370842,6.072153303324593e-08,30
45,0.0016144932268877235,0.0013910498387935913,4.992694768298497e-08,29
46,0.0015104703104575658,0.0013468247013313174,2.6779885386300865e-08,28
47,0.0011794199864289796,0.001304912028274649,1.5748252566595225e-08,26
