rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3686905821786647,0.3763872594081585,5.923884037500833e-05,100
2,0.16710389517825816,0.13493062147865592,0.0010351195405495172,100
3,0.09314779007981991,0.07404495223183848,0.0003649184138462719,100
4,0.059004185059604086,0.048371118196838966,0.00011306211090803366,100
5,0.041527419368065185,0.03476636680036947,4.57118318231448e-05,100
6,0.029448844853504172,0.02654428696048152,8.436456553920182e-06,100
7,0.02118349596352492,0.02112952894073992,2.9124395482765036e-09,100
8,0.012918036119826776,0.017340504697687786,1.955822832216798e-05,100
9,0.009342226389093121,0.014566526400591553,2.7293310610142514e-05,99
10,0.007141720889967339,0.012463353531958264,2.831977397630331e-05,99
11,0.005875504118370913,0.010823650000628078,2.448414767209854e-05,99
12,0.004833202250639562,0.009515829897955148,2.1927001683404296e-05,99
13,0.0040538799333919105,0.008452764178154961,1.9350182598824593e-05,99
14,0.0035460712022743934,0.007574699728169081,1.6229847799652408e-05,99
15,0.0031404288724594877,0.006839429084437638,1.3682602568214398e-05,99
16,0.002806084754431455,0.0062163769286231315,1.1630092713352992e-05,99
17,0.0025118508112079605,0.005682906498804858,1.0055594173840633e-05,99
18,0.0023056809291901815,0.005221936744372342,8.50454797958377e-06,99
19,0.0021149478662742405,0.0048203612309187,7.319261473596857e-06,98
20,0.001998600580834958,0.00446797280125704,6.097799162992282e-06,98
21,0.0018772788814326665,0.004156716047079951,5.195833792134124e-06,98
22,0.0017732695043864626,0.003880157430271789,4.438976732241374e-06,98
23,0.0016717323202188855,0.0036331030543420286,3.8469751566747565e-06,97
24,0.001601331145708634,0.003411318555349676,3.276054423059089e-06,97
25,0.0015540933421231769,0.0032113208677637646,2.746403071740825e-06,97
26,0.0014387391789277553,0.003030221388376376,2.532815622991463e-06,97
27,0.0013488785813074958,0.0028656064320869957,2.300463373330201e-06,97
28,0.0013137952313808392,0.0027154451068380305,1.96462237336916e-06,97
29,0.0012476441536979433,0.0025780175967087095,1.7698934978683206e-06,97
30,0.0012063174536067443,0.00245185880726536,1.5513732636737365e-06,97
31,0.0011783582753585437,0.002335713696340551,1.3394715704764391e-06,96
32,0.001127296115423389,0.0022285015801109137,1.212653475457667e-06,96
33,0.0011041154914061052,0.0021292873954629745,1.050977432867587e-06,96
34,0.0010713827100394563,0.0020372583994861205,9.329158474640689e-07,96
35,0.0010417885476530918,0.0019517051523685646,8.279482275369339e-07,96
36,0.0010266927665570148,0.001872005899849852,7.145542933173538e-07,96
37,0.0010064056990346736,0.0017976136725836413,6.26010057407464e-07,95
38,0.0009762126850636608,0.0017280455711019766,5.652526885287031e-07,95
39,0.0009369461943905527,0.001662873819859464,5.26970917418932e-07,95
40,0.0008943099348715625,0.001601718261588628,5.004265407086385e-07,95
41,0.0008681475106243035,0.0015442400307841358,4.5710109581607324e-07,95
42,0.0008617895157771529,0.0014901361975554754,3.948195525018285e-07,95
43,0.0008551527633063955,0.00143913521401943,3.410355027408018e-07,94
44,0.0008396972324858531,0.0013909930275664603,3.0392705367355885e-07,94
45,0.0007963091333038163,0.0013454897507597582,3.015993505892897e-07,94
46,0.000783003200738806,0.0013024267978390214,2.6980087322452687e-07,94
47,0.0007771010360411387,0.0012616244139587937,2.3476290374873474e-07,94
48,0.0007697887973267888,0.0012229195362743605,2.0532746657917238e-07,93
49,0.0007685730633569304,0.001186163936472204,1.743821373091766e-07,93
50,0.0007521431360322938,0.0011512226028481483,1.5926442083402673e-07,92
51,0.0007459995657182355,0.0011179723269689643,1.3836373511249172e-07,92
52,0.0007325723012525126,0.0010863004656280282,1.2512361427247176e-07,92
53,0.0007158125907060919,0.0010561038534701115,1.1579814351353101e-07,92
54,0.0007153395169137283,0.0010272878455097653,9.731175971386103e-08,92
55,0.0007056038988227114,0.0009997654719566167,8.65310311086139e-08,92
56,0.0006719934116052882,0.0009734566904123236,9.088010846908834e-08,92
57,0.0006599732749883365,0.0009482877227162719,8.312522076866444e-08,92
58,0.0006498447968515563,0.0009241904655694017,7.526554594424175e-08,92
59,0.0006435996719306029,0.0009011019656214517,6.630743125604816e-08,90
60,0.000630000326677309,0.0008789639510179978,6.19828862448516e-08,89
61,0.0006172102303114771,0.0008577224125118175,5.784610978676971e-08,87
62,0.0006105770668990285,0.0008373272281824954,5.141563564207825e-08,85
63,0.0006066713541788879,0.0008177318266067746,4.454652302148274e-08,85
64,0.0006024486696763378,0.0007988928840029023,3.859032934238119e-08,85
65,0.0005979819285642693,0.0007807700514540559,3.341149786957172e-08,84
66,0.0005825993525064949,0.0007633257088145215,3.2662015864375814e-08,83
67,0.0005809850438400602,0.0007465247423305804,2.7403391776332344e-08,83
68,0.0005788868029488797,0.0007303343433768621,2.293635750168536e-08,83
69,0.0005748152240890284,0.0007147238260272284,1.9574416896301708e-08,83
