verb,subject,frequency,rank,total,proportion
be,that,4282,1,20572,0.2081469959167801
be,it,3542,2,20572,0.17217577289519737
be,this,1757,3,20572,0.085407349795839
be,you,1688,4,20572,0.08205327629788062
be,he,1303,5,20572,0.0633385183744896
be,i,939,6,20572,0.04564456542873809
be,they,771,7,20572,0.03747812560762201
be,one,442,8,20572,0.021485514291269686
be,we,323,9,20572,0.015700952751312464
be,what,302,10,20572,0.014680147773672953
be,she,289,11,20572,0.014048220882753256
be,who,239,12,20572,0.011617732840754423
be,name,169,13,20572,0.008215049581956057
be,elephant,161,14,20572,0.007826171495236244
be,thing,151,15,20572,0.0073400738868364766
be,color,126,16,20572,0.00612482986583706
be,number,108,17,20572,0.00524985417071748
be,kind,106,18,20572,0.0051526346490375265
be,two,88,19,20572,0.0042776589539179465
be,day,76,20,20572,0.0036943418238382267
be,letter,74,21,20572,0.0035971223021582736
be,anything,72,22,20572,0.00349990278047832
be,relative,56,23,20572,0.0027221466070386936
be,nobody,49,24,20572,0.0023818782811588566
be,something,48,25,20572,0.00233326852031888
be,tree,48,26,20572,0.00233326852031888
be,chi,44,27,20572,0.0021388294769589733
be,bath,42,28,20572,0.00204160995527902
be,picture,40,29,20572,0.0019443904335990666
be,foot,40,30,20572,0.0019443904335990666
be,bear,37,31,20572,0.0017985611510791368
be,some,37,32,20572,0.0017985611510791368
be,baby,36,33,20572,0.00174995139023916
be,more,35,34,20572,0.0017013416293991833
be,guy,35,35,20572,0.0017013416293991833
be,school,35,36,20572,0.0017013416293991833
be,word,34,37,20572,0.0016527318685592067
be,room,33,38,20572,0.00160412210771923
be,cow,32,39,20572,0.0015555123468792534
be,animal,31,40,20572,0.0015069025860392766
be,calf,30,41,20572,0.0014582928251993
be,person,29,42,20572,0.0014096830643593233
be,egg,29,43,20572,0.0014096830643593233
be,most,29,44,20572,0.0014096830643593233
be,skin,29,45,20572,0.0014096830643593233
be,book,28,46,20572,0.0013610733035193468
be,boy,28,47,20572,0.0013610733035193468
be,herd,28,48,20572,0.0013610733035193468
be,ross,28,49,20572,0.0013610733035193468
be,daddy,25,50,20572,0.0012152440209994167
be,kid,25,51,20572,0.0012152440209994167
