rank,average_proportion,num_verbs,sd_proportion
1,0.5079272567895962,100,0.20209939771002566
2,0.18833141442630816,100,0.08717760171490917
3,0.08872116538533566,98,0.04736022198873036
4,0.057746879287925344,96,0.03141328462380297
5,0.03830932544496573,90,0.01936008273537922
6,0.02926319565335913,88,0.015888873933123358
7,0.0240552072865584,83,0.013645884598070845
8,0.020529291278443884,77,0.012631829518051313
9,0.018095683714781825,72,0.012468412918104506
10,0.015107088017606587,65,0.011325252535291012
11,0.011873548952286195,57,0.008941390473370931
12,0.010230548877478863,52,0.00847122282531337
13,0.00868121262667382,48,0.006345683834510978
14,0.00800777886615544,44,0.006306484929738822
15,0.007852866325593798,40,0.006594425824011802
16,0.00669525055176885,34,0.006454128771958655
17,0.006160438385566631,31,0.006584877425896747
18,0.005248800132520142,29,0.006012401292709834
19,0.004181001587859025,26,0.0031832045925345356
20,0.0041484743938545975,25,0.0032583830223754363
21,0.0037747230733261223,23,0.0032075969586316706
22,0.003876216936791559,22,0.003242879906879573
23,0.00333412021032079,20,0.0029034755903569213
24,0.002808368505986516,18,0.0019584748683085483
25,0.002739069852683138,18,0.0019899155878412246
26,0.00262123822748369,18,0.002054139851050512
27,0.002585675390770207,17,0.002111639411567931
28,0.0025795803198540566,17,0.002113362602954996
29,0.0025734852489379067,17,0.0021153829617571733
30,0.0021086260447805622,15,0.0013459920397499905
31,0.001973945362261316,14,0.0013620070451385022
32,0.0017372869247041056,13,0.0010771299890175836
33,0.0016688500235269908,13,0.001102205709846307
34,0.0016688500235269908,13,0.001102205709846307
35,0.0016899055887056383,11,0.001139518992162692
36,0.0017236615048505516,10,0.001161944640184104
37,0.0017236615048505516,10,0.001161944640184104
38,0.0016172944334502703,9,0.0011796600290247068
39,0.0016057815217197645,9,0.0011831281218627684
40,0.0016057815217197645,9,0.0011831281218627684
41,0.0014713835685030998,8,0.001189106201809007
42,0.0014216026047436413,8,0.0012290609840326443
43,0.001175670136366147,7,0.0011240394005607687
44,0.001175670136366147,7,0.0011240394005607687
45,0.001160867821284068,7,0.0011252724086652437
46,0.001160867821284068,7,0.0011252724086652437
47,0.0011080945878680568,7,0.0011565908423574345
48,0.0011080945878680568,7,0.0011565908423574345
49,0.0010932922727859779,7,0.0011583266357233781
50,0.0010932922727859779,7,0.0011583266357233781
51,0.0010932922727859779,7,0.0011583266357233781
52,0.0010932922727859779,7,0.0011583266357233781
53,0.0010932922727859779,7,0.0011583266357233781
54,0.0010932922727859779,7,0.0011583266357233781
55,0.001078489957703899,7,0.0011613812177198523
56,0.001078489957703899,7,0.0011613812177198523
57,0.001078489957703899,7,0.0011613812177198523
58,0.001078489957703899,7,0.0011613812177198523
59,0.0010636876426218203,7,0.0011657442215870953
60,0.0010636876426218203,7,0.0011657442215870953
61,0.0010636876426218203,7,0.0011657442215870953
62,0.0010636876426218203,7,0.0011657442215870953
63,0.0010636876426218203,7,0.0011657442215870953
64,0.0010636876426218203,7,0.0011657442215870953
65,0.0010636876426218203,7,0.0011657442215870953
66,0.0010636876426218203,7,0.0011657442215870953
67,0.0010636876426218203,7,0.0011657442215870953
68,0.0010488853275397415,7,0.0011714010273599757
69,0.0010488853275397415,7,0.0011714010273599757
