rank,verb,frequency
1,be,49540
2,go,14895
3,want,11306
4,do,7024
5,have,6325
6,get,6046
7,know,4248
8,say,4001
9,like,3728
10,think,3524
11,put,3495
12,see,3464
13,come,1669
14,look,1618
15,play,1497
16,make,1427
17,need,1385
18,eat,1243
19,take,1169
20,find,977
21,sit,817
22,give,788
23,try,757
24,turn,671
25,fall,657
26,love,613
27,tell,544
28,hear,540
29,read,536
30,throw,466
31,open,450
32,fit,434
33,help,405
34,talk,396
35,hold,396
36,show,374
37,pick,364
38,mean,344
39,can,339
40,remember,337
41,draw,323
42,use,311
43,push,300
44,call,298
45,stay,296
46,happen,293
47,blow,290
48,begin,285
49,work,279
50,bring,271
51,drink,265
52,cook,264
53,guess,262
54,leave,262
55,feel,257
56,start,253
57,feed,252
58,let,250
59,stop,241
60,ride,240
61,fix,238
62,move,229
63,walk,228
64,run,228
65,keep,227
66,wear,224
67,sing,224
68,build,216
69,hurt,216
70,pull,208
71,pop,189
72,close,182
73,break,181
74,cry,180
75,drop,180
76,touch,174
77,bet,173
78,sleep,172
79,knock,171
80,jump,170
81,wash,166
82,recognize,165
83,catch,164
84,stand,162
85,roll,161
86,will,160
87,write,160
88,ask,158
89,dance,152
90,miss,147
91,seem,143
92,sound,142
93,hide,133
94,live,128
95,taste,126
96,understand,126
97,forget,121
98,point,120
99,fly,120
100,smell,119
