rank,verb,frequency
1,be,281742
2,go,80975
3,do,54051
4,want,50016
5,have,47666
6,get,35979
7,think,35282
8,know,35092
9,like,24713
10,say,21912
11,see,21029
12,put,15163
13,look,12775
14,make,11661
15,eat,10912
16,come,10901
17,play,10212
18,need,9835
19,take,7904
20,tell,6860
21,find,5196
22,give,5151
23,mean,5004
24,try,4939
25,happen,4539
26,remember,4332
27,sit,4123
28,fall,3713
29,read,3542
30,love,3105
31,hear,3022
32,use,3012
33,start,2993
34,talk,2905
35,can,2832
36,fit,2758
37,help,2734
38,turn,2698
39,work,2482
40,call,2386
41,bring,2316
42,show,2284
43,guess,2267
44,hold,2107
45,pick,2075
46,feel,2049
47,open,1978
48,ask,1929
49,wear,1907
50,stay,1846
51,keep,1800
52,run,1688
53,hurt,1636
54,move,1630
55,leave,1610
56,walk,1593
57,let,1585
58,drink,1579
59,build,1540
60,seem,1529
61,throw,1522
62,live,1512
63,hit,1422
64,buy,1374
65,stop,1310
66,sleep,1308
67,watch,1303
68,will,1291
69,push,1279
70,fix,1250
71,write,1250
72,bet,1245
73,break,1216
74,forget,1209
75,recognize,1209
76,jump,1180
77,blow,1170
78,drive,1158
79,draw,1153
80,sound,1150
81,sing,1149
82,fly,1147
83,wait,1138
84,pull,1135
85,finish,1122
86,cook,1117
87,stand,1112
88,wash,1110
89,feed,1090
90,knock,1072
91,wonder,1058
92,pretend,1047
93,miss,1034
94,pop,1021
95,cry,1016
96,ride,1014
97,begin,967
98,catch,962
99,drop,954
100,learn,923
