rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3816962085964948,0.38638635775280966,2.19974991084812e-05,100
2,0.1600883845706471,0.13851518636534066,0.0004654028808054376,100
3,0.08944353849401261,0.07601202933337307,0.00018040543833234383,99
4,0.051605800184065805,0.049656144604617675,3.801156878473223e-06,99
5,0.03474941518382158,0.035689969584559715,8.846425807478692e-07,99
6,0.022632552624199314,0.027249462093730845,2.131585304984992e-05,98
7,0.017160758010039853,0.021690855692837824,2.052178501569155e-05,98
8,0.01291122091654432,0.017801172288006088,2.3911624415260822e-05,97
9,0.010102574797652957,0.014953500524658611,2.3531480408925337e-05,97
10,0.008310794032412016,0.012794454796826171,2.010321385034693e-05,95
11,0.007121163554997948,0.011111190925829805,1.5920318419987385e-05,94
12,0.006234409345541458,0.00976862729372843,1.2490696505286935e-05,93
13,0.005411520153467321,0.008677320185800964,1.0665449851190422e-05,93
14,0.005074463047447905,0.007775929088674698,7.297918771901558e-06,92
15,0.0047786456780637395,0.0070211252559395495,5.028714657190072e-06,91
16,0.004444067531716472,0.0063815211058050655,3.7537263517486633e-06,90
17,0.004099803260036704,0.0058338785084694755,3.0070169672271785e-06,87
18,0.003963728758982038,0.005360662638385414,1.951424263424966e-06,83
19,0.003809027876828196,0.004948418875804156,1.2982118485474367e-06,80
20,0.003657308493084969,0.004586668900352543,8.63710766596551e-07,78
21,0.003302118108432647,0.004267143303865681,9.312736278205653e-07,74
22,0.0032035997856716633,0.0039832376349498745,6.078351760271549e-07,72
23,0.003039259327483706,0.003729620016137551,4.765978804386111e-07,69
24,0.002883371404397243,0.003501943593438134,3.8263155305483977e-07,67
25,0.0027544951805325347,0.003296632770253481,2.939131661884372e-07,63
26,0.0026920021078278866,0.0031107222047857424,1.7532651959639618e-07,61
27,0.0026843801474630466,0.002941734090011864,6.623105174541996e-08,61
28,0.0025080718585595726,0.002787583581226005,7.812680310795663e-08,56
29,0.0024502120240128896,0.0026465051739031804,3.85310006938522e-08,54
30,0.0024249906410929133,0.0025169948519327477,8.464774812260709e-09,53
31,0.002382933657317964,0.0023977642317156906,2.199459369665105e-10,49
32,0.0023563364027069287,0.002287703919998236,4.7104176827590146e-09,45
33,0.00235643863389482,0.0021858540127941218,2.909911295606881e-08,43
34,0.0021836627255466287,0.0020913801758766387,8.516068973594178e-09,39
35,0.002032715107627572,0.0020035541224664956,8.503630555645109e-10,36
36,0.0019958227488821307,0.0019217375807887849,5.488612131419314e-09,35
37,0.0019735013357845437,0.001845369050717633,1.6417882476468097e-08,34
38,0.001861143867883359,0.0017739528040849883,7.602281606291529e-09,33
39,0.0018872773798653806,0.0017070497010666698,3.248201620517129e-08,32
40,0.0018670866577120621,0.001644269485142879,4.96474923917251e-08,31
41,0.0018239703310350037,0.0015852642885123,5.698057473685081e-08,31
42,0.0017841697701191407,0.0015297231336534479,6.474309080870445e-08,31
43,0.0017492223273901867,0.001477367258746072,7.390517834749637e-08,29
44,0.0017492223273901867,0.0014279461276826319,1.0321839649852868e-07,29
45,0.0016758351208237604,0.0013812340114999384,8.678981361482648e-08,28
46,0.0015649718527313563,0.0013370270488113295,5.195883363413946e-08,27
47,0.0012146511329249533,0.001295140709406794,6.478571922226061e-09,25
48,0.0011281620314398382,0.0012554075985165053,1.6191434340662585e-08,24
49,0.0011108977678932163,0.0012176755499957702,1.1401494750740481e-08,23
50,0.0009827466115395207,0.0011818059654214843,3.962462636790481e-08,22
51,0.0009728930906315084,0.0011476723632070104,3.0547794122021625e-08,22
52,0.0009728930906315084,0.0011151591076679708,2.0239619603418995e-08,22
53,0.0009452659447639853,0.0010841602927598414,1.9291639905193964e-08,22
54,0.000877000414817849,0.001054578759159895,3.1534068379262236e-08,22
55,0.0007535572693586932,0.0010263252266395993,7.44023585191982e-08,21
56,0.0007404617055430584,0.0009993175263954463,6.700633598916354e-08,21
57,0.0007404617055430584,0.0009734799202773029,5.429748839793447e-08,21
58,0.0007236091246906971,0.0009487424957548769,5.068503476672167e-08,21
59,0.0007236091246906971,0.0009250406270601393,4.0574650146810614e-08,21
60,0.0007236091246906971,0.0009023144942894464,3.19356091234256e-08,21
61,0.0007236091246906971,0.0008805086533867157,2.4617462105032783e-08,21
62,0.0007236091246906971,0.0008595716508933387,1.8485808531404026e-08,21
63,0.0007236091246906971,0.0008394556781703198,1.34204239531071e-08,21
64,0.0007236091246906971,0.000820116260496963,9.313627261529067e-09,21
65,0.0007132863885013512,0.0008015119770477208,7.783754474353296e-09,21
66,0.0007364315592923971,0.0007836042082606468,2.225258810681714e-09,20
67,0.0007364315592923971,0.0007663569075505625,8.955264683724861e-10,20
68,0.0006958894347897141,0.0007497363946986428,2.899495091433773e-09,18
69,0.0006958894347897141,0.0007337111685768916,1.4304835466681205e-09,18
70,0.0006686536558773101,0.0007182517371486446,2.4599696657979e-09,17
71,0.0006613901005262027,0.000703330462931294,1.758993998670401e-09,17
72,0.0006613901005262027,0.0006889214223203299,7.579736797317817e-10,17
73,0.0006613901005262027,0.0006750002773591315,1.8523691342359128e-10,17
74,0.0006363770263803091,0.0006615441587006341,6.333845492287491e-10,16
75,0.0006363770263803091,0.0006485315586482929,1.4773265465345985e-10,16
76,0.0006028739895537861,0.0006359422332875158,1.093508743633356e-09,16
77,0.0006028739895537861,0.000623757112827286,4.361048376561925e-10,16
78,0.0006013170152176591,0.0006119582193671005,1.1323522575008698e-10,15
79,0.000588293274012633,0.0006005285913883364,1.4970299128418928e-10,15
80,0.0005687271876876337,0.0005894522143432288,4.295267298751288e-10,15
81,0.0005591635465214077,0.0005787139567800629,3.8221854128172997e-10,15
82,0.0005591635465214077,0.0005682995115010726,8.346585610966397e-11,15
83,0.0005089889875857331,0.0005581953413008258,2.421265245934816e-09,14
84,0.0005089889875857331,0.0005483886288783949,1.5523317339904241e-09,14
85,0.0005089889875857331,0.0005388672305570761,8.927094030546089e-10,14
86,0.0005089889875857331,0.0005296196334814219,4.256235500733019e-10,14
87,0.0005035745637149562,0.0005206349159934578,2.9105561986657355e-10,13
88,0.00048253926241458364,0.0005119027109185974,8.622121080478665e-10,12
89,0.00048253926241458364,0.0005034131715173806,4.3572008123182823e-10,12
90,0.00048253926241458364,0.0004951569398820728,1.5920578467358476e-10,12
91,0.00048253926241458364,0.0004871251175777018,2.1030067577097354e-11,12
92,0.00048253926241458364,0.0004793092383455302,1.0433055486664627e-11,12
93,0.0004722492256671816,0.0004717012427035166,3.0028532846706867e-13,12
94,0.0004722492256671816,0.00046429345429320376,6.329429815500541e-11,12
95,0.00045418443733582625,0.0004570785578358771,8.375933468814474e-12,12
96,0.0004729137387046306,0.00045004957857292254,5.227698185283887e-10,11
97,0.00046762015869080634,0.00044319986307621805,5.963508379038803e-10,11
98,0.00046762015869080634,0.0004365230613242487,9.67029464625166e-10,11
99,0.00046762015869080634,0.0004300131099485482,1.4142901151025812e-09,11
100,0.00046762015869080634,0.0004236642165631374,1.9321248483309808e-09,11
101,0.00046762015869080634,0.0004174708450969483,2.5149536539351168e-09,11
102,0.0004911169755962329,0.0004114277020558551,6.350380317393161e-09,10
103,0.0004911169755962329,0.00040552972364696317,7.325177696227778e-09,10
104,0.0004911169755962329,0.00039977206370328365,8.343892928730663e-09,10
105,0.0004911169755962329,0.0003941500823519082,9.40257838545627e-09,10
106,0.0004911169755962329,0.00038865933537333774,1.0497568040044227e-08,10
107,0.0004911169755962329,0.00038329556420375893,1.1625456754665119e-08,10
108,0.0004911169755962329,0.0003780546865358378,1.2783081207576343e-08,10
109,0.0004911169755962329,0.00037293278747705066,1.3967502321390259e-08,10
110,0.0004911169755962329,0.0003679261112277219,1.517598906386088e-08,10
111,0.0004911169755962329,0.00036303105324382416,1.6406003504867284e-08,10
112,0.0004911169755962329,0.0003582441528522366,1.7655187023957468e-08,10
113,0.0004911169755962329,0.0003535620862885734,1.8921347572442467e-08,10
114,0.0004911169755962329,0.00034898166012991704,2.0202447902709132e-08,10
115,0.0004911169755962329,0.00034449980509682315,2.1496594685252993e-08,10
116,0.0004911169755962329,0.000340113570200835,2.280202844100688e-08,10
117,0.0004911169755962329,0.00033582011721546587,2.4117114222936015e-08,10
118,0.0004911169755962329,0.00033161671545018474,2.5440332986657046e-08,10
119,0.0004911169755962329,0.0003275007368084003,2.677027359507706e-08,10
120,0.0004911169755962329,0.0003234696511117749,2.8105625406797155e-08,10
121,0.0003990042131409133,0.0003195210216744379,6.3175777256963816e-09,9
122,0.0003990042131409133,0.00031565250111180774,6.94750789818294e-09,9
123,0.0003990042131409133,0.0003118618273697825,7.593795397884574e-09,9
124,0.0003990042131409133,0.00030814681996103307,8.255065895443345e-09,9
125,0.0003990042131409133,0.00030450537639602784,8.930030146136512e-09,9
126,0.0003990042131409133,0.000300935468797254,9.617478617142004e-09,9
127,0.0003990042131409133,0.00029743514068586267,1.0316276479379322e-08,9
128,0.0003749178286991063,0.000294002503930684,6.5472897823792575e-09,9
129,0.0003749178286991063,0.00029063573585021277,7.1034711749895106e-09,9
130,0.00035968152448540355,0.0002873330764587803,5.234297931861006e-09,9
131,0.00035968152448540355,0.00028409282584869515,5.713651361591123e-09,9
132,0.0003532115933573962,0.0002809133417006606,5.22703719262067e-09,9
133,0.0002954706561784447,0.0002777930369152693,3.124982228137888e-10,9
134,0.0002954706561784447,0.0002747303773588275,4.301591655154611e-10,9
135,0.0002954706561784447,0.00027172387971718557,5.639093923010098e-10,9
136,0.0002954706561784447,0.00026877210945164634,7.128123973230349e-10,9
137,0.0002954706561784447,0.0002658736788513856,8.759810668984491e-10,9
138,0.00028175060718190853,0.0002630272451771649,3.505642847606771e-10,9
139,0.00028175060718190853,0.00026023150889143126,4.630715912352219e-10,9
140,0.00028175060718190853,0.0002574852119701959,5.888094047806061e-10,9
