rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3748508193440817,0.3852084582428669,0.00010728068355762861,100
2,0.16984964072705305,0.13713904507660035,0.0010699830678074151,100
3,0.09474470446779654,0.07495233121165129,0.00039173803911057354,100
4,0.05978855417676186,0.04882322099133212,0.00012023853186748676,100
5,0.042025277979452304,0.03501309548453666,4.917070334200136e-05,100
6,0.029917282204402693,0.026683970480602143,1.0454304703266083e-05,100
7,0.021544926091647737,0.021208000989543375,1.1351852442803442e-07,100
8,0.013031422678503251,0.017381679350596396,1.892473311309093e-05,100
9,0.009420439590748285,0.014583926790411029,2.666160006108101e-05,99
10,0.007153135058859698,0.01246510136830335,2.8216986072664418e-05,99
11,0.005887243363185819,0.0108148553164217,2.4281359561673126e-05,99
12,0.004832915504521996,0.009499828345551997,2.178007546577071e-05,99
13,0.004063193877940993,0.008431798505613675,1.9084706392923172e-05,99
14,0.003567505897192721,0.007550314489345538,1.5862764281726307e-05,99
15,0.00316087727215408,0.006812708997806019,1.333587495247802e-05,99
16,0.0028262234829870515,0.006188095969755599,1.1302186617291337e-05,99
17,0.0025385553492563344,0.005653623997885939,9.70365268567507e-06,99
18,0.0023311579915613343,0.005192060949614552,8.184765735397651e-06,99
19,0.002146115620793796,0.004790192309701746,6.991141536826431e-06,98
20,0.0020290295132586594,0.00443773251041743,5.801850128521646e-06,98
21,0.001896428966885774,0.0041265685643462075,4.973522624160984e-06,98
22,0.0017911461467227353,0.00385022420717609,4.2398024590403494e-06,98
23,0.0016886079754872593,0.0036034735526459674,3.6667101785873524e-06,97
24,0.0016181476901239728,0.0033820581034054832,3.111379946082949e-06,97
25,0.0015703570677164597,0.003182476472612559,2.5989289756425532e-06,97
26,0.0014534721276668364,0.003001826077788564,2.397399954857558e-06,97
27,0.001362739585190142,0.0028376825268779087,2.175456681234563e-06,97
28,0.0013272039689016667,0.002688006706342981,1.851784090227774e-06,97
29,0.001260305850778792,0.0025510724797829366,1.6660784905507232e-06,97
30,0.00121871193381956,0.0024254098952178993,1.4561199700429079e-06,97
31,0.0011909033449557654,0.0023097601848339516,1.2518406281422012e-06,96
32,0.001139270726507852,0.0022030398190259785,1.1316046821968381e-06,96
33,0.0011162147529027468,0.002104311575555953,9.763353309373615e-07,96
34,0.0010835085409554195,0.0020127610900054437,8.635102999159676e-07,96
35,0.0010535385393864061,0.0019276777230443393,7.641193124061578e-07,96
36,0.001038370750719043,0.0018484388527126312,6.562103298674945e-07,96
37,0.0010184342477670316,0.0017744969031343004,5.716307388410054e-07,95
38,0.000988308056156129,0.001705368573894591,5.141757860993512e-07,95
39,0.0009490866249024091,0.0016406258501837172,4.782265001026717e-07,95
40,0.0009059634624638194,0.0015798884623668575,4.541749054943099e-07,95
41,0.0008795771044536415,0.001522817531827,4.1375824740746103e-07,95
42,0.0008736162567895548,0.0014691101928004868,3.5461302782579195e-07,95
43,0.0008668862861355313,0.0014184950211984686,3.042721965977338e-07,94
44,0.0008513216509655531,0.0013707281338304232,2.6978309444205456e-07,94
45,0.0008073322446854968,0.0013255898470697954,2.685909424291218e-07,94
