rank,verb,frequency
1,go,7465
2,do,5442
3,have,4732
4,know,4139
5,want,3991
6,get,3646
7,think,3456
8,say,2897
9,like,2103
10,see,2093
11,eat,1797
12,come,1601
13,look,1513
14,make,1486
15,tell,1173
16,put,1101
17,take,943
18,play,786
19,happen,735
20,mean,729
21,find,616
22,remember,598
23,need,573
24,give,530
25,talk,468
26,try,468
27,start,423
28,use,412
29,can,379
30,call,368
31,hear,356
32,read,346
33,fall,328
34,bring,300
35,feel,297
36,walk,296
37,ask,277
38,sit,271
39,fly,270
40,love,267
41,stay,263
42,run,260
43,buy,256
44,guess,255
45,help,248
46,work,244
47,turn,233
48,forget,214
49,build,213
50,keep,211
51,leave,201
52,let,187
53,watch,184
54,show,183
55,wear,166
56,jump,165
57,finish,163
58,pick,162
59,sound,157
60,hit,152
61,drive,149
62,live,148
63,write,147
64,hold,146
65,move,141
66,wait,140
67,will,138
68,hurt,137
69,sleep,135
70,break,134
71,learn,130
72,stop,128
73,drink,125
74,lay,123
75,bet,121
76,fit,121
77,lose,120
78,grow,120
79,cut,119
80,wonder,119
81,win,116
82,wave,116
83,understand,113
84,catch,111
85,cry,109
86,nibble,105
87,draw,104
88,miss,103
89,fix,101
90,rain,94
91,open,92
92,hope,90
93,could,89
94,pretend,86
95,would,84
96,push,84
97,throw,81
98,stand,81
99,sing,79
100,feed,78
