rank,verb,frequency
1,go,14583
2,do,10114
3,have,7535
4,want,7448
5,get,6531
6,be,6293
7,know,6134
8,think,6073
9,like,3565
10,see,3512
11,say,3160
12,put,2429
13,look,2429
14,come,2206
15,make,2141
16,eat,1999
17,need,1758
18,take,1545
19,tell,1430
20,play,1284
21,happen,1073
22,give,953
23,remember,875
24,find,856
25,mean,843
26,sit,779
27,fall,698
28,try,694
29,fit,596
30,use,578
31,can,565
32,bring,548
33,help,544
34,work,522
35,talk,493
36,hear,483
37,show,465
38,turn,464
39,call,440
40,run,413
41,stay,413
42,read,390
43,buy,389
44,hurt,383
45,hold,380
46,ask,379
47,open,373
48,feel,368
49,walk,361
50,live,348
51,leave,345
52,guess,325
53,start,323
54,will,317
55,wear,303
56,break,302
57,love,300
58,keep,294
59,drive,289
60,build,287
61,watch,284
62,pick,282
63,sleep,280
64,move,280
65,drink,263
66,forget,260
67,bet,252
68,jump,252
69,let,251
70,wonder,240
71,wait,238
72,fix,237
73,finish,230
74,pretend,226
75,miss,220
76,push,215
77,ride,213
78,catch,203
79,stand,201
80,fly,200
81,cry,196
82,throw,187
83,blow,181
84,begin,180
85,lose,179
86,knock,178
87,sound,177
88,stop,174
89,choose,173
90,sing,167
91,hit,163
92,learn,163
93,hide,160
94,wash,155
95,pull,153
96,draw,152
97,hope,151
98,drop,150
99,grow,147
100,spill,146
