rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3974689937583129,0.39733298193852934,1.8499215120837182e-08,100
2,0.15331295642362439,0.14343017324126386,9.766940342954796e-05,100
3,0.08346167746155221,0.07902897917726004,1.9648814079566764e-05,98
4,0.053634075183833584,0.05177575366547761,3.453358865584846e-06,97
5,0.034983355504184195,0.037296554260062835,5.350888484198487e-06,96
6,0.027547693517617308,0.028528062581596316,9.611235016070762e-07,92
7,0.021477569789511063,0.022743667510484646,1.6030034390545026e-06,91
8,0.018362116029139976,0.018690130584441012,1.0759354848933627e-07,86
9,0.016095430861457427,0.015718754379081587,1.4188517237503653e-07,79
10,0.013835237137050347,0.01346339589712342,1.382659077103943e-07,71
11,0.012485544519129844,0.011703273904520065,6.119473144819623e-07,66
12,0.011900182354491471,0.010298125613314953,2.5665858019491273e-06,65
13,0.01040887987713758,0.009154990304667578,1.5722390599490071e-06,57
14,0.009479034714403577,0.00821006138291131,1.6102933160385838e-06,50
15,0.008756198530909027,0.007418232928013157,1.7901519545325076e-06,45
16,0.007839939927014296,0.006746806304750582,1.1949411161233884e-06,41
17,0.007363985181332333,0.006171556399185717,1.4218864004916604e-06,38
18,0.005754961367912439,0.00567419209130075,6.523676044375518e-09,32
19,0.0055853392858081965,0.005240670117624675,1.1879683549632063e-07,31
20,0.004538850835744315,0.0048600476016835755,1.0316736244983983e-07,26
21,0.0042966391598731795,0.0045236839321299805,5.1549328609142665e-08,23
22,0.00428480317393875,0.004224674718483272,3.6154311554613526e-09,22
23,0.004250207397201864,0.003957443267210369,8.571083580967701e-08,22
24,0.003460732152291213,0.0037174410580558697,6.589946229888748e-08,20
25,0.0029188936834689074,0.003500924974531853,3.387604237763994e-07,19
26,0.002896362487841891,0.0033047894464087284,1.668125804841571e-07,18
27,0.002689535907199804,0.0031264384508333824,1.9088383263349102e-07,17
28,0.002404566197644416,0.0029636868319543614,3.126158837111558e-07,16
29,0.0018959677796719023,0.0028146834510689167,8.44038484870467e-07,15
30,0.0019687856874612162,0.0026778507759861333,5.027732997648484e-07,14
31,0.0019469277985454665,0.002551836979614436,3.6591511734153137e-07,14
32,0.0018850658898195022,0.002435477649991154,3.0295310573525587e-07,13
33,0.001655681513887622,0.0023277649521910985,4.5169614804182305e-07,13
34,0.0017146012451040302,0.0022278226166494875,2.633961762110003e-07,12
35,0.0014681212951729752,0.0021348855190401776,4.445745302292328e-07,11
36,0.0014681212951729752,0.0020482829054080014,3.3658749399049845e-07,11
37,0.0013928367815353952,0.001967424531447854,3.301510823494626e-07,10
38,0.0012017525027138087,0.0018917891467351467,4.761505700922307e-07,9
39,0.0012811367557760637,0.0018209148775560858,2.913604207523684e-07,8
40,0.001193409908279079,0.0017543911559250013,3.146999602103756e-07,7
41,0.001193409908279079,0.0016918519147466871,2.484444338114551e-07,7
42,0.001193409908279079,0.001632969825229622,1.9321292058956828e-07,7
43,0.001193409908279079,0.0015774513965084755,1.4748786468144967e-07,7
44,0.001193409908279079,0.0015250327919009454,1.0997373694168193e-07,7
