rank,verb,frequency
1,go,28490
2,do,18348
3,want,17757
4,have,15360
5,get,11279
6,think,10574
7,know,10032
8,like,7787
9,see,6698
10,put,5897
11,say,5573
12,need,4932
13,look,4303
14,make,3834
15,come,3391
16,eat,3152
17,play,3133
18,take,2778
19,find,1960
20,give,1850
21,tell,1640
22,fall,1593
23,remember,1590
24,sit,1560
25,fit,1470
26,happen,1431
27,try,1406
28,mean,1179
29,love,971
30,help,963
31,turn,916
32,use,882
33,hear,863
34,can,861
35,work,859
36,talk,840
37,open,833
38,bring,824
39,hold,815
40,wear,810
41,read,795
42,show,778
43,guess,688
44,hurt,669
45,pop,650
46,pick,621
47,drink,620
48,start,612
49,sleep,592
50,build,573
51,knock,568
52,cook,566
53,blow,563
54,ask,555
55,stay,545
56,stop,534
57,run,531
58,fix,527
59,call,523
60,leave,513
61,throw,506
62,feel,501
63,draw,498
64,sing,496
65,let,480
66,move,479
67,keep,475
68,bet,475
69,drive,474
70,break,467
71,stand,460
72,push,457
73,cry,455
74,buy,453
75,wait,448
76,pretend,433
77,dance,428
78,wash,426
79,write,422
80,live,419
81,ride,413
82,seem,413
83,pull,408
84,watch,406
85,wonder,405
86,will,403
87,drop,399
88,jump,392
89,walk,383
90,feed,367
91,finish,361
92,miss,354
93,catch,352
94,cut,351
95,forget,347
96,hide,346
97,begin,322
98,fly,321
99,hit,320
100,close,304
