rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.32614598342402035,0.3350389698087802,7.908520683952365e-05,100
2,0.15873416975407204,0.12783907825782742,0.0009545066785613263,100
3,0.08728253126505486,0.07276068525314691,0.0002108840115935669,98
4,0.05567158220221497,0.048778892614009695,4.750916975935343e-05,98
5,0.03827143176513011,0.03577066537442443,6.253832540883102e-06,97
6,0.028733877853603797,0.027762916479474063,9.427659900519003e-07,97
7,0.022388094990913168,0.022408307164296728,4.0853195288707513e-10,97
8,0.017051873846466805,0.018612308513757628,2.4349563508830207e-06,97
9,0.013391401934613242,0.01580149712592857,5.808558831201273e-06,93
10,0.011866888624086708,0.013648826859590478,3.1753038751502875e-06,93
11,0.010113463396943793,0.011955272849052711,3.392262057877752e-06,90
12,0.00871470117989865,0.010593351736100043,3.5293279123158034e-06,88
13,0.007976852663096117,0.009477942396966454,2.253270389130918e-06,84
14,0.00709596590825525,0.008550221291681192,2.114858720223333e-06,81
15,0.006566826936684495,0.007768344458823993,1.4436443560082378e-06,74
16,0.0061282785083018685,0.007101801817284403,9.477476331323032e-07,70
17,0.005931500475632376,0.006527867397736622,3.5565350578009225e-07,65
18,0.005577524835481156,0.006029295125953074,2.0409639535308116e-07,65
19,0.005109739288996857,0.0055927810717033835,2.33329363840299e-07,59
20,0.004907029318822057,0.00520791192148955,9.053034058796491e-08,57
21,0.00455888747462432,0.004866430270985459,9.458257159362873e-08,53
22,0.00368937808867176,0.004561711320375712,7.609652671350599e-07,46
23,0.003420404326150238,0.004288383659963998,7.533881239277788e-07,42
24,0.003256730649592084,0.004042050160245256,6.16726733812537e-07,41
25,0.0029792351094335453,0.0038190796194822667,7.053388010589768e-07,39
26,0.00287172613303653,0.003616449216341943,5.546124708079211e-07,37
27,0.002860824260906222,0.0034316239676966194,3.258123052720036e-07,37
28,0.0025548069074617613,0.003262463496269767,5.007778476833832e-07,34
29,0.00241889078952044,0.003107149197853314,4.736996366409014e-07,32
30,0.0024668698287786707,0.002964126817164463,2.472645124985079e-07,31
31,0.002366579268693571,0.002832060783248341,2.1667304039220266e-07,30
32,0.00209303749146062,0.0027097976059607897,3.803930388382626e-07,28
33,0.0019096309500861162,0.002596336316882445,4.715642607868806e-07,26
34,0.0019079080202883058,0.002490804432667231,3.397682275642222e-07,26
35,0.0018768296380977428,0.00239243828154933,2.65852273201986e-07,26
36,0.0017703119064050624,0.0023005668023817244,2.811702547072206e-07,25
37,0.001744151830938769,0.002214598126426109,2.2131971693776174e-07,23
38,0.0015578562847293705,0.002134008403596899,3.319512640755428e-07,22
39,0.0015558200949683217,0.002058332450063128,2.5251866702292894e-07,22
40,0.0014758862469140522,0.0019871558824072276,2.6139664017732443e-07,20
