rank,verb,frequency
1,be,7570
2,do,1685
3,go,1638
4,have,1176
5,get,1046
6,know,1025
7,think,748
8,say,677
9,want,597
10,see,553
11,wanna,540
12,like,532
13,put,411
14,eat,366
15,make,362
16,tell,306
17,look,298
18,come,295
19,play,246
20,write,220
21,take,185
22,happen,181
23,remember,165
24,mean,154
25,give,149
26,need,140
27,read,140
28,ask,105
29,talk,105
30,try,96
31,start,91
32,hear,90
33,find,87
34,can,87
35,help,86
36,sit,84
37,show,83
38,run,78
39,use,77
40,call,76
41,work,73
42,watch,73
43,love,71
44,live,71
45,bring,70
46,sound,69
47,guess,69
48,spell,63
49,sing,61
50,feel,58
51,fall,58
52,hold,58
53,turn,58
54,finish,57
55,leave,56
56,move,55
57,win,55
58,hafta,52
59,walk,52
60,buy,52
61,pick,51
62,miss,49
63,stand,49
64,cut,46
65,let,45
66,keep,42
67,needta,40
68,jump,39
69,bet,36
70,stay,35
71,ride,34
72,understand,33
73,forget,33
74,lie,32
75,useta,32
76,will,31
77,drink,31
78,sleep,31
79,learn,30
80,stop,29
81,draw,28
82,wait,28
83,wonder,28
84,fight,28
85,climb,27
86,fix,26
87,open,26
88,taste,26
89,fit,25
90,hurt,25
91,stick,24
92,kick,24
93,kneel,23
94,forgot,22
95,cook,22
96,listen,21
97,fly,21
98,pull,21
99,stretch,21
100,cry,20
