rank,verb,frequency
1,be,581865
2,go,148995
3,do,119560
4,have,75167
5,get,72427
6,think,54893
7,know,52036
8,see,48586
9,say,39695
10,want,39623
11,put,36835
12,wanna,32719
13,like,31168
14,come,24466
15,look,23228
16,make,20777
17,eat,14744
18,play,14590
19,take,14380
20,tell,12438
21,need,11505
22,happen,11384
23,find,10684
24,sit,9169
25,give,8977
26,can,8048
27,fall,7974
28,remember,7571
29,mean,6614
30,try,6561
31,hear,6330
32,read,5672
33,talk,5379
34,help,4995
35,will,4788
36,turn,4678
37,show,4462
38,use,4432
39,bring,4250
40,open,4142
41,finish,4129
42,fit,4111
43,call,4017
44,work,3928
45,hold,3898
46,hurt,3867
47,buy,3691
48,leave,3631
49,keep,3550
50,run,3435
51,feel,3424
52,start,3420
53,love,3378
54,watch,3336
55,draw,3323
56,break,3180
57,throw,3126
58,move,3103
59,stay,3008
60,sing,3005
61,wear,2916
62,sleep,2883
63,ask,2880
64,pick,2843
65,live,2842
66,needta,2831
67,walk,2725
68,stand,2690
69,cry,2630
70,let,2621
71,build,2583
72,drive,2455
73,sound,2404
74,drink,2374
75,write,2370
76,pull,2353
77,cut,2296
78,wait,2289
79,fix,2222
80,would,2196
81,hide,2194
82,push,2148
83,bet,2124
84,wonder,2117
85,jump,2113
86,wash,2025
87,hafta,1945
88,stick,1930
89,stop,1925
90,miss,1901
91,lose,1816
92,catch,1812
93,guess,1803
94,drop,1726
95,pretend,1702
96,fly,1698
97,blow,1566
98,could,1564
99,forget,1483
100,count,1469
