rank,verb,frequency
1,go,67571
2,do,57977
3,have,34742
4,get,32534
5,think,25671
6,see,20827
7,know,19353
8,want,17455
9,put,17318
10,say,16455
11,wanna,13466
12,like,13259
13,come,10918
14,look,10061
15,make,9424
16,take,6150
17,play,5889
18,eat,5866
19,need,5180
20,find,4929
21,sit,4460
22,tell,4244
23,happen,4201
24,can,4111
25,fall,4071
26,give,3963
27,remember,3352
28,mean,2460
29,try,2390
30,will,2362
31,hear,2339
32,read,2253
33,talk,2209
34,fit,2070
35,help,2060
36,hurt,2014
37,finish,2001
38,show,1908
39,draw,1865
40,bring,1830
41,open,1800
42,hold,1799
43,use,1799
44,buy,1791
45,turn,1708
46,sing,1671
47,break,1652
48,keep,1604
49,watch,1587
50,wear,1575
51,work,1556
52,call,1502
53,leave,1467
54,move,1432
55,cry,1424
56,throw,1418
57,sleep,1389
58,run,1337
59,needta,1336
60,feel,1334
61,hide,1307
62,build,1289
63,stand,1282
64,love,1222
65,stay,1193
66,drive,1190
67,pick,1179
68,live,1171
69,cut,1170
70,write,1152
71,drink,1113
72,ask,1111
73,pull,1107
74,start,1101
75,wait,1073
76,would,1022
77,wash,1013
78,fix,998
79,let,990
80,walk,979
81,drop,942
82,jump,911
83,stick,898
84,push,890
85,lose,856
86,miss,828
87,blow,802
88,stop,796
89,wonder,786
90,shall,785
91,count,757
92,pretend,756
93,bet,753
94,could,736
95,catch,734
96,sound,728
97,lie,686
98,wake,670
99,color,660
100,hafta,654
