rank,verb,frequency
1,go,148995
2,do,119560
3,have,75167
4,get,72427
5,think,54893
6,know,52036
7,see,48586
8,say,39695
9,want,39623
10,put,36835
11,wanna,32719
12,like,31168
13,come,24466
14,look,23228
15,make,20777
16,eat,14744
17,play,14590
18,take,14380
19,tell,12438
20,need,11505
21,happen,11384
22,find,10684
23,sit,9169
24,give,8977
25,can,8048
26,fall,7974
27,remember,7571
28,mean,6614
29,try,6561
30,hear,6330
31,read,5672
32,talk,5379
33,help,4995
34,will,4788
35,turn,4678
36,show,4462
37,use,4432
38,bring,4250
39,open,4142
40,finish,4129
41,fit,4111
42,call,4017
43,work,3928
44,hold,3898
45,hurt,3867
46,buy,3691
47,leave,3631
48,keep,3550
49,run,3435
50,feel,3424
51,start,3420
52,love,3378
53,watch,3336
54,draw,3323
55,break,3180
56,throw,3126
57,move,3103
58,stay,3008
59,sing,3005
60,wear,2916
61,sleep,2883
62,ask,2880
63,pick,2843
64,live,2842
65,needta,2831
66,walk,2725
67,stand,2690
68,cry,2630
69,let,2621
70,build,2583
71,drive,2455
72,sound,2404
73,drink,2374
74,write,2370
75,pull,2353
76,cut,2296
77,wait,2289
78,fix,2222
79,would,2196
80,hide,2194
81,push,2148
82,bet,2124
83,wonder,2117
84,jump,2113
85,wash,2025
86,hafta,1945
87,stick,1930
88,stop,1925
89,miss,1901
90,lose,1816
91,catch,1812
92,guess,1803
93,drop,1726
94,pretend,1702
95,fly,1698
96,blow,1566
97,could,1564
98,forget,1483
99,count,1469
100,color,1434
