rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.38466218711102923,0.38640184422948376,3.026406889789517e-06,100
2,0.13618680284343507,0.1385207380939657,5.4472537536694895e-06,98
3,0.0739175068194675,0.07601507591743487,4.399796120747621e-06,98
4,0.04813979403527066,0.04965813483721703,2.3053587908551473e-06,96
5,0.03442683766835021,0.03569140004883564,1.5991180141389818e-06,95
6,0.026484862030169355,0.02725055426003183,5.862845908717688e-07,91
7,0.0202969550006893,0.021691725068590843,1.9453835423140725e-06,88
8,0.017048660408538266,0.017801885764126245,5.673484363006373e-07,85
9,0.014058347267420201,0.014954099865273063,8.023727165601517e-07,77
10,0.012309186754024983,0.012794967602265063,2.3598303251685213e-07,71
11,0.011127785725157732,0.0111116362655672,2.608050450662364e-10,68
12,0.009568312192868111,0.009769018823128181,4.0283151430352436e-08,62
13,0.008876621865468667,0.008677667975297034,3.9582650414426035e-08,56
14,0.008286667684581217,0.007776240750155584,2.6053565538715016e-07,52
15,0.007508177396004595,0.007021406664665092,2.3694574488879454e-07,48
16,0.007100862978977102,0.0063817768790117736,5.170848191633463e-07,43
17,0.006217218374052566,0.005834112332002911,1.4677023945495188e-07,37
18,0.006034706643733382,0.005360877495290275,4.540457212915623e-07,36
19,0.004884823468050163,0.004948617209860099,4.069641494112761e-09,32
20,0.004798212542537563,0.00458685273536512,4.4672968087972275e-08,29
21,0.003373581210397188,0.004267314332200183,7.987588930077265e-07,22
22,0.0033460928173913726,0.003983397284263271,4.0615698349487513e-07,22
23,0.0032677858996403276,0.003729769500383628,2.1342884735574537e-07,22
24,0.0032572594445521587,0.003502083952347515,5.993903961723851e-08,22
25,0.0028924785633214173,0.003296764900245846,1.6344744222377267e-07,21
26,0.0028383090111402266,0.003110846883429016,7.427689183170059e-08,20
27,0.002656557597455589,0.002941851995562752,8.139289359132858e-08,16
28,0.002393908709695537,0.0027876953083800352,1.5506788530350617e-07,15
29,0.0023811230843759496,0.0026466112465939502,7.048396427789145e-08,15
30,0.0023922427847665136,0.0025170957338124553,1.5588258885468493e-08,14
31,0.0022550223184095554,0.002397860334797747,2.0402698925713335e-08,14
32,0.002186281003850247,0.002287795611831251,1.0305215633536944e-08,14
33,0.0023171809356434593,0.0021859416224534766,1.7223757326578352e-08,12
34,0.0021640412473498695,0.002091463998997359,5.2674569784220245e-09,12
35,0.001996716099401217,0.0020036344254936605,4.786323592138733e-11,11
36,0.001989698462675771,0.0019218146045853592,4.6082181892391965e-09,11
37,0.001989698462675771,0.0018454430136414933,2.0809634576081148e-08,11
38,0.0019487569501150314,0.001774023904625083,3.053163718619239e-08,11
39,0.001924304369771967,0.001707118120111097,4.7169867041753734e-08,11
40,0.001917286733046521,0.0016443353879381426,7.450243679647315e-08,11
41,0.0016269973318027316,0.0015853278263622623,1.7363476836532962e-09,10
42,0.0015203256513605207,0.0015297844453979023,8.946878464160543e-11,9
43,0.0014782045930507586,0.0014774264720519576,6.054722887749559e-13,9
44,0.0014782045930507586,0.0014280033601753288,2.520163782213135e-09,9
45,0.0014568952175181133,0.0013812893717575444,5.716243913170928e-09,9
46,0.0014483181059647908,0.001337080637241119,1.2373774448049858e-08,9
47,0.0014483181059647908,0.0012951926190200179,2.3447414752073835e-08,9
48,0.0014397409944114684,0.0012554579156151835,3.396025313063777e-08,9
49,0.0014397409944114684,0.0012177243547830596,4.929138827189076e-08,9
50,0.0014397409944114684,0.0011818533325454771,6.650604614270787e-08,9
51,0.0010747925145052275,0.0011477183622463807,5.318179268765868e-09,8
52,0.0010747925145052275,0.0011152038035666804,1.6330722836083031e-09,8
53,0.0010747925145052275,0.0010842037462171074,8.857128233469394e-11,8
54,0.0010747925145052275,0.0010546210269807613,4.068889089496933e-10,8
55,0.0010411702165335135,0.0010263663620507326,2.191541075473503e-10,8
56,0.0009060938199633829,0.0009993575793301632,8.698128811224718e-09,8
57,0.0009060938199633829,0.0009735189376333135,4.546146492803991e-09,8
58,0.0009060938199633829,0.0009487805216277771,1.8221544989849974e-09,8
59,0.0009060938199633829,0.0009250777029553051,3.6038781345099627e-10,8
60,0.0008964445694658952,0.0009023506593146554,3.488189730162869e-11,8
61,0.0008964445694658952,0.0008805439444275313,2.528298766106433e-10,8
62,0.0007500671466756784,0.000859606102773055,1.1998782902902991e-08,7
63,0.0007500671466756784,0.0008394893237960467,7.996325760946522e-09,7
64,0.0007500671466756784,0.000820149130993251,4.9114845258884915e-09,7
65,0.0007500671466756784,0.0008015441018789617,2.649876917000834e-09,7
