rank,verb,frequency
1,be,6263
2,do,1567
3,go,1495
4,know,887
5,have,856
6,think,826
7,get,778
8,see,550
9,wanna,481
10,say,464
11,like,432
12,want,403
13,put,386
14,tell,322
15,look,318
16,make,307
17,happen,300
18,play,282
19,come,247
20,take,191
21,eat,146
22,remember,131
23,find,122
24,need,108
25,read,101
26,help,95
27,can,90
28,fall,82
29,give,76
30,show,75
31,hafta,75
32,try,74
33,fix,69
34,use,66
35,talk,62
36,call,62
37,pick,61
38,sit,61
39,drive,60
40,win,59
41,start,58
42,live,58
43,bring,57
44,hear,56
45,turn,54
46,mean,49
47,jump,49
48,finish,48
49,sound,47
50,ask,46
51,watch,44
52,write,43
53,hold,41
54,open,41
55,walk,40
56,guess,40
57,needta,38
58,will,37
59,draw,37
60,sleep,35
61,run,35
62,bet,34
63,love,34
64,work,34
65,stand,34
66,learn,31
67,sing,31
68,break,29
69,useta,29
70,feel,29
71,wonder,29
72,leave,29
73,knit,28
74,catch,28
75,stick,28
76,wear,27
77,sew,27
78,cut,27
79,feed,26
80,color,26
81,fit,26
82,let,25
83,move,25
84,paint,25
85,hurt,25
86,stay,24
87,deliver,23
88,build,23
89,pull,22
90,lose,22
91,wake,22
92,fight,21
93,ride,21
94,could,21
95,keep,21
96,count,21
97,pretend,20
98,wait,19
99,rhyme,19
100,drink,18
