rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3444010859054399,0.34636740601945143,3.8664147907663704e-06,100
2,0.153533726997543,0.13493860715962186,0.0003457784817866484,99
3,0.08576689909104947,0.07774135585737443,6.440934419558711e-05,97
4,0.05657516143114081,0.052569691563750055,1.6043788858575304e-05,97
5,0.04051781057316383,0.03880947888193983,2.918397167240259e-06,96
6,0.031028021686769883,0.030286655429424252,5.496239275306687e-07,91
7,0.02576074623548143,0.024558604363370727,1.4451450806818268e-06,86
8,0.021835644938951203,0.020480220815075726,1.8371745555836037e-06,80
9,0.01887643888340999,0.017448865873377007,2.0379646989746307e-06,73
10,0.016798924416231684,0.015119485649944852,2.820514569707039e-06,64
11,0.01565774341111309,0.013281372741276437,5.6471375604598995e-06,60
12,0.012896272819746795,0.011799144573494878,1.203690388723808e-06,49
13,0.01076580649147789,0.010582153526401948,3.372841158118524e-08,42
14,0.009964446394016531,0.00956759732291714,1.5748918523244987e-07,37
15,0.008892324330466843,0.008710696953485012,3.298850406930028e-08,30
16,0.007758097702674136,0.007978731321366351,4.867919369722177e-08,27
17,0.0065634372434427565,0.007347278193759315,6.14406635393165e-07,25
18,0.006193845074477118,0.006797769121891122,3.6472425504491183e-07,24
19,0.005991163041103332,0.006315854548768392,1.054245751498094e-07,23
20,0.0036062251640875914,0.005890283840561122,5.216924037574016e-06,19
21,0.0036062251640875914,0.005512121429422413,3.6324405742172192e-06,19
22,0.0035820920756474235,0.005174187604635541,2.5347681734239526e-06,17
23,0.002542853441376234,0.004870652662815389,5.418649215332736e-06,15
24,0.0025813642884857145,0.004596737760980303,4.061730233634896e-06,14
25,0.0028523696421581457,0.004348491298292511,2.2383800099542354e-06,11
26,0.0028523696421581457,0.004122619602150927,1.6135349608616634e-06,11
27,0.002620502916286968,0.003916357219517415,1.6792383752008679e-06,10
28,0.002620502916286968,0.00372736647323583,1.2251469337014869e-06,10
29,0.0026042306212632794,0.0035536589044083146,9.014140648357291e-07,8
30,0.002133483058069832,0.0033935332651560744,1.587726524378082e-06,7
31,0.001985210612700215,0.0032455261562152867,1.5883952692256904e-06,7
32,0.001662982822071642,0.003108372418118241,2.08915108435975e-06,7
33,0.001662982822071642,0.0029809731129724713,1.7370984069088526e-06,7
34,0.001662982822071642,0.002862369462744618,1.438528313824806e-06,7
35,0.001662982822071642,0.0027517214981730314,1.1853519048390062e-06,7
36,0.001662982822071642,0.002648290460243712,9.708311418402225e-07,7
37,0.001662982822071642,0.002551424211537616,7.893281025162306e-07,7
38,0.001662982822071642,0.002460545077343991,6.361055510351159e-07,7
39,0.001585821643143507,0.002375139660188417,6.230229320317088e-07,7
40,0.001585821643143507,0.0022947502663559216,5.025797928098496e-07,7
41,0.001585821643143507,0.002218967656348155,4.008738740369404e-07,7
42,0.001585821643143507,0.002147424888296775,3.1539820496668146e-07,7
43,0.001585821643143507,0.002079792068066895,2.440067806989925e-07,7
44,0.001585821643143507,0.0020157718550252103,1.8485718469712154e-07,7
45,0.001585821643143507,0.0019550956003885544,1.3636325549941707e-07,7
46,0.001585821643143507,0.0018975200173474243,9.71558764813652e-08,7
47,0.001585821643143507,0.0018428243000186517,6.605036564088334e-08,7
48,0.0015122058406562308,0.0017908076226718836,7.761895294229733e-08,7
49,0.0015122058406562308,0.0017412869623266492,5.2478160305777054e-08,7
50,0.0013410264485418431,0.0016940951972957132,1.2465754134662346e-07,6
51,0.0013410264485418431,0.0016490794419960321,9.48966467760866e-08,6
52,0.0013410264485418431,0.0016060995847050326,7.026376751538878e-08,6
53,0.0013410264485418431,0.0015650270001776804,5.017624713315941e-08,6
54,0.0014016503147327483,0.001525743413372826,1.539909713009605e-08,5
55,0.0014016503147327483,0.0014881398941353988,7.480447345247397e-09,5
56,0.0014016503147327483,0.0014521159656797182,2.546781925501405e-09,5
57,0.0014016503147327483,0.001417578812227056,2.5371703242617014e-10,5
58,0.0014016503147327483,0.0013844425732550487,2.961063667633411e-10,5
59,0.0014016503147327483,0.0013526277135881722,2.4032154229801925e-09,5
60,0.0014016503147327483,0.0013220604600546286,6.334544967684204e-09,5
61,0.0014016503147327483,0.0012926722967022246,1.1876208413861152e-08,5
62,0.0014016503147327483,0.0012643995116423214,1.8837782948967122e-08,5
63,0.0014016503147327483,0.0012371827895079775,2.70495668535606e-08,5
64,0.0014016503147327483,0.0012109668442956958,3.636018589791826e-08,5
65,0.0014016503147327483,0.0011857000880310252,4.6634500412525586e-08,5
66,0.0014016503147327483,0.0011613343312742242,5.7751771905637625e-08,5
67,0.0014016503147327483,0.001137824511977901,6.960405419923958e-08,5
68,0.0014016503147327483,0.001115128449636231,8.209477917838686e-08,5
69,0.0014016503147327483,0.0010932066220351434,9.513751156493449e-08,5
70,0.0014016503147327483,0.001072021962233376,1.0865485077145048e-07,5
71,0.0014016503147327483,0.0010515396736826335,1.225774609765223e-07,5
72,0.0006662567796433319,0.001031727061637352,1.3356852702078855e-07,3
73,0.0006662567796433319,0.0010125533792158365,1.1992133487547957e-07,3
74,0.0006662567796433319,0.0009939896866591647,1.0740885834104847e-07,3
75,0.0006662567796433319,0.0009760087224958729,9.594626610092381e-08,3
76,0.0006662567796433319,0.0009585847854622218,8.545566298604891e-08,3
77,0.0005277194349539392,0.0009416936261524196,1.7137463097843597e-07,2
78,0.0005277194349539392,0.0009253123474828457,1.580801240932187e-07,2
79,0.0005277194349539392,0.0009094193131510251,1.456947970156702e-07,2
80,0.0005277194349539392,0.0008939940633555163,1.3415710341071336e-07,2
81,0.0005277194349539392,0.0008790172371184449,1.2341014580561218e-07,2
82,0.0005277194349539392,0.0008644705006193777,1.134012802268084e-07,2
83,0.0005277194349539392,0.0008503364810086559,1.0408175840507117e-07,2
84,0.0005277194349539392,0.0008365987052211265,9.540640360079013e-08,2
85,0.0005277194349539392,0.0008232415433582278,8.73333165557161e-08,2
86,0.0005277194349539392,0.0008102501562482924,7.982360847510746e-08,2
87,0.0005277194349539392,0.0007976104468323425,7.284115829274842e-08,2
88,0.0005277194349539392,0.0007853090150560925,6.635239177720364e-08,2
89,0.0005277194349539392,0.0007733331159787972,6.032608030658066e-08,2
90,0.0005277194349539392,0.0007616706208364206,5.4733157375819325e-08,2
91,0.0005277194349539392,0.0007503099808206527,4.9546551109241455e-08,2
92,0.0005277194349539392,0.0007392401933569454,4.474103123538291e-08,2
93,0.0005277194349539392,0.0007284507706841784,4.0293069144046e-08,2
94,0.0005277194349539392,0.0007179317105560941,3.6180709789750116e-08,2
95,0.0005277194349539392,0.0007076734689004348,3.2383454333616465e-08,2
96,0.0005277194349539392,0.0006976669342859789,2.888215252921361e-08,2
97,0.0005277194349539392,0.0006879034040605554,2.5658903958749367e-08,2
98,0.0005277194349539392,0.0006783745620347765,2.269696731574322e-08,2
99,0.0005277194349539392,0.0006690724575967858,1.9980677010269095e-08,2
100,0.0005277194349539392,0.0006599894861528933,1.7495366444173916e-08,2
101,0.0005277194349539392,0.0006511183707976492,1.522729736736005e-08,2
102,0.0005277194349539392,0.0006424521451248052,1.3163594783151938e-08,2
103,0.0005277194349539392,0.0006339841370977832,1.1292186921719871e-08,2
104,0.0005277194349539392,0.0006257079539048003,9.601749846183254e-09,2
105,0.0005277194349539392,0.0006176174677297539,8.081656296961445e-09,2
106,0.0005277194349539392,0.0006097068023753879,6.721928416699624e-09,2
107,0.0005277194349539392,0.000601970320680217,5.513194031136763e-09,2
108,0.0005277194349539392,0.0005944026126752073,4.446646191006218e-09,2
109,0.0005277194349539392,0.0005869984844303457,3.514005706826244e-09,2
110,0.0005277194349539392,0.0005797529475450147,2.707486432565605e-09,2
111,0.0005277194349539392,0.0005726612092395544,2.019763075939181e-09,2
112,0.0005277194349539392,0.0005657186630085695,1.4439413327477974e-09,2
113,0.0005277194349539392,0.0005589208797994515,9.735301604475412e-10,2
114,0.0005277194349539392,0.0005522635996822626,6.024160222110726e-10,2
115,0.0005277194349539392,0.0005457427239795835,3.248389473019095e-10,2
116,0.0005277194349539392,0.0005393543078271858,1.353702667766074e-10,2
117,0.0005277194349539392,0.0005330945531384719,2.889189549769351e-11,2
118,0.0005277194349539392,0.0005269598019475359,5.770423044174607e-13,2
119,0.0005277194349539392,0.0005209465301074632,4.58722400594182e-11,2
120,0.000540128252496945,0.0005150513413221161,6.28851474070259e-10,1
121,0.000540128252496945,0.0005092709614911478,9.52172408216451e-10,1
