verb,subject,frequency,rank,total,proportion
do,you,621,1,1567,0.39629865985960433
do,he,135,2,1567,0.08615188257817485
do,i,134,3,1567,0.08551372048500319
do,we,121,4,1567,0.07721761327377154
do,they,106,5,1567,0.06764518187619656
do,she,58,6,1567,0.037013401403956606
do,it,57,7,1567,0.036375239310784936
do,who,54,8,1567,0.03446075303126994
do,thing,28,9,1567,0.017868538608806637
do,wanna,24,10,1567,0.015315890236119975
do,us,20,11,1567,0.012763241863433313
do,billy,13,12,1567,0.008296107211231652
do,that,12,13,1567,0.007657945118059987
do,what,10,14,1567,0.006381620931716656
do,firstname,8,15,1567,0.005105296745373325
do,daddy,6,16,1567,0.0038289725590299937
do,dad,6,17,1567,0.0038289725590299937
do,man,5,18,1567,0.003190810465858328
do,boy,4,19,1567,0.0025526483726866626
do,baby,4,20,1567,0.0025526483726866626
do,ya,4,21,1567,0.0025526483726866626
do,horse,4,22,1567,0.0025526483726866626
do,christopher,4,23,1567,0.0025526483726866626
do,frog,4,24,1567,0.0025526483726866626
do,girl,3,25,1567,0.0019144862795149968
do,needta,3,26,1567,0.0019144862795149968
do,bro,3,27,1567,0.0019144862795149968
do,cat,3,28,1567,0.0019144862795149968
do,one,3,29,1567,0.0019144862795149968
do,momma,3,30,1567,0.0019144862795149968
do,grover,3,31,1567,0.0019144862795149968
do,which,2,32,1567,0.0012763241863433313
do,people,2,33,1567,0.0012763241863433313
do,go,2,34,1567,0.0012763241863433313
do,grandma,2,35,1567,0.0012763241863433313
do,anybody,2,36,1567,0.0012763241863433313
do,kid,2,37,1567,0.0012763241863433313
do,chi,2,38,1567,0.0012763241863433313
do,truck,2,39,1567,0.0012763241863433313
do,car,2,40,1567,0.0012763241863433313
do,helen,2,41,1567,0.0012763241863433313
do,ernie,2,42,1567,0.0012763241863433313
do,alison,2,43,1567,0.0012763241863433313
do,chip,2,44,1567,0.0012763241863433313
do,bunny,2,45,1567,0.0012763241863433313
