rank,verb,frequency
1,go,4147
2,get,2098
3,do,1766
4,see,1403
5,have,1147
6,wanna,1080
7,know,935
8,want,803
9,say,736
10,think,727
11,put,699
12,like,619
13,come,507
14,play,420
15,look,414
16,try,303
17,make,285
18,take,272
19,need,253
20,hear,206
21,eat,204
22,give,174
23,fall,165
24,find,164
25,sit,149
26,love,142
27,help,133
28,turn,130
29,throw,129
30,feel,122
31,let,122
32,read,120
33,tell,116
34,needta,106
35,talk,101
36,wash,97
37,hold,95
38,stand,89
39,walk,87
40,hurt,84
41,open,84
42,can,80
43,pull,74
44,mean,74
45,drop,73
46,work,73
47,watch,70
48,clean,70
49,leave,67
50,wave,64
51,run,63
52,chew,62
53,roll,61
54,keep,61
55,sing,61
56,push,61
57,move,60
58,crawl,57
59,wear,57
60,bring,55
61,guess,55
62,change,55
63,stay,53
64,close,51
65,start,50
66,shake,48
67,taste,46
68,reach,45
69,show,44
70,call,44
71,use,43
72,knock,43
73,clap,42
74,pick,41
75,smell,40
76,stop,39
77,happen,38
78,bite,37
79,hide,36
80,touch,36
81,finish,36
82,build,35
83,forget,34
84,sound,34
85,bless,34
86,remember,34
87,hafta,33
88,blow,33
89,fix,33
90,laugh,33
91,check,32
92,hope,32
93,bang,31
94,drink,30
95,learn,30
96,wipe,30
97,wait,30
98,miss,29
99,spit,29
100,stick,29
