rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3325932307572551,0.3397105122357649,5.06556956443389e-05,100
2,0.15668641733962732,0.1287262128033706,0.000781773037709311,99
3,0.08872804580836713,0.07296914030319478,0.00024834310272095147,97
4,0.05310774225069845,0.048778113322552955,1.8745686655434292e-05,97
5,0.03880042338536288,0.03569036423341934,9.672467928587767e-06,96
6,0.029514748855235633,0.027650133700393487,3.4767896756670006e-06,95
7,0.02109842078202741,0.022282900969018013,1.4029933133732907e-06,95
8,0.01685662009422075,0.01848344861152877,2.646571024726621e-06,95
9,0.013130161950341336,0.015673625763138098,6.469208167006639e-06,94
10,0.010981829968909637,0.013524119083345975,6.463233941381502e-06,92
11,0.009563917094535315,0.011834753780706477,5.156699255260822e-06,89
12,0.008598586537253119,0.010477441428978468,3.530095704160273e-06,83
13,0.007878158233698987,0.00936673628201015,2.2158646059138715e-06,78
14,0.006953640104992565,0.008443640537162804,2.220101287867501e-06,71
15,0.006396279596636299,0.007666219034791232,1.6127461765812664e-06,68
16,0.00603345828386021,0.007003917316684446,9.417907343901521e-07,64
17,0.005559962914668706,0.006433991699100874,7.639263160159737e-07,62
18,0.005261291049670062,0.005939193556618151,4.595518089265035e-07,58
19,0.004417540100539118,0.00550622488493783,1.1852345597812704e-06,48
20,0.004017445698211714,0.005124682835521729,1.2259740782384779e-06,45
21,0.003996410041735092,0.004786322673588692,6.239619659618812e-07,43
22,0.003513447456684149,0.004484533091497094,9.430073101400609e-07,39
23,0.00315482514499321,0.004213956185796531,1.1217585615931267e-06,36
24,0.0028005638655089257,0.003970207887136263,1.3680671373285706e-06,33
25,0.0027221537344714916,0.0037496693603349483,1.055788361393571e-06,33
26,0.0026187664129307944,0.0035493293391942004,8.659473597359132e-07,32
27,0.0025032907961565895,0.0033666635449198313,7.454125033069958e-07,30
28,0.002204662803371595,0.003199541460959106,9.897835433231284e-07,27
29,0.0021689255388502877,0.003046153534085264,7.695289556239758e-07,27
30,0.001964777914916544,0.002904953798382607,8.839306918511921e-07,26
31,0.0019208597453424347,0.002774614265335998,7.288967804094394e-07,26
32,0.001692643450869732,0.0026539883768419187,9.241840666924692e-07,24
33,0.0015901923487113842,0.0025420815016722297,9.060929595245158e-07,23
34,0.001525059125070745,0.0024380269517793956,8.335102526051165e-07,23
35,0.0015705074071927316,0.00234106635831606,5.937610971562842e-07,22
36,0.001511109158459345,0.0022505335163694865,5.467483810708249e-07,20
37,0.0014975450633037805,0.0021658410085532167,4.4661947043683744e-07,20
38,0.001507193216341668,0.0020864690692580204,3.3556051377196743e-07,18
39,0.001488063114912265,0.002011956266665881,2.7446403445433715e-07,18
40,0.0014218494547201777,0.0019418916679779425,2.7044390357003454e-07,17
41,0.001408260680760893,0.0018759082215023307,2.1869422236151474e-07,17
42,0.001408260680760893,0.0018136771422556808,1.6436250725095486e-07,17
43,0.0014055350093377184,0.0017549031292084815,1.220580831820319e-07,17
44,0.0014055350093377184,0.0016993202749615599,8.630978229767108e-08,17
45,0.0014028093379145437,0.0016466885545080583,5.947707228626642e-08,17
46,0.0009541715882251744,0.0015967908003401935,4.1295945177932794e-07,14
47,0.0009541715882251744,0.001549430087662249,3.5433268115207784e-07,14
48,0.0009297764829649115,0.00150442746675567,3.3022375317168644e-07,14
49,0.0009297764829649115,0.0014616199902888647,2.8285751628264385e-07,14
