rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3849461525076776,0.39207108339635977,5.0764640168497114e-05,100
2,0.16733331873544352,0.13766055600026567,0.0008804728483381596,100
3,0.09330196874871306,0.07462970383246836,0.00034865347710242266,100
4,0.05337868437745847,0.048334165616454206,2.5447169530123997e-05,100
5,0.03832391582408873,0.03450802517553439,1.4561021441724444e-05,100
6,0.029652693837431413,0.026203326281338653,1.1898136537025344e-05,100
7,0.021144188820771306,0.0207618845781642,1.461565339153945e-07,100
8,0.0138771105678431,0.01697066780577521,9.570096384362134e-06,100
9,0.009621241049729088,0.014205568658302269,2.1016059622726298e-05,100
10,0.007375631257469757,0.012116154782404276,2.2472563290457594e-05,100
11,0.0059441807765177,0.010492086397945261,2.068344554141241e-05,100
12,0.00503367330891442,0.009200281830779219,1.7360626574476368e-05,99
13,0.00405070992767452,0.008152866871551577,1.682769159219876e-05,99
14,0.0034494332189093763,0.007289730601616617,1.4747883987628084e-05,99
15,0.0029035831596776504,0.006568512210552391,1.3431704947945627e-05,99
16,0.002591772731409991,0.005958591859418201,1.133547104072196e-05,99
17,0.002375091946036871,0.005437345645737797,9.37739772133201e-06,99
18,0.0021677332926879397,0.004987734527274232,7.952406963068213e-06,99
19,0.001968075598230349,0.004596707562783301,6.909706005069512e-06,99
20,0.0017976432120749564,0.0042541178744490305,6.034267766885821e-06,99
21,0.0017061592407110412,0.003951970351013835,5.043667543159469e-06,99
22,0.0015838276950823687,0.003683889244348643,4.410258510706664e-06,99
23,0.001503965164365635,0.0034447347039699506,3.7665864058559473e-06,99
24,0.0014142751426223011,0.0032303221681458196,3.298026798912819e-06,99
25,0.0013324896247277243,0.0030372140459833043,2.9060853524251722e-06,99
26,0.0012862644142363202,0.002862563025081173,2.484717310551413e-06,98
27,0.0012395987924452977,0.0027039927876270826,2.1444497731244696e-06,98
28,0.0011795839746641431,0.0025595061972377322,1.904185340352434e-06,98
29,0.0011538521898043924,0.0024274139080134056,1.621959450087494e-06,97
30,0.0011011073515316222,0.0023062783288331935,1.4524370845300244e-06,97
31,0.0010565787186220396,0.0021948692548697324,1.2957053449110602e-06,97
32,0.0010075060115027617,0.00209212845089351,1.1764058360299376e-06,97
33,0.0009694567449998231,0.001997141165526197,1.0561352681926286e-06,97
34,0.0009305493012958874,0.001909113057443191,9.575870248451196e-07,97
35,0.0009102104755414019,0.0018273513810518405,8.411474405605073e-07,97
36,0.0008847233758402616,0.0017512495495929452,7.508676097984661e-07,97
37,0.0008664211492612333,0.0016802743950300471,6.623571056484333e-07,97
38,0.0008445143864280222,0.001613955595454277,5.920397741477849e-07,97
39,0.0008339778404767245,0.0015518768554383174,5.153789956828253e-07,96
40,0.0008128253261540262,0.0014936685123888406,4.6354744424237423e-07,96
41,0.0007935132224581239,0.0014390013093715697,4.166548703471801e-07,96
42,0.000778210142252232,0.0013875811271374693,3.713329972200041e-07,96
43,0.0007585898226810281,0.0013391445088474176,3.37043743629755e-07,96
44,0.0007317079634828993,0.0012934548430029442,3.1555955665050784e-07,96
45,0.0007124491586155701,0.001250299095375796,2.8928255447297913e-07,96
46,0.0006864371599924773,0.0012094850008168615,2.7357904379105033e-07,96
47,0.000677741226196757,0.0011708386418710095,2.431450613446265e-07,96
48,0.0006644628794748818,0.0011342023540088138,2.2065517393541451e-07,96
49,0.0006573599805593033,0.0010994329076833278,1.954284728960031e-07,96
