rank,verb,frequency
1,be,7021
2,go,1586
3,do,1552
4,have,1200
5,want,1154
6,get,1067
7,know,1013
8,think,747
9,say,649
10,like,569
11,see,461
12,put,371
13,eat,357
14,make,335
15,tell,286
16,come,280
17,look,267
18,play,229
19,write,205
20,take,172
21,remember,164
22,mean,154
23,need,140
24,give,138
25,happen,138
26,read,112
27,talk,99
28,ask,98
29,try,86
30,find,84
31,can,83
32,hear,81
33,start,78
34,run,76
35,love,75
36,show,75
37,sit,75
38,call,74
39,live,74
40,help,72
41,bring,72
42,use,72
43,watch,69
44,guess,69
45,work,67
46,sing,58
47,sound,57
48,spell,56
49,feel,55
50,forget,55
51,fall,53
52,finish,53
53,hold,52
54,walk,51
55,buy,51
56,turn,50
57,miss,49
58,stand,49
59,pick,48
60,move,47
61,win,47
62,leave,45
63,let,42
64,keep,39
65,ride,38
66,bet,36
67,jump,36
68,stay,35
69,understand,33
70,sleep,33
71,cut,31
72,draw,30
73,learn,29
74,wait,29
75,wonder,29
76,lie,28
77,hurt,28
78,climb,27
79,haft,27
80,drink,27
81,fight,27
82,will,26
83,stop,26
84,fix,24
85,fit,24
86,taste,24
87,kick,24
88,cry,23
89,kneel,23
90,stick,22
91,stretch,22
92,fly,21
93,cook,21
94,open,20
95,hide,20
96,teach,19
97,pull,19
98,send,18
99,throw,18
100,believe,17
