rank,verb,frequency
1,be,541624
2,go,141305
3,do,106828
4,get,75094
5,want,71944
6,have,69996
7,think,54725
8,know,51848
9,say,38061
10,see,37670
11,like,33928
12,put,31811
13,come,22715
14,look,21325
15,make,19638
16,eat,14368
17,take,13084
18,play,12998
19,tell,11902
20,need,11611
21,find,10090
22,give,8583
23,sit,8304
24,happen,8131
25,fall,7815
26,remember,7501
27,can,6881
28,mean,6418
29,hear,6130
30,try,5497
31,talk,4946
32,use,4337
33,read,4198
34,fit,4132
35,bring,4094
36,help,4090
37,will,4060
38,turn,3866
39,hurt,3856
40,work,3780
41,show,3766
42,buy,3725
43,open,3666
44,finish,3664
45,hold,3556
46,love,3520
47,keep,3508
48,call,3312
49,leave,3305
50,start,3228
51,watch,3205
52,run,3200
53,feel,3100
54,stay,3060
55,break,3044
56,draw,2979
57,live,2940
58,throw,2938
59,wear,2884
60,ask,2830
61,sing,2764
62,sleep,2608
63,pick,2533
64,move,2530
65,walk,2508
66,cry,2433
67,let,2379
68,stand,2374
69,sound,2337
70,drink,2312
71,build,2258
72,drive,2253
73,wait,2191
74,write,2180
75,hide,2161
76,wonder,2143
77,bet,2114
78,pull,2096
79,would,2058
80,forget,2026
81,lose,1991
82,push,1970
83,fix,1961
84,jump,1945
85,stop,1799
86,miss,1796
87,guess,1777
88,pretend,1764
89,cut,1753
90,wash,1734
91,drop,1722
92,catch,1617
93,stick,1563
94,fly,1562
95,ride,1545
96,blow,1479
97,could,1397
98,hit,1294
99,wake,1279
100,hope,1240
