rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.39461242601439134,0.4012680300187436,4.4297064662750075e-05,100
2,0.16459112647532712,0.13991651084438683,0.0006088366565346426,100
3,0.09165656110341346,0.07554578749224923,0.0002595570263501856,100
4,0.05062281885882666,0.048786916829514096,3.3705362612340004e-06,100
5,0.0369172389763962,0.03475362840738615,4.681210694331996e-06,100
6,0.028150048785617436,0.026341752156067082,3.2699367004431693e-06,99
7,0.020082952617415682,0.020839415750695752,5.722364720119008e-07,99
8,0.01308652538391984,0.01701131081218221,1.5403940657900623e-05,99
9,0.009727346565704696,0.0142228275887254,2.0209349628339276e-05,99
10,0.007640208936975059,0.012118100775974344,2.0051515321776392e-05,99
11,0.006114079090202771,0.010483774679728913,1.909423954512422e-05,99
12,0.004936403086185072,0.00918499799506168,1.805055869973223e-05,99
13,0.004259672187374793,0.008132810710976324,1.5001202023006247e-05,99
14,0.0036869081790461412,0.007266410782181448,1.2812838885852438e-05,99
15,0.003223553259417909,0.006542983815895701,1.1018619219278465e-05,99
16,0.002842776900608393,0.005931604502902328,9.540855956692901e-06,99
17,0.002530625003787156,0.0054094386455279826,8.287567983873081e-06,99
18,0.002309187393523147,0.004959299674242143,7.02309510041764e-06,99
19,0.002146341023714713,0.004568031461633467,5.864584577107127e-06,99
20,0.002010007026047952,0.004225411076371539,4.908015106190157e-06,98
21,0.0019226485292971212,0.0039233877508037555,4.002957432474973e-06,98
22,0.0018355792511891662,0.0036555445834991645,3.3122738108102426e-06,97
23,0.0017392602745370683,0.003416711025306421,2.8138410212566646e-06,97
24,0.00165416418847253,0.0032026794447633632,2.397899498965465e-06,97
25,0.0015665477367501246,0.0030099948092606812,2.083539451139296e-06,97
26,0.0014938623453620104,0.0028357965571902425,1.8007874288750586e-06,97
27,0.001436223621549103,0.0026776982719170497,1.5412593075062157e-06,97
28,0.0013958678136764403,0.0025336951038869683,1.2946509423478332e-06,97
29,0.0013222822196995929,0.002402091812976994,1.165988757733907e-06,97
30,0.0012710314698744529,0.002281446309063435,1.0209381472532963e-06,96
31,0.0012525741696820995,0.002170524964118744,8.426336610068669e-07,96
32,0.0012000606572534396,0.002068266952929643,7.537821718517955e-07,96
33,0.0011733814587350593,0.0019737555818599064,6.405987369678678e-07,96
34,0.0011307849776001251,0.001886195072340318,5.706444112353872e-07,94
35,0.0010827050287684505,0.0018048916361287988,5.215534958506499e-07,93
36,0.0010216923725088968,0.0017292379525457155,5.006207478296382e-07,92
37,0.001010781986102533,0.0016587003612844207,4.1979822089833735e-07,92
38,0.0009895505233889043,0.0015928082372006663,3.6391986927339364e-07,92
39,0.0009718164384257456,0.0015311451292479156,3.128485843768426e-07,92
40,0.0009606163901114259,0.001473341334124014,2.6288686821271164e-07,92
41,0.0009510978951759208,0.0014190676432029232,2.1899568506845607e-07,92
42,0.0009289860308835525,0.001368030054017576,1.927596542497089e-07,92
43,0.0009177372754565479,0.0013199652786596938,1.6178736656078994e-07,92
44,0.0009014272777471194,0.0012746369137242482,1.39285432386181e-07,92
45,0.0008853233109526573,0.0012318321619038367,1.2006838378750662e-07,92
46,0.0008550399365052713,0.0011913590155739331,1.1311052294559281e-07,91
47,0.000853214047278524,0.0011530438288703693,8.989789792941368e-08,91
48,0.0008332225671496818,0.001116729217733584,8.037602092530287e-08,91
49,0.0008230678848525691,0.0010822722378607146,6.718689661837135e-08,90
50,0.0008197382007908045,0.0010495427989909833,5.2810153353945595e-08,90
51,0.0008127674826228517,0.0010184222808588277,4.229389603748e-08,89
52,0.0007923000385664989,0.0009888023217998446,3.8613147315918024e-08,88
53,0.0007719971502363355,0.0009605837556353973,3.556490773594147e-08,88
54,0.000767835509488571,0.0009336756762884332,2.7502960924206088e-08,88
55,0.0007622418500592939,0.0009079946127505929,2.1243867832146114e-08,88
56,0.0007471021035378297,0.0008834637996523458,1.8594512167227626e-08,86
57,0.0007452517392963088,0.0008600125308820409,1.3170039285383832e-08,85
58,0.0007450415309410678,0.0008375755855354567,8.56255125967735e-09,85
59,0.0007142110826477081,0.0008160927170182553,1.0379867422013877e-08,83
60,0.0007031754805180241,0.0007955081974211842,8.525330610719104e-09,82
61,0.0007056529897109207,0.0007757704103837029,4.9164526818039e-09,80
62,0.0006932498170799362,0.0007568314865900152,4.042628697688902e-09,79
63,0.0006918712782044837,0.0007386469768300985,2.187965981914343e-09,79
64,0.0006915011596567094,0.0007211755582301183,8.805699306935328e-10,79
65,0.0006780313667163517,0.0007043787698304262,6.941856508555417e-10,77
66,0.0006697894032120367,0.0006882207741807161,3.397154357850758e-10,76
67,0.0006677081571428879,0.0006726681420437408,2.4601450216688167e-11,74
68,0.0006565053218310597,0.0006576896576620012,1.4026513604518942e-12,73
69,0.0006553544598188186,0.0006432561423549415,1.4636928545675407e-10,73
70,0.0006543280359870136,0.0006293402944848659,6.243872253781565e-10,73
71,0.0006308888664522403,0.0006159165440643408,2.2417043768719668e-10,70
72,0.0006203627090083076,0.0006029609204814702,3.0282224393277226e-10,69
73,0.0006197359647057902,0.0005904509319966223,8.576131407770359e-10,69
74,0.0006134339335048457,0.000578365455818644,1.229798127227631e-09,68
75,0.0006132279630401466,0.0005666846377035293,2.166281133390198e-09,68
76,0.0006061893491077382,0.0005553898001365962,2.580594175671455e-09,67
77,0.0006048305899888537,0.0005444633582627621,3.6442026662716306e-09,67
78,0.0005943021511627069,0.0005338887428204511,3.6497799075281403e-09,66
79,0.0005941450701096408,0.000523650329414683,4.969508465649337e-09,65
80,0.0005848354566526175,0.0005137333735354316,5.0555062236032204e-09,64
81,0.00057200250639343,0.000504123950789599,4.607498310862378e-09,64
82,0.0005673484523585913,0.0004948089018700187,5.261986385084178e-09,62
83,0.0005615953017811542,0.00048577578183366506,5.7485996050677084e-09,61
84,0.0005475361187896855,0.00047701281330450444,4.973536616556169e-09,60
85,0.0005319302721696114,0.0004685088432548494,4.022277645590213e-09,58
86,0.0005317613857548955,0.0004602533030532641,5.11340589166336e-09,57
87,0.0005310536091202101,0.0004522361714975277,6.212188473405424e-09,56
88,0.0005307345428667193,0.00044444794057833104,7.4453777344744886e-09,56
89,0.0005259240756787401,0.00043687958374365914,7.928921543976692e-09,54
90,0.0005209209483027185,0.000429522526455526,8.353671516157356e-09,53
91,0.0005209209483027185,0.00042236861885017456,9.712561640522758e-09,53
92,0.000512059103523754,0.0004154101103302995,9.341027885308408e-09,52
93,0.0005028596777460728,0.00040863962593351165,8.877418163561715e-09,49
94,0.0005008443660942493,0.0004020501443353422,9.760298252948104e-09,48
95,0.0005008443660942493,0.0003956349773577598,1.1069015478305762e-08,48
96,0.0004960057369204396,0.00038938775086559,1.1367394950392098e-08,47
97,0.0004826858109416796,0.00038330238694353345,9.87706496559529e-09,46
98,0.00047732555597303596,0.000377373087255778,9.990496002674435e-09,46
99,0.00047176920398933587,0.00037159431749861604,1.0035007883428602e-08,46
100,0.00047176920398933587,0.00036596079286408783,1.1195419864849513e-08,46
101,0.0004703381659295271,0.0003604674644395719,1.2071571045894852e-08,44
102,0.00047001984793862856,0.0003551095064744962,1.3204386575403503e-08,44
103,0.00047035013632263967,0.00034988230445102367,1.4512498515847938e-08,43
104,0.00047035013632263967,0.00034478144390072727,1.576749651654884e-08,43
105,0.00045230306008639857,0.00033980269991395806,1.2656331038928839e-08,42
106,0.0004465311501557901,0.00033494202729288916,1.2452132341311602e-08,42
107,0.0004465311501557901,0.00033019555130310807,1.3533971560412153e-08,42
108,0.00044474116389437823,0.00032555955898218097,1.4204254949447081e-08,42
109,0.00044474116389437823,0.0003210304909668579,1.5304330596179907e-08,42
110,0.0004428551362831047,0.00031660493380354475,1.593911362612988e-08,41
111,0.00044149073190788613,0.00031227961270938187,1.6695513324530076e-08,41
112,0.000439290763688108,0.0003080513847537434,1.7223774583077738e-08,41
113,0.00043891146118956234,0.00030391723243224496,1.8223441797782937e-08,40
114,0.00043148344793933913,0.00029987425760742736,1.732097897982138e-08,39
115,0.00042756455511285506,0.00029591967579219327,1.7330374251351608e-08,38
116,0.00042162011160778345,0.00029205081075382776,1.678820372378288e-08,38
117,0.0004071595742292072,0.0002882650894180441,1.4135898518511891e-08,37
118,0.0004045208284303056,0.0002845600370539765,1.4390591467635157e-08,37
119,0.0004045208284303056,0.0002809332727224056,1.527388392585328e-08,37
120,0.00039217665908464227,0.00027738250497075624,1.3177697818722616e-08,36
121,0.00039217665908464227,0.00027390552775956534,1.3988060504913594e-08,36
122,0.00039217665908464227,0.0002705002166061812,1.4805156654214247e-08,36
123,0.0003904203338180643,0.0002671645249324431,1.5191994424048764e-08,36
124,0.00038882834179629176,0.00026389648060399644,1.5607969940970946e-08,36
125,0.0003850507185016447,0.0002606941826497379,1.546454800908658e-08,35
126,0.00037024831870666815,0.0002575557981506638,1.2699604189265463e-08,33
127,0.00034872768054185996,0.0002544795592881107,8.882708359861419e-09,31
128,0.0003473326690298048,0.00025146376054204395,9.190847614634667e-09,31
129,0.0003509233863213932,0.00024850675603066316,1.0489166160108087e-08,29
130,0.0003500026548003659,0.0002456069569831693,1.0898461722739433e-08,29
131,0.00032072684989878174,0.00024276282933806214,6.07838850199231e-09,27
132,0.00032072684989878174,0.00023997289145983176,6.521201803559661e-09,27
133,0.00032072684989878174,0.00023723571196736392,6.970770113083036e-09,27
134,0.0003042301537765868,0.00023454990766780067,4.855336697781004e-09,26
135,0.0003042301537765868,0.00023191414158999475,5.229605618571329e-09,26
136,0.0003042301537765868,0.00022932712111206074,5.610464302343057e-09,26
137,0.0002886961740688447,0.0002267875961778679,3.832672016483142e-09,26
138,0.00028800895444594136,0.00022429435759763745,4.059549851541899e-09,26
139,0.00028450753671650835,0.00022184623542810278,3.9264386791563364e-09,26
140,0.0002939859612618216,0.00021944209742796652,5.556787635280323e-09,25
141,0.0002922546916422931,0.00021708084758464665,5.651106830403349e-09,25
142,0.0002922546916422931,0.00021476142470854253,6.005206420065522e-09,25
143,0.0002922546916422931,0.00021248280109127806,6.363554522083125e-09,25
144,0.0002922546916422931,0.0002102439812245853,6.72575662321713e-09,25
145,0.00026251125949266466,0.0002080440005766905,2.9666822938197662e-09,24
