rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.39223935936649335,0.3996927989356756,5.555376141145188e-05,100
2,0.16820255755143812,0.13936724995035,0.0008314749644493708,100
3,0.0941076062811159,0.07524922244407661,0.0003556386409451048,100
4,0.05364487318777965,0.04859539729123114,2.5497206829824345e-05,100
5,0.038479745347252375,0.034617198411420226,1.4919268831506326e-05,100
6,0.029713098376580625,0.026238344100417168,1.2073917279716228e-05,100
7,0.02119532173798685,0.020757607849274003,1.9159344837212145e-07,100
8,0.013821290347086379,0.01694453064643158,9.75462996745391e-06,100
9,0.009561255141448748,0.01416699398517161,2.121283029657761e-05,100
10,0.007329213736641242,0.012070529557780926,2.248007571578947e-05,100
11,0.005906403667667479,0.010442619226246565,2.0577251593894972e-05,100
12,0.004980189141626911,0.009148941062394847,1.7378492576906356e-05,99
13,0.004027765878219598,0.008100884279598177,1.6590293511648795e-05,99
14,0.0034369415526683284,0.007237885519090098,1.4447175035878052e-05,99
15,0.002914472853669751,0.006517298461689117,1.2980352361800112e-05,99
16,0.002600039147376474,0.005908319199597699,1.0944716903924871e-05,99
17,0.0023896973489445717,0.005388203173825971,8.991037181847683e-06,99
18,0.002180938102070464,0.004939831283010601,7.611491583837986e-06,99
19,0.0019834266210269984,0.004550099045870214,6.587807336450552e-06,99
20,0.0018120904689893885,0.004208823662552578,5.744330001127606e-06,99
21,0.0017127296151428978,0.003907985969765517,4.81915046251099e-06,99
22,0.0015895349560025465,0.0036411942564790935,4.209305885231915e-06,99
23,0.0015090951093721314,0.003403298271221147,3.5880056183588083e-06,99
24,0.0014188421885485344,0.0031901069001470917,3.13737867855432e-06,99
25,0.0013363044633477367,0.0029981786738381825,2.761825891493243e-06,99
26,0.0012896562048402037,0.002824664260201782,2.3562497300249347e-06,98
27,0.0012434965943048037,0.002667186610799158,2.026893263065695e-06,98
28,0.0011842355658057183,0.002523748746380058,1.794295560932384e-06,98
29,0.0011582388814420125,0.002392662081712314,1.5238006373655724e-06,97
30,0.0011052763428764944,0.002272490187789035,1.3623881597555163e-06,97
31,0.0010608551600244844,0.0021620042793537627,1.212529382999645e-06,97
32,0.0010121868298768697,0.002060147695603848,1.0982219760952379e-06,97
33,0.0009739302312543112,0.0019660073415059976,9.842169926853365e-07,97
34,0.0009348075625032878,0.0018787905624257323,8.911039041425778e-07,97
35,0.0009148343228809732,0.0017978062936790983,7.796395012151251e-07,97
36,0.0008893623935610119,0.001722449598704659,6.940342913740532e-07,97
37,0.0008712483831912196,0.0016521889121503613,6.09868109770984e-07,97
38,0.0008493897202311087,0.0015865554563736265,5.434133225425403e-07,97
39,0.0008387261420340327,0.0015251344151619548,4.7115631741845606e-07,96
40,0.0008175772252299533,0.0014675575365327318,4.224744050812569e-07,96
41,0.000798159554324997,0.001413496904212217,3.78640054166227e-07,96
42,0.0007828238053305807,0.001362659669879176,3.362096298168169e-07,96
43,0.000763221175358309,0.0013147835791970726,3.042210853283953e-07,96
44,0.000736164127512739,0.0012696331567939227,2.8458920520220853e-07,96
45,0.0007170704418575396,0.0012269964407264902,2.60024524322497e-07,96
46,0.0006908732418891649,0.0011866821771217453,2.4582650025646515e-07,96
47,0.0006821333549986743,0.0011485174017854818,2.1751407909723908e-07,96
48,0.0006690751316562603,0.0011123453484902209,1.964884851320264e-07,96
49,0.0006619069051301561,0.0010780236340799947,1.731531321119134e-07,96
50,0.0006532813952418403,0.0010454226789806662,1.5377478641233442e-07,96
51,0.000645753385200123,0.0010144243285863208,1.3591826449726908e-07,95
52,0.0006422690244865802,0.0009849206466206978,1.174101341511421e-07,95
53,0.0006237835135035983,0.0009568128561951993,1.1090854309359981e-07,95
54,0.0005997953031519432,0.0009300104080966827,1.0904201553366536e-07,95
55,0.0005908515327624031,0.0009044301589933469,9.833155482888599e-08,95
56,0.0005689253501916287,0.0008799956448683409,9.676472823025654e-08,95
57,0.0005578368955972698,0.00085663643717627,8.928116604782071e-08,95
58,0.0005460125967056744,0.0008342875710462569,8.310246083106352e-08,95
59,0.000529482460079684,0.0008128890363899917,8.031928749593025e-08,95
60,0.0005215124348402559,0.0007923853240655504,7.337212211725863e-08,95
61,0.0005168165609122532,0.0007727250203392886,6.548913960631861e-08,95
62,0.0005127770134307312,0.0007538604438127835,5.812122040477785e-08,94
63,0.0005094299337758003,0.0007357473197673053,5.1219559202027866e-08,94
64,0.0004915984908058998,0.0007183444875474628,5.141374703832489e-08,93
65,0.0004896352915220966,0.0007016136371772261,4.4934819026685585e-08,93
66,0.00048096184286070323,0.0006855190718909724,4.184365994854201e-08,93
67,0.00047281791599867307,0.0006700274936823765,3.8891617530184645e-08,93
68,0.00046338573811723755,0.0006551078093355517,3.6757352592240344e-08,92
69,0.0004601112577641105,0.0006407309547147385,3.262347492653671e-08,92
70,0.0004549617919632848,0.0006268697353584551,2.9552341002357063e-08,92
71,0.0004547309237225127,0.000613498681657658,2.520720095975291e-08,92
72,0.00044375928150513854,0.0006005939171002804,2.4597102922260952e-08,92
73,0.00042985134921249944,0.0005881330382410094,2.5053093081717943e-08,91
74,0.00042801820497246853,0.0005760950052090209,2.1926738768295843e-08,91
75,0.0004274940997501706,0.0005644600417007876,1.875966925441979e-08,91
76,0.0004261086758391148,0.0005532095435226985,1.6154630565919844e-08,91
77,0.0004209126301648535,0.000542325994851361,1.4741205124498857e-08,91
78,0.0004199996318460473,0.0005317928914700419,1.2497732897357866e-08,91
79,0.0004154101998757675,0.0005215946703194037,1.127514176339546e-08,91
80,0.0004122588279692631,0.0005117166447709581,9.891857322959529e-09,91
81,0.00041195258468113124,0.0005021449450936662,8.134661876784611e-09,91
82,0.00040862981966253303,0.000492866463638974,7.09581218841367e-09,91
83,0.0004027672542480139,0.00048386880431813687,6.57746142377666e-09,90
84,0.0003951833776800233,0.00047514023598877895,6.393099190606431e-09,90
85,0.0003882576185466544,0.00046666964940590813,6.1484465834725574e-09,90
86,0.00038572388923735983,0.00045844651742665853,5.288580650758982e-09,90
87,0.000385193960623703,0.00045046085818837303,4.259767917717129e-09,90
88,0.0003847083078466642,0.000442703201006699,3.3634076326438476e-09,90
89,0.00037895724943007807,0.0004351645547645534,3.1592611729629384e-09,90
