rank,verb,frequency
1,do,1462
2,go,1404
3,want,895
4,know,883
5,have,880
6,think,824
7,get,797
8,like,484
9,see,462
10,say,452
11,put,326
12,look,287
13,make,280
14,tell,276
15,play,245
16,happen,232
17,come,226
18,take,174
19,eat,145
20,remember,129
21,find,119
22,need,114
23,can,99
24,help,81
25,fall,78
26,read,78
27,give,73
28,try,63
29,fix,63
30,use,63
31,sit,62
32,talk,60
33,live,59
34,show,58
35,win,58
36,pick,56
37,drive,55
38,bring,54
39,call,54
40,start,51
41,hear,50
42,mean,47
43,sound,46
44,ask,46
45,write,44
46,will,43
47,turn,43
48,watch,42
49,hold,41
50,jump,41
51,guess,39
52,draw,38
53,walk,35
54,haft,35
55,finish,34
56,bet,34
57,love,34
58,sleep,33
59,run,33
60,learn,31
61,work,31
62,sew,30
63,open,30
64,forget,30
65,wonder,29
66,catch,28
67,stick,28
68,feed,27
69,wear,27
70,break,26
71,stand,26
72,lose,25
73,could,25
74,feel,25
75,fit,25
76,knit,24
77,cut,24
78,leave,24
79,sing,24
80,stay,23
81,hurt,23
82,paint,22
83,wake,22
84,build,22
85,keep,21
86,deliver,21
87,pretend,21
88,ride,20
89,let,18
90,wait,18
91,pull,17
92,move,17
93,fight,17
94,drink,17
95,color,17
96,match,17
97,knock,16
98,push,16
99,cry,16
100,buy,15
