rank,average_proportion,num_verbs,sd_proportion
1,0.442139785268211,100,0.17593865098973874
2,0.18918584084104823,99,0.0761844041403249
3,0.10774803349515948,97,0.047352098862670736
4,0.06831780318454612,97,0.02974777357559348
5,0.04825112918702354,95,0.02096213861859453
6,0.03832670889581549,91,0.016640380038054448
7,0.030578061109224453,79,0.01353418538298344
8,0.027023987595233546,72,0.013605485734857602
9,0.024482637388273294,66,0.013224189643205389
10,0.020100306205726212,57,0.011561314276895622
11,0.018645168684637684,52,0.011086736619367257
12,0.016368577897237127,46,0.010813093105552294
13,0.01386233723523034,35,0.010637627618695689
14,0.011487148668353294,31,0.0088934755922914
15,0.009887109966190116,26,0.009150079609547794
16,0.008650837415798992,25,0.007233224915209718
17,0.006571880345363891,23,0.0049544812682770795
18,0.006427225608384477,22,0.005161650887658421
19,0.005867483104887636,21,0.004553819528512863
20,0.00506775787584524,18,0.003810568960622498
21,0.0050002541631410415,18,0.0037564664242873704
22,0.004293571397697737,16,0.003237549960700966
23,0.0036834984600050613,14,0.002517512355561511
24,0.0034384910802354677,12,0.002245040424191157
25,0.0033800236645240354,11,0.002345016794404253
26,0.002874465264758073,11,0.0016481253903770858
27,0.0029553002209859467,10,0.0017141373310643711
28,0.0027518340899728134,9,0.0015647079885939528
29,0.0026115422830143395,9,0.0016422451607563022
30,0.0026115422830143395,9,0.0016422451607563022
31,0.002646436910337411,8,0.0014805883179565406
32,0.002646436910337411,8,0.0014805883179565406
33,0.0023698882377710395,8,0.0012960961463780694
34,0.0023698882377710395,8,0.0012960961463780694
35,0.0023698882377710395,8,0.0012960961463780694
36,0.0023698882377710395,8,0.0012960961463780694
37,0.0021952990616418222,8,0.0014739618176516948
38,0.0021952990616418222,8,0.0014739618176516948
39,0.0021952990616418222,8,0.0014739618176516948
40,0.0021952990616418222,8,0.0014739618176516948
41,0.0021952990616418222,8,0.0014739618176516948
42,0.0021952990616418222,8,0.0014739618176516948
43,0.0021952990616418222,8,0.0014739618176516948
44,0.0021952990616418222,8,0.0014739618176516948
45,0.0021952990616418222,8,0.0014739618176516948
46,0.002043415708057375,8,0.001361529014506733
47,0.002043415708057375,8,0.001361529014506733
48,0.0018375721581382445,7,0.0013293808738770335
49,0.0018375721581382445,7,0.0013293808738770335
50,0.0018375721581382445,7,0.0013293808738770335
51,0.0018375721581382445,7,0.0013293808738770335
52,0.001933396474056908,6,0.0014295359014090299
53,0.001933396474056908,6,0.0014295359014090299
54,0.001933396474056908,6,0.0014295359014090299
55,0.001933396474056908,6,0.0014295359014090299
56,0.001933396474056908,6,0.0014295359014090299
57,0.001933396474056908,6,0.0014295359014090299
58,0.001933396474056908,6,0.0014295359014090299
59,0.001933396474056908,6,0.0014295359014090299
60,0.001933396474056908,6,0.0014295359014090299
61,0.001933396474056908,6,0.0014295359014090299
62,0.001933396474056908,6,0.0014295359014090299
63,0.001933396474056908,6,0.0014295359014090299
64,0.001877597892762095,5,0.0015909478320211524
65,0.001877597892762095,5,0.0015909478320211524
66,0.001877597892762095,5,0.0015909478320211524
67,0.001877597892762095,5,0.0015909478320211524
68,0.001877597892762095,5,0.0015909478320211524
69,0.001877597892762095,5,0.0015909478320211524
70,0.001240802675687132,4,0.0008194097564833355
71,0.001240802675687132,4,0.0008194097564833355
72,0.001240802675687132,4,0.0008194097564833355
73,0.001240802675687132,4,0.0008194097564833355
74,0.001240802675687132,4,0.0008194097564833355
75,0.001240802675687132,4,0.0008194097564833355
76,0.001240802675687132,4,0.0008194097564833355
77,0.0009370359685182377,4,0.0002777014868516204
78,0.0009370359685182377,4,0.0002777014868516204
79,0.0009370359685182377,4,0.0002777014868516204
80,0.0009370359685182377,4,0.0002777014868516204
81,0.0009370359685182377,4,0.0002777014868516204
82,0.0009370359685182377,4,0.0002777014868516204
83,0.0008705934125697715,3,0.0002986461020231315
84,0.0008705934125697715,3,0.0002986461020231315
85,0.0008705934125697715,3,0.0002986461020231315
86,0.0008705934125697715,3,0.0002986461020231315
87,0.0008705934125697715,3,0.0002986461020231315
88,0.0008705934125697715,3,0.0002986461020231315
89,0.0008705934125697715,3,0.0002986461020231315
90,0.0008705934125697715,3,0.0002986461020231315
91,0.0008705934125697715,3,0.0002986461020231315
92,0.0008705934125697715,3,0.0002986461020231315
93,0.0008705934125697715,3,0.0002986461020231315
94,0.0008705934125697715,3,0.0002986461020231315
95,0.0008705934125697715,3,0.0002986461020231315
96,0.0008705934125697715,3,0.0002986461020231315
97,0.0008705934125697715,3,0.0002986461020231315
98,0.0008705934125697715,3,0.0002986461020231315
99,0.0008705934125697715,3,0.0002986461020231315
100,0.0008705934125697715,3,0.0002986461020231315
101,0.0008705934125697715,3,0.0002986461020231315
102,0.0008705934125697715,3,0.0002986461020231315
103,0.0008705934125697715,3,0.0002986461020231315
104,0.0008705934125697715,3,0.0002986461020231315
105,0.0008705934125697715,3,0.0002986461020231315
106,0.0008705934125697715,3,0.0002986461020231315
107,0.0009636587704631447,2,0.0003555446856139064
108,0.0009636587704631447,2,0.0003555446856139064
109,0.0009636587704631447,2,0.0003555446856139064
110,0.0009636587704631447,2,0.0003555446856139064
111,0.0009636587704631447,2,0.0003555446856139064
112,0.001215066828675577,1,
113,0.001215066828675577,1,
114,0.001215066828675577,1,
115,0.001215066828675577,1,
116,0.001215066828675577,1,
117,0.001215066828675577,1,
118,0.001215066828675577,1,
