rank,verb,frequency
1,go,31013
2,do,24260
3,be,18806
4,get,16688
5,have,15538
6,want,14014
7,think,13242
8,know,13164
9,say,8267
10,see,8073
11,like,7387
12,put,6820
13,come,5030
14,look,4902
15,make,4306
16,eat,3080
17,need,2840
18,take,2819
19,play,2691
20,tell,2688
21,happen,2463
22,find,2165
23,remember,1921
24,give,1840
25,can,1696
26,mean,1673
27,fall,1624
28,sit,1623
29,try,1278
30,hear,1145
31,use,1062
32,bring,1029
33,show,1006
34,will,984
35,buy,978
36,talk,941
37,help,931
38,finish,913
39,work,907
40,start,895
41,hurt,880
42,read,871
43,run,868
44,fit,865
45,turn,827
46,keep,797
47,love,793
48,call,787
49,leave,778
50,open,761
51,live,757
52,hold,745
53,break,714
54,feel,710
55,watch,706
56,sleep,675
57,stay,675
58,ask,635
59,walk,626
60,wonder,573
61,move,567
62,draw,560
63,stand,527
64,wear,522
65,wait,516
66,bet,514
67,would,514
68,sing,503
69,cry,498
70,drive,496
71,pick,485
72,pretend,478
73,let,472
74,miss,468
75,forget,467
76,hide,463
77,lose,459
78,throw,445
79,guess,428
80,sound,421
81,jump,418
82,build,418
83,cut,413
84,catch,393
85,fly,384
86,fix,376
87,drink,371
88,pull,370
89,stick,360
90,stop,360
91,push,348
92,wash,347
93,could,338
94,hope,330
95,blow,304
96,ride,301
97,write,298
98,haft,292
99,grow,292
100,drop,280
