rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3566309508309396,0.3575305528624958,8.092838151800449e-07,100
2,0.1533660663697033,0.13736995831163792,0.0002558754730053038,99
3,0.08735575636355494,0.07850292322835474,7.837265451969865e-05,97
4,0.05577182476446184,0.052780119895931336,8.95029802038911e-06,97
5,0.03905592305724827,0.03879131967468892,7.001495006184839e-08,95
6,0.03111178249831219,0.030162298592054163,9.015196882430035e-07,91
7,0.024979431030622692,0.02438247935959873,3.563512975382987e-07,79
8,0.022176977644168715,0.02027911408336563,3.6018860954241617e-06,72
9,0.02030002511520513,0.01723687362116742,9.382897075425456e-06,66
10,0.01622006865529888,0.014904354114359695,1.7311047532388055e-06,56
11,0.015104220462263738,0.013067462273765006,4.1483839184166355e-06,51
12,0.01324052780633577,0.011588922029181603,2.727801643129017e-06,45
13,0.011208261820879643,0.01037698847234987,6.910153799759017e-07,34
14,0.009269028585933396,0.009368206846508634,9.836327370729924e-09,30
15,0.007931415297407565,0.008517403522489584,3.433821999347759e-07,25
16,0.0069333361659984485,0.007791616783308211,7.366456180496273e-07,24
17,0.00517910421145083,0.007166277955572489,3.948859489326491e-06,22
18,0.005051528393404244,0.006622730817842561,2.4686770585608474e-06,21
19,0.004571727686157036,0.00614657508401179,2.4801443265298905e-06,20
20,0.003919750940694297,0.005726532982871824,3.2644613479351946e-06,17
21,0.003919750940694297,0.005353656883191389,2.056086251928473e-06,17
22,0.003298012141114706,0.005020764612741716,2.9678760784969723e-06,15
23,0.0027439599296168187,0.004722030052741607,3.912761411998917e-06,13
24,0.00257698308542979,0.004452681661132781,3.5182451468942297e-06,11
25,0.002505859010458826,0.004208777320025659,2.89993076905796e-06,10
26,0.0020578451264042542,0.003987034009916581,3.721769748267538e-06,10
27,0.002101550865975076,0.003784697435633622,2.8329823749533305e-06,9
28,0.002004595242253585,0.00359944114889289,2.543533465924147e-06,8
29,0.0018774464354970885,0.003429287712619762,2.40821134938173e-06,8
30,0.0018774464354970885,0.0032725465206823352,1.9463042476838827e-06,8
31,0.0020170633102234627,0.003127764333353543,1.2336567627822072e-06,7
32,0.0020170633102234627,0.002993685614093383,9.537911244161912e-07,7
33,0.0017624442079449667,0.0028692204888607826,1.224953735997845e-06,7
34,0.0017624442079449667,0.0027534186830326895,9.820304102753876e-07,7
35,0.0017624442079449667,0.0026454481826157636,7.796960192844252e-07,7
36,0.0017624442079449667,0.0025445776565733744,6.117327314633659e-07,7
37,0.0016016994866594409,0.0024501618940700218,7.198884567889585e-07,7
38,0.0016016994866594409,0.0023616296741352507,5.774938898370195e-07,7
39,0.0016016994866594409,0.002278473609777634,4.5802321372239896e-07,7
40,0.0016016994866594409,0.0022002416040507304,3.5825266629124815e-07,7
41,0.0016016994866594409,0.002126529629307811,2.754466786323085e-07,7
42,0.0016016994866594409,0.002056975598227146,2.0727633776420963e-07,7
43,0.0016016994866594409,0.0019912541400829618,1.5175282800391947e-07,7
44,0.0016016994866594409,0.0019290721311029661,1.0717284832994682e-07,7
45,0.0016016994866594409,0.0018701648557796781,7.207365441686524e-08,7
46,0.0016016994866594409,0.0018142926983386756,4.519587365209192e-08,7
47,0.0016016994866594409,0.0017612382814637451,2.5452627047609902e-08,7
48,0.0014008126765909733,0.0017108039837928132,9.609461054070544e-08,6
49,0.0014008126765909733,0.001662809779364231,6.864248186158096e-08,6
50,0.0014008126765909733,0.001617091351678828,4.677646529775779e-08,6
51,0.0014008126765909733,0.0015734984427910436,2.982037384810534e-08,6
52,0.0014775371210987737,0.0015318934041980046,2.954605512363733e-09,5
53,0.0014775371210987737,0.0014921499215303435,2.135339364528856e-10,5
54,0.0014775371210987737,0.001454151889377425,5.46869062661169e-10,5
55,0.0014775371210987737,0.0014177924161729138,3.5694297666780685e-09,5
56,0.0014775371210987737,0.0013829729420600735,8.942383957263346e-09,5
57,0.0014775371210987737,0.0013496024551587669,1.636727874918114e-08,5
58,0.0014775371210987737,0.001317596793755313,2.5580908310733338e-08,5
59,0.0014775371210987737,0.0012868780237029294,3.635089141979806e-08,5
60,0.0014775371210987737,0.00125737388181178,4.8471851933342026e-08,5
61,0.0014775371210987737,0.0012290172772703612,6.176211277649855e-08,5
62,0.0014775371210987737,0.001201745844212227,7.606082840671189e-08,5
63,0.0014775371210987737,0.001175501539455183,9.122549257878214e-08,5
64,0.001401337972386099,0.0011502302802197711,6.30550730650993e-08,4
65,0.001401337972386099,0.0011258816173013862,7.587620355655539e-08,4
66,0.001401337972386099,0.001102408439743299,8.93588654860428e-08,4
67,0.001401337972386099,0.0010797667075508114,1.0340807836776674e-07,4
68,0.001401337972386099,0.0010579152094119166,1.1793919412882149e-07,4
69,0.001401337972386099,0.0010368153427573635,1.3287674751144833e-07,4
70,0.0006802281525484844,0.0010164309138114115,1.1303229668081676e-07,3
71,0.0006802281525484844,0.0009967279555610415,1.0017212530698745e-07,3
72,0.0006802281525484844,0.000977674561811908,8.847436638370405e-08,3
73,0.0006802281525484844,0.0009592407357090349,7.784802156192309e-08,3
74,0.0006802281525484844,0.0009413982512834615,6.820982047323765e-08,3
75,0.0006802281525484844,0.0009241205267463825,5.948349019188752e-08,3
76,0.0006802281525484844,0.0009073825083929411,5.159910137911005e-08,3
77,0.0006802281525484844,0.000891160564101353,4.449248224350871e-08,3
78,0.0006802281525484844,0.0008754323855217387,3.8104692570676514e-08,3
79,0.0006802281525484844,0.0008601768981448789,3.238155104171591e-08,3
80,0.0006802281525484844,0.0008453741785257237,2.7273209896074986e-08,3
81,0.0006802281525484844,0.0008310053780113276,2.2733771718273057e-08,3
82,0.0006802281525484844,0.0008170526523891933,1.8720943756660144e-08,3
83,0.0005626065244993396,0.0008034990969308271,5.8029231452659477e-08,2
84,0.0005626065244993396,0.000790328686357591,5.1857383001395644e-08,2
85,0.0005626065244993396,0.0007775262193024427,4.619047521425899e-08,2
86,0.0005626065244993396,0.0007650772668826271,4.099440152123957e-08,2
87,0.0005626065244993396,0.0007529681250353609,3.623753895863575e-08,2
88,0.0005626065244993396,0.0007411857703016311,3.189054703131525e-08,2
89,0.0005626065244993396,0.0007297178187727991,2.792618467375078e-08,2
90,0.0005626065244993396,0.000718552487941216,2.4319143513815053e-08,2
91,0.0005626065244993396,0.000707678561219839,2.1045895838233944e-08,2
92,0.0005626065244993396,0.0006970853549171926,1.808455583055367e-08,2
93,0.0005626065244993396,0.0006867626874732356,1.5414752804400634e-08,2
94,0.0005626065244993396,0.0006767008507789955,1.3017515289208574e-08,2
95,0.0005626065244993396,0.0006668905834184176,1.0875164944637734e-08,2
96,0.0005626065244993396,0.0006573230456849587,8.971219385505829e-09,2
97,0.0005626065244993396,0.0006479897962381641,7.290303092825955e-09,2
98,0.0005626065244993396,0.0006388827702769709,5.818065669929622e-09,2
99,0.0005626065244993396,0.0006299942591168911,4.541106776885548e-09,2
100,0.0005626065244993396,0.0006213168910676692,3.4469071425876374e-09,2
101,0.0005626065244993396,0.0006128436135165689,2.5237651129250217e-09,2
102,0.0005626065244993396,0.0006045676761302227,1.7607382461899692e-09,2
103,0.0005626065244993396,0.0005964826150950502,1.1475895140487907e-09,2
104,0.0005626065244993396,0.0005885822383226799,6.747377086320724e-10,2
105,0.0005626065244993396,0.0005808606115526764,3.3321169415080044e-10,2
106,0.0005626065244993396,0.0005733120452902103,1.1460817540376426e-10,2
107,0.0005737997433113683,0.0005659310825211877,6.19158226309267e-11,1
108,0.0005737997433113683,0.0005587124871518092,2.2762529842415605e-10,1
109,0.0005737997433113683,0.0005516512331235937,4.905565035379583e-10,1
110,0.0005737997433113683,0.0005447424941586291,8.443237283243638e-10,1
111,0.0005737997433113683,0.0005379816340932236,1.2829369479629492e-09,1
