rank,verb,frequency
1,go,65512
2,do,51312
3,get,34148
4,have,31379
5,want,31342
6,think,25643
7,know,19298
8,see,17156
9,say,16010
10,put,15061
11,like,14512
12,come,10079
13,look,9398
14,make,8868
15,eat,5693
16,take,5576
17,play,5344
18,need,5219
19,find,4660
20,tell,4143
21,sit,4062
22,fall,4012
23,give,3785
24,can,3349
25,remember,3317
26,happen,2828
27,mean,2379
28,hear,2273
29,try,2091
30,fit,2085
31,will,2051
32,talk,2019
33,hurt,2013
34,buy,1806
35,finish,1791
36,bring,1761
37,use,1752
38,draw,1679
39,read,1676
40,hold,1659
41,help,1654
42,open,1620
43,keep,1599
44,show,1595
45,break,1565
46,sing,1562
47,wear,1551
48,watch,1512
49,work,1493
50,turn,1440
51,leave,1350
52,throw,1343
53,cry,1340
54,love,1291
55,hide,1286
56,sleep,1249
57,feel,1227
58,run,1224
59,stay,1214
60,live,1201
61,move,1172
62,build,1147
63,stand,1142
64,call,1104
65,ask,1104
66,drink,1101
67,drive,1099
68,pick,1061
69,start,1060
70,write,1047
71,pull,1018
72,wait,1016
73,lose,945
74,drop,942
75,would,928
76,let,912
77,cut,900
78,walk,893
79,fix,888
80,wash,880
81,jump,850
82,push,835
83,pretend,811
84,wonder,803
85,miss,783
86,blow,757
87,bet,754
88,stop,747
89,forget,718
90,sound,702
91,shall,701
92,wake,666
93,stick,665
94,ride,653
95,count,652
96,could,647
97,catch,641
98,touch,588
99,hit,571
100,lie,569
