rank,average_proportion,num_verbs,sd_proportion
1,0.41674639544240266,100,0.17063061801126364
2,0.17112705444262916,100,0.07758589896601539
3,0.09735192000420524,100,0.04547484031200317
4,0.06253982337356655,99,0.0319563311078415
5,0.04396881521261922,98,0.02336637839942237
6,0.03135147224984966,98,0.016620467093842642
7,0.023622580988099617,98,0.01192028807433477
8,0.018591633997196447,97,0.009252903741057
9,0.014742588728361827,97,0.007309857932431646
10,0.012552238731693328,95,0.006317922237480266
11,0.0107430554216576,95,0.005306507744261678
12,0.009205145458821664,94,0.004484994435893336
13,0.008149053725579204,92,0.0038488287847361397
14,0.007422498854514308,92,0.0038831927936297662
15,0.006799191581664691,90,0.003456045857730376
16,0.006147768373293621,88,0.0032183144189249285
17,0.005817752204983308,87,0.0031886025502470554
18,0.005296651891820432,84,0.003099343351290644
19,0.0048402606457811055,82,0.002731945170788311
20,0.004729539577997916,79,0.0027599525725170615
21,0.004175897557200222,74,0.00232676694104762
22,0.004155997241673206,74,0.0023222911550658857
23,0.004046555521058515,72,0.00230633573754087
24,0.0038517910642810282,68,0.002265011534743939
25,0.0037959870339965103,67,0.0022939524918063115
26,0.003791825914467524,66,0.002318689977921519
27,0.003705578018827412,63,0.0023729454708836333
28,0.0037407653219958445,60,0.0023900692518189666
29,0.0037204340453934667,57,0.002383621488465016
30,0.003653214650930769,56,0.002430760496912562
31,0.003492092597446725,51,0.0024388211811682318
32,0.003326604982312241,46,0.002530954955875453
33,0.0031849119681754035,44,0.0024819883866067224
34,0.0029894141628763428,40,0.0023171566190599946
35,0.002688793855020503,37,0.002086017876133256
36,0.002580282404250671,33,0.002218478679266391
37,0.0024986553380226405,30,0.0023125494034708077
38,0.002072456808124576,27,0.0016950743725375693
39,0.0020335299148433006,27,0.0016782705960149218
40,0.0018997145100560669,25,0.001660836800381388
41,0.0018986415486826763,25,0.001661437826502644
42,0.0017711702965818843,25,0.0015791091220149342
43,0.0015819022026052915,24,0.0013224704460358568
44,0.0015715886712521561,24,0.0013302430374089581
45,0.001364123803398908,22,0.001117008171433639
46,0.0013369290212720817,22,0.001102869906929384
47,0.0012781304356387468,22,0.0010835408024743004
48,0.0012769111613508029,22,0.0010839873961637357
49,0.0012725903870680515,22,0.0010863309290470738
50,0.0010614111859301525,20,0.0006783352782825921
51,0.0010968908973344423,19,0.0006775892100095943
52,0.0010801078683333682,19,0.000651349322017773
53,0.0010786960770525912,19,0.0006518854885336563
54,0.0010786960770525912,19,0.0006518854885336563
55,0.0010642912212058928,19,0.0006595892091430591
56,0.0010642912212058928,19,0.0006595892091430591
57,0.0010209419168196428,19,0.0006497817767106592
58,0.0010195301255388658,19,0.0006503065911158319
59,0.0010027470965377917,19,0.0006297496378254942
60,0.0009613700690634453,19,0.000557393475920759
61,0.0009613700690634453,19,0.000557393475920759
62,0.0009599582777826684,19,0.0005579177259587175
63,0.0009549552759815878,19,0.0005620167636293685
64,0.0009549552759815878,19,0.0005620167636293685
65,0.0008885428256182182,18,0.0005163040500262484
66,0.0008870526014885089,18,0.0005167626815064421
67,0.0008870526014885089,18,0.0005167626815064421
68,0.0008718110022212862,18,0.0005313879679495314
69,0.0008618868229509118,18,0.0005361447141430434
70,0.0008463641754081469,18,0.0005408938594892511
71,0.0008448739512784379,18,0.0005413650884474359
72,0.0008076838969744586,17,0.0005337992401321297
73,0.0008383455591204187,15,0.0005521938669843243
74,0.0008383455591204187,15,0.0005521938669843243
75,0.0008365572901647677,15,0.0005528189883126563
76,0.0008365572901647677,15,0.0005528189883126563
77,0.0008365572901647677,15,0.0005528189883126563
78,0.0008216042544804507,12,0.0006033007060059738
79,0.00079503112522875,12,0.0005883271850611372
80,0.0007848743695158087,12,0.0005942786154947974
81,0.0007848743695158087,12,0.0005942786154947974
82,0.0007848743695158087,12,0.0005942786154947974
83,0.0008237652190092698,11,0.0006059080872546863
84,0.0008213266704333821,11,0.0006069954171292313
85,0.0008213266704333821,11,0.0006069954171292313
86,0.0008213266704333821,11,0.0006069954171292313
87,0.0008213266704333821,11,0.0006069954171292313
88,0.0008213266704333821,11,0.0006069954171292313
89,0.0008188881218574945,11,0.0006081883639569238
90,0.0008026485557787001,11,0.0006187925105735864
91,0.0008591095551318617,10,0.0006216804129082787
92,0.0008564271516983853,10,0.0006232829581934251
93,0.000703015005739941,9,0.0004150540667020636
94,0.000703015005739941,9,0.0004150540667020636
95,0.000703015005739941,9,0.0004150540667020636
96,0.000703015005739941,9,0.0004150540667020636
97,0.0006675841667376734,9,0.0004041654783491787
98,0.0006570222740465032,9,0.00041374209246227567
99,0.0006229965307015551,9,0.0004331013152211157
100,0.0006229965307015551,9,0.0004331013152211157
101,0.0006229965307015551,9,0.0004331013152211157
102,0.000535645028255713,9,0.00026394518196976187
103,0.000535645028255713,9,0.00026394518196976187
104,0.000535645028255713,9,0.00026394518196976187
105,0.000535645028255713,9,0.00026394518196976187
106,0.0005326645799962949,9,0.00026476625012984917
107,0.0005326645799962949,9,0.00026476625012984917
108,0.0005326645799962949,9,0.00026476625012984917
109,0.0005326645799962949,9,0.00026476625012984917
110,0.0005326645799962949,9,0.00026476625012984917
111,0.0005326645799962949,9,0.00026476625012984917
112,0.00047741123588171137,8,0.0002295413311148141
113,0.00047741123588171137,8,0.0002295413311148141
114,0.00047741123588171137,8,0.0002295413311148141
115,0.00047741123588171137,8,0.0002295413311148141
116,0.00047741123588171137,8,0.0002295413311148141
117,0.00047405823158986585,8,0.00023054017782339303
118,0.00047405823158986585,8,0.00023054017782339303
119,0.00047405823158986585,8,0.00023054017782339303
120,0.00047405823158986585,8,0.00023054017782339303
121,0.00047405823158986585,8,0.00023054017782339303
122,0.00047405823158986585,8,0.00023054017782339303
123,0.00047405823158986585,8,0.00023054017782339303
124,0.00047405823158986585,8,0.00023054017782339303
125,0.00047405823158986585,8,0.00023054017782339303
126,0.0004707052272980204,8,0.00023192284643005915
127,0.00044837582393967814,8,0.00025212413783041733
128,0.00044837582393967814,8,0.00025212413783041733
129,0.00044837582393967814,8,0.00025212413783041733
130,0.00044837582393967814,8,0.00025212413783041733
131,0.0004450228196478326,8,0.00025340632079768705
132,0.0004051631257702816,8,0.00024365076837090343
133,0.0004051631257702816,8,0.00024365076837090343
134,0.0004051631257702816,8,0.00024365076837090343
135,0.00034921317959403844,7,0.0002001073361037141
136,0.0003356336032768195,7,0.00020823783721036715
137,0.0003356336032768195,7,0.00020823783721036715
138,0.0003356336032768195,7,0.00020823783721036715
139,0.0003356336032768195,7,0.00020823783721036715
140,0.00033180159837185316,7,0.0002082038525867327
141,0.00033180159837185316,7,0.0002082038525867327
142,0.00033180159837185316,7,0.0002082038525867327
143,0.00033180159837185316,7,0.0002082038525867327
144,0.00033180159837185316,7,0.0002082038525867327
145,0.00033180159837185316,7,0.0002082038525867327
146,0.00033180159837185316,7,0.0002082038525867327
147,0.00033180159837185316,7,0.0002082038525867327
148,0.00033180159837185316,7,0.0002082038525867327
149,0.00033180159837185316,7,0.0002082038525867327
150,0.0003279695934668869,7,0.00020866305681684056
151,0.0003279695934668869,7,0.00020866305681684056
152,0.0003279695934668869,7,0.00020866305681684056
153,0.0003279695934668869,7,0.00020866305681684056
154,0.0003279695934668869,7,0.00020866305681684056
155,0.0003279695934668869,7,0.00020866305681684056
156,0.0003279695934668869,7,0.00020866305681684056
157,0.0003279695934668869,7,0.00020866305681684056
158,0.0003279695934668869,7,0.00020866305681684056
159,0.0003279695934668869,7,0.00020866305681684056
160,0.00034137706696549356,6,0.0002252517228191709
161,0.00034137706696549356,6,0.0002252517228191709
162,0.00034137706696549356,6,0.0002252517228191709
163,0.00034137706696549356,6,0.0002252517228191709
164,0.00034137706696549356,6,0.0002252517228191709
165,0.00034137706696549356,6,0.0002252517228191709
166,0.00034137706696549356,6,0.0002252517228191709
167,0.00034137706696549356,6,0.0002252517228191709
168,0.00034137706696549356,6,0.0002252517228191709
169,0.00034137706696549356,6,0.0002252517228191709
170,0.0003369063945763662,6,0.00022661680734150323
171,0.0003369063945763662,6,0.00022661680734150323
172,0.0003369063945763662,6,0.00022661680734150323
173,0.0003369063945763662,6,0.00022661680734150323
174,0.0003369063945763662,6,0.00022661680734150323
175,0.0003369063945763662,6,0.00022661680734150323
176,0.0003369063945763662,6,0.00022661680734150323
177,0.0003369063945763662,6,0.00022661680734150323
178,0.0003369063945763662,6,0.00022661680734150323
179,0.0003369063945763662,6,0.00022661680734150323
180,0.0003369063945763662,6,0.00022661680734150323
181,0.0003369063945763662,6,0.00022661680734150323
182,0.0003369063945763662,6,0.00022661680734150323
183,0.0003369063945763662,6,0.00022661680734150323
184,0.00033243572218723884,6,0.0002284991445183947
185,0.00033243572218723884,6,0.0002284991445183947
186,0.00033243572218723884,6,0.0002284991445183947
187,0.00033243572218723884,6,0.0002284991445183947
188,0.00033243572218723884,6,0.0002284991445183947
189,0.00033243572218723884,6,0.0002284991445183947
190,0.00033243572218723884,6,0.0002284991445183947
191,0.00033243572218723884,6,0.0002284991445183947
192,0.00033243572218723884,6,0.0002284991445183947
193,0.00033243572218723884,6,0.0002284991445183947
194,0.00033243572218723884,6,0.0002284991445183947
195,0.00033243572218723884,6,0.0002284991445183947
196,0.00033243572218723884,6,0.0002284991445183947
197,0.00033243572218723884,6,0.0002284991445183947
198,0.00031659288315048344,6,0.00024316517444382244
199,0.00031659288315048344,6,0.00024316517444382244
200,0.00031659288315048344,6,0.00024316517444382244
201,0.00031659288315048344,6,0.00024316517444382244
202,0.00031659288315048344,6,0.00024316517444382244
203,0.00031659288315048344,6,0.00024316517444382244
204,0.00031659288315048344,6,0.00024316517444382244
205,0.00031659288315048344,6,0.00024316517444382244
