rank,verb,frequency
1,be,37280
2,go,10520
3,do,5598
4,want,4201
5,get,4040
6,have,3579
7,wanna,3529
8,see,3498
9,say,3136
10,put,3028
11,know,2582
12,like,2016
13,think,1867
14,come,1272
15,look,1255
16,play,1150
17,make,1055
18,take,1006
19,eat,834
20,sit,677
21,find,650
22,turn,630
23,read,591
24,need,581
25,try,558
26,give,546
27,tell,454
28,open,453
29,hear,448
30,fall,447
31,throw,419
32,talk,367
33,love,341
34,help,340
35,happen,329
36,hold,317
37,push,299
38,fit,261
39,feel,260
40,fix,259
41,show,258
42,mean,248
43,draw,244
44,pick,237
45,leave,235
46,bring,234
47,walk,232
48,can,229
49,stay,225
50,call,220
51,pull,217
52,close,215
53,work,213
54,move,211
55,drink,206
56,let,206
57,sing,205
58,remember,202
59,use,198
60,build,197
61,hurt,195
62,s,194
63,cry,194
64,needta,190
65,keep,182
66,write,169
67,stand,165
68,wear,163
69,run,160
70,touch,158
71,sleep,156
72,stop,153
73,smell,151
74,break,151
75,roll,140
76,wash,137
77,blow,130
78,finish,129
79,guess,125
80,jump,125
81,rid,121
82,will,120
83,miss,119
84,catch,113
85,drop,108
86,sound,107
87,brush,106
88,hafta,106
89,ride,106
90,start,102
91,bite,102
92,feed,100
93,bet,99
94,change,99
95,hide,98
96,wipe,98
97,dance,97
98,live,97
99,climb,95
100,bounce,93
