rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.34210425196104194,0.34860221968388355,4.222358452709142e-05,100
2,0.15251208041608455,0.13118308932986106,0.0004549258607562012,100
3,0.08880900056582447,0.07406093301240879,0.0002175054965601123,100
4,0.05495888403861313,0.04936572963227723,3.128337621311476e-05,99
5,0.0363094186074694,0.03603980578878679,7.269107199798206e-08,99
6,0.028270749708083177,0.02786999463178933,1.6060463117528586e-07,99
7,0.021275563155341577,0.02242548847511185,1.3223282410487631e-06,98
8,0.015923587472559887,0.01857690099063987,7.040072625225974e-06,97
9,0.012214087470374937,0.01573432838047441,1.2392096065137974e-05,96
10,0.009917554229760863,0.01356220011022447,1.328344359398034e-05,96
11,0.008325683871344181,0.011856771818590005,1.2468582091184727e-05,96
12,0.006809392046216719,0.010487804692466202,1.3530719596088128e-05,96
13,0.00595629099310867,0.009368499141958805,1.1643164451079262e-05,96
14,0.005158007293319875,0.008438973396566624,1.0764738570654155e-05,96
15,0.004541407346887059,0.007656697208422738,9.70503092138699e-06,95
16,0.004253452472008711,0.006990704948284525,7.492551118878075e-06,95
17,0.0037615116233006766,0.006417962407845532,7.056730770708977e-06,95
18,0.0034718012350512272,0.0059210116543516895,5.998631678009946e-06,95
19,0.003299749780094569,0.005486401301034614,4.781444874029412e-06,94
20,0.0031703382272763045,0.005103614400913353,3.7375567635527076e-06,94
21,0.0030051593819106297,0.004764320207805573,3.094646811363379e-06,94
22,0.002899986084605843,0.004461841803681953,2.439393287210752e-06,94
23,0.0027849910722995796,0.004190770704451297,1.976216374172617e-06,93
24,0.0027423289215125126,0.0039466834752043215,1.4504698909981963e-06,93
25,0.0026025154997381798,0.003725930381256027,1.2620609960157583e-06,91
26,0.0025575238680350548,0.003525475715389217,9.369307787963357e-07,91
27,0.002459300312566272,0.0033427757322895537,7.805288172552286e-07,90
28,0.00237194936737909,0.0031756843141676106,6.459898646891457e-07,88
29,0.0023078076065973425,0.003022379334239166,5.106127539450201e-07,86
30,0.002274211556351545,0.0028813046422224322,3.685620149122364e-07,84
31,0.002206606594178378,0.0027511239634658243,2.9649916545572144e-07,81
32,0.002187936179795185,0.0026306839713789347,1.9602560695228752e-07,80
33,0.002137603380718442,0.0025189844866630603,1.4545154797154006e-07,79
34,0.0021304364659228106,0.0024151542598539978,8.106422218104195e-08,75
35,0.0020523755389973667,0.002318431162298971,7.078559469040511e-08,74
36,0.002027003487645397,0.0022281458835239766,4.045826341977522e-08,73
37,0.001993536535390476,0.0021437084367965974,2.2551599971929828e-08,72
38,0.0019925937301473536,0.0020645969283435506,5.1844605504808325e-09,72
39,0.0019770760733928937,0.001990348162466097,1.7614834836703918e-10,71
40,0.0019577164039893138,0.0019205497442537772,1.3813605958971528e-09,70
41,0.0018353865025360348,0.001854833410629788,3.781822344068834e-10,65
42,0.0017253316737430738,0.0017928693741060405,4.561340970317877e-09,60
43,0.0017115669488889371,0.0017343615055894837,5.19591815174433e-10,57
44,0.0017132796282006615,0.001679043215613748,1.1721319468213628e-09,56
45,0.0017120451637571605,0.0016266739195278568,7.288249341259431e-09,53
46,0.0016693433358636314,0.0015770359930052259,8.520645545579232e-09,52
47,0.0016307775516902817,0.0015299321409157696,1.0169796874280077e-08,51
48,0.0015692827785361364,0.0014851831160280786,7.072753233969217e-09,47
49,0.0015680981373669236,0.0014426257348659802,1.574332378935873e-08,47
50,0.0014972659421245305,0.0014021111468664285,9.054435060611323e-09,44
51,0.0014526059136591996,0.0013635033201872082,7.939272163434957e-09,42
52,0.0013983059911992083,0.0013266777134165817,5.1306101781051136e-09,41
53,0.0013810884450997107,0.0012915201072966561,8.022487136802093e-09,41
54,0.0013556426551121572,0.0012579255745883754,9.548627826091267e-09,40
55,0.0013229991384491613,0.001225797569537678,9.448144998853845e-09,39
56,0.0013229991384491613,0.0011950471211762857,1.6371718724198253e-08,39
57,0.0013128598853648797,0.001165592117008262,2.16877955967384e-08,38
58,0.0012670686189266104,0.001137356665576483,1.682519084190562e-08,36
59,0.0011980280249834808,0.0011102705280374198,7.701378270237916e-09,33
60,0.0011325723610275495,0.0010842686102514314,2.3332523390413312e-09,30
61,0.0011325723610275495,0.0010592905080626506,5.370229973969065e-09,30
62,0.001130309628444056,0.0010352800994328944,9.030611384083212e-09,30
63,0.0010886897018761853,0.0010121851779369693,5.85294218316608e-09,29
64,0.0009448066269452733,0.000989957122846143,2.038567280094454e-09,26
65,0.0009305608024582172,0.0009685506016421401,1.4432248420347902e-09,26
66,0.0008800795250867657,0.0009479233013321274,4.602777975230699e-09,26
67,0.0008800795250867657,0.0009280356853893137,2.299793310963678e-09,26
68,0.0008800795250867657,0.0009088507735353038,8.277847372875081e-10,26
69,0.0008718464319708072,0.0008903339419186198,3.417880240704689e-10,26
70,0.0008718464319708072,0.0008724527415367468,3.6761128974988413e-13,26
71,0.0008731569382932402,0.0008551767330032942,3.2328778226860504e-10,25
72,0.0008731569382932402,0.0008384773359829564,1.2026748163994423e-09,25
73,0.0008221993448802262,0.0008223276918096486,1.647293429216583e-14,25
74,0.0008221993448802262,0.0008067025379714356,2.4015102436833966e-10,25
75,0.0008477615054900577,0.0007915780932930726,3.156575806096335e-09,24
76,0.0008477615054900577,0.0007769319527760029,5.0168255376730776e-09,24
77,0.0008477615054900577,0.0007627429911689509,7.228147777368247e-09,24
78,0.0008477615054900577,0.0007489912744419219,9.755558541302127e-09,24
79,0.0008342777106822395,0.0007356579784242408,9.725851590639347e-09,24
80,0.0007542785504512605,0.0007227253139447891,9.956067340333155e-10,23
81,0.0007159828373529628,0.0007101764578811371,3.3714042570839195e-11,22
82,0.0007159828373529628,0.0006979954895849665,3.235446797268405e-10,22
83,0.0006490683093791216,0.0006861673322050042,1.3763374946353533e-09,21
84,0.0005013240507959436,0.0006746776984765086,3.005148716415746e-08,19
85,0.0005013240507959436,0.0006635130405888832,2.6305268410054274e-08,19
86,0.0005013240507959436,0.0006526605037808832,2.2902722002062854e-08,19
87,0.0005013240507959436,0.0006421078833466878,1.9820087507676006e-08,19
88,0.0005013240507959436,0.0006318435847663036,1.7035348747839975e-08,19
89,0.0004983936226405219,0.000621856586700783,1.5243103494545314e-08,19
90,0.0004983936226405219,0.0006121364066169297,1.2937420906703767e-08,19
91,0.00048764264060492955,0.0006026730688278671,1.3231999417152385e-08,18
92,0.00048764264060492955,0.0005934570747553249,1.1196694474568353e-08,18
93,0.00048764264060492955,0.0005844793752370211,9.377353174206117e-09,18
94,0.00048105480179240473,0.0005757313447182783,8.963647780394789e-09,18
95,0.00048105480179240473,0.000567204757181229,7.421814813496418e-09,18
96,0.00046734195044764737,0.0005588917636777749,8.38136830247124e-09,18
97,0.00044485643932894604,0.000550784871344054,1.122083270917935e-08,18
98,0.00044485643932894604,0.0005428769237846295,9.608015372926882e-09,18
99,0.0004410852183564565,0.0005351610827240946,8.850268256518253e-09,18
100,0.0004410852183564565,0.0005276308108323734,7.490139577007494e-09,18
101,0.0004410852183564565,0.0005202798556377828,6.271790574120834e-09,18
102,0.0004410852183564565,0.0005131022344489968,5.186450606873207e-09,18
103,0.0004410852183564565,0.0005060922202134751,4.225910290438429e-09,18
104,0.0004410852183564565,0.0004992443282457656,3.3824820631167303e-09,18
105,0.0004410852183564565,0.0004925533037644148,2.6489638155608968e-09,18
106,0.0004379919886368446,0.00048601411018107113,2.3061241576084685e-09,18
107,0.0004379919886368446,0.0004796219180897894,1.7330510262571644e-09,18
108,0.0004379919886368446,0.00047337209490858756,1.251751919799827e-09,18
109,0.0004379919886368446,0.00046726019512899976,8.566279112674346e-10,18
110,0.0004329557202738718,0.00046128195113274534,8.023753546701993e-10,17
111,0.0004329557202738718,0.0004554332645377253,5.052399961334942e-10,17
112,0.0004329557202738718,0.0004497101980383911,2.807125251617719e-10,17
113,0.0004329557202738718,0.00044410896770812676,1.2439492832971491e-10,17
114,0.0004329557202738718,0.00043862593573366676,3.2151343360497796e-11,17
115,0.00040622669186463826,0.00043325760355376327,7.30670186745275e-10,16
116,0.00040622669186463826,0.0004280006053763247,4.741033096144009e-10,16
117,0.00039709053914525644,0.0004228517020500986,6.636375142098145e-10,16
118,0.00039709053914525644,0.0004178077752686737,4.292038725934255e-10,16
119,0.00039709053914525644,0.00041286582208614373,2.488595518650495e-10,16
120,0.00040417033246577786,0.00040802294972522155,1.48426597477634e-11,15
121,0.00040417033246577786,0.000403276370659924,7.991677103254576e-13,15
122,0.00040417033246577786,0.00039862339795618067,3.076848245376024e-11,15
123,0.0004004584568022437,0.000394061440854851,4.092181303119598e-11,15
124,0.0004004584568022437,0.00038958800058269276,1.181668184211732e-10,15
125,0.0004004584568022437,0.0003852006663777866,2.328001686366542e-10,15
126,0.00039255305022721385,0.000380897111716829,1.3586090255787302e-10,15
127,0.00039255305022721385,0.00037667509073253193,2.521095977147597e-10,15
128,0.00039255305022721385,0.0003725324348101439,4.008250416782186e-10,15
129,0.00039255305022721385,0.00036846704935281744,5.801354381214245e-10,15
130,0.00039255305022721385,0.0003644769107062161,7.882696104025325e-10,15
131,0.00039255305022721385,0.0003605600632333668,1.023551216788467e-09,15
132,0.00039255305022721385,0.00035671461653133656,1.2843933297737923e-09,15
133,0.0003880275850602264,0.000352938742781845,1.231226852437125e-09,15
134,0.000348454326574089,0.0003492306742284164,6.027156803796328e-13,14
135,0.000348454326574089,0.0003455887007731371,8.211811231081328e-12,14
136,0.000348454326574089,0.0003420111676865122,4.1514296450559656e-11,14
137,0.000348454326574089,0.00033849647342431134,9.915883935253682e-11,14
138,0.00033994403893565197,0.0003350430675456692,2.401952056542979e-11,13
139,0.00033994403893565197,0.0003316494487270509,6.880022672862068e-11,13
140,0.00033994403893565197,0.00032831416286701427,1.3525401737187185e-10,13
141,0.00033994403893565197,0.00032503580127700606,2.2225555008666807e-10,13
142,0.00032630235273804574,0.00032181299895370794,2.0154297400948193e-11,12
143,0.00033759881149650724,0.00031864443292871326,3.592684668912479e-10,11
144,0.00033759881149650724,0.00031552882069156053,4.870844941304323e-10,11
145,0.00033759881149650724,0.00031246491868238107,6.317125679919831e-10,11
146,0.00033759881149650724,0.0003094515208506311,7.922699707034265e-10,11
147,0.00033759881149650724,0.0003064874572765833,9.679163613975806e-10,11
148,0.00033759881149650724,0.00030357159285243916,1.1578516086512142e-09,11
149,0.00033759881149650724,0.00030070282602010184,1.3613137442751182e-09,11
150,0.00033759881149650724,0.0002978800875628131,1.5775770309210071e-09,11
151,0.00033759881149650724,0.0002951023394480166,1.8059501365681448e-09,11
152,0.00035388408376473305,0.0002923685737189519,3.784157976192603e-09,10
153,0.00035388408376473305,0.00028967781143262293,4.12244540678509e-09,10
154,0.00035388408376473305,0.00028702910164191305,4.469588634642583e-09,10
155,0.0003483162702694317,0.00028442152041973794,4.082539058354943e-09,10
156,0.0003483162702694317,0.0002818541699232434,4.417210782426806e-09,10
157,0.0003483162702694317,0.00027932617749615904,4.7596329008647716e-09,10
158,0.0003483162702694317,0.0002768366948075226,5.109329708214763e-09,10
159,0.0003483162702694317,0.00027438489702507994,5.4658479497956536e-09,10
160,0.0003483162702694317,0.00027196998202175916,5.828755729196706e-09,10
161,0.0003483162702694317,0.0002695911696136964,6.197641473255654e-09,10
162,0.0003483162702694317,0.00026724770082837366,6.572112951219653e-09,10
163,0.0003699489006499453,0.0002649388372015002,1.1027113425446458e-08,9
164,0.0003699489006499453,0.00026266386010134166,1.1510079925515525e-08,9
165,0.0003699489006499453,0.0002604220700792644,1.199612661485864e-08,9
166,0.00032497787841254247,0.000258212786245328,4.457577532096639e-09,9
167,0.00032497787841254247,0.00025603534566781387,4.753072821257975e-09,9
168,0.00032497787841254247,0.00025388910279563743,5.053614018710672e-09,9
169,0.00032497787841254247,0.0002517734289026403,5.358891428047816e-09,9
170,0.00032497787841254247,0.00024968771155281104,5.668609225766201e-09,9
171,0.00032497787841254247,0.0002476313540855276,5.982484825469502e-09,9
172,0.00032497787841254247,0.00024560377511996084,6.300248273501418e-09,9
173,0.0003174354364675635,0.00024360440807781882,5.4510207530872865e-09,9
174,0.0003174354364675635,0.00024163270072365177,5.746054746261314e-09,9
175,0.0003174354364675635,0.00023968811472197592,6.044646038611916e-09,9
176,0.0003174354364675635,0.00023777012521050694,6.3465618176837035e-09,9
177,0.0003174354364675635,0.00023587822038883196,6.651579494512907e-09,9
178,0.0003174354364675635,0.00023401190112187556,6.959486249573247e-09,9
179,0.0003174354364675635,0.0002321706805575506,7.2700786003940806e-09,9
180,0.0003174354364675635,0.0002303540837580081,7.583161989725994e-09,9
181,0.0003174354364675635,0.0002285616473439322,7.898550393191684e-09,9
182,0.0003174354364675635,0.00022679291915134837,8.216065945420362e-09,9
183,0.0003174354364675635,0.00022504745790043927,8.535538583719406e-09,9
184,0.0003174354364675635,0.0002233248328758849,8.856805708390069e-09,9
185,0.00031631515444353555,0.00022162462361826685,8.966296627971161e-09,8
186,0.00023733151433708003,0.00021994641962609475,3.0224151810992837e-10,7
187,0.00023733151433708003,0.00021828982006803614,3.625861206357389e-10,7
188,0.00023733151433708003,0.0002166544335049472,4.2754167173855456e-10,7
189,0.00023733151433708003,0.00021503987762132038,4.969170674674035e-10,7
190,0.00023733151433708003,0.00021344577896578238,5.705283542276596e-10,7
191,0.00023733151433708003,0.00021187177270029197,6.481984442119996e-10,7
192,0.00023733151433708003,0.00021031750235770148,7.297568432220075e-10,7
193,0.00023733151433708003,0.00020878261960736205,8.15039390288519e-10,7
194,0.00022039135739058754,0.00020726678402846517,1.72254425937732e-10,7
195,0.00022039135739058754,0.00020576966289082712,2.13793950044324e-10,7
196,0.00022039135739058754,0.00020429093094283496,2.5922373179949087e-10,7
197,0.00021243733811158555,0.0002028302702062851,9.229575373705417e-11,7
198,0.00021243733811158555,0.00020138736977785726,1.2210180017639792e-10,7
199,0.00021243733811158555,0.00019996192563697583,1.5563591641164774e-10,7
200,0.00021243733811158555,0.00019855364045982362,1.9275706048553959e-10,7
201,0.00021243733811158555,0.00019716222343928007,2.333291282520823e-10,7
202,0.00021243733811158555,0.00019578739011056804,2.772207684365871e-10,7
203,0.00021243733811158555,0.00019442886218240028,3.243052052920453e-10,7
204,0.00021243733811158555,0.00019308636737342587,3.744600685091121e-10,7
205,0.00021243733811158555,0.00019175963925378603,4.2756723005384343e-10,7
206,0.00021243733811158555,0.0001904484170915948,4.835126476233904e-10,7
207,0.00021243733811158555,0.0001891524457041695,5.421862144249415e-10,7
208,0.00021243733811158555,0.00018787147531384052,6.03481614997633e-10,7
209,0.00021243733811158555,0.0001866052614081796,6.672961868106491e-10,7
210,0.00021243733811158555,0.00018535356460449025,7.335307873836373e-10,7
211,0.00021243733811158555,0.0001841161505184106,8.020896666878067e-10,7
212,0.00021243733811158555,0.00018289278963648544,8.728803445975401e-10,7
213,0.00021243733811158555,0.00018168325719256935,9.45813493173396e-10,7
214,0.00021243733811158555,0.0001804873330479283,1.0208028235677238e-09,7
215,0.00021243733811158555,0.00017930480157491262,1.0977649773539665e-09,7
216,0.00021243733811158555,0.0001781354515440787,1.1766194220901058e-09,7
217,0.00021243733811158555,0.00017697907601464178,1.2572883509355593e-09,7
218,0.00021243733811158555,0.00017583547222814697,1.3396965861492252e-09,7
