rank,verb,frequency
1,go,15658
2,do,12843
3,have,7352
4,get,5964
5,know,5697
6,see,5675
7,think,5290
8,want,4989
9,put,4315
10,wanna,3989
11,say,3532
12,like,2997
13,look,2694
14,make,2671
15,come,2154
16,take,1899
17,eat,1731
18,play,1665
19,happen,1607
20,tell,1260
21,give,1254
22,need,1210
23,sit,1013
24,fall,1003
25,find,988
26,read,779
27,remember,756
28,talk,680
29,turn,661
30,help,635
31,hold,625
32,mean,610
33,try,601
34,show,586
35,can,564
36,bring,560
37,hurt,550
38,use,535
39,hear,534
40,wear,504
41,draw,504
42,work,486
43,fix,450
44,write,432
45,open,430
46,fit,416
47,sleep,411
48,sing,399
49,drive,395
50,cry,392
51,drink,392
52,leave,383
53,pick,380
54,throw,374
55,break,373
56,let,367
57,buy,356
58,love,349
59,stand,347
60,finish,346
61,call,341
62,wait,341
63,build,336
64,run,333
65,live,326
66,ask,322
67,guess,314
68,feel,309
69,move,303
70,cut,303
71,stay,295
72,will,288
73,push,288
74,jump,265
75,hit,258
76,pull,257
77,watch,254
78,keep,252
79,bet,245
80,catch,240
81,walk,237
82,fly,232
83,start,230
84,wash,224
85,needta,224
86,ride,223
87,hafta,219
88,miss,201
89,blow,201
90,close,199
91,taste,195
92,drop,185
93,bite,184
94,hide,178
95,pretend,169
96,stop,167
97,stick,166
98,feed,160
99,cook,153
100,carry,151
