verb,subject,frequency,rank,total,proportion
be,that,2655,1,9998,0.26555311062212444
be,it,1731,2,9998,0.1731346269253851
be,you,1401,3,9998,0.14012802560512103
be,what,442,4,9998,0.04420884176835367
be,this,386,5,9998,0.03860772154430886
be,he,371,6,9998,0.03710742148429686
be,i,344,7,9998,0.034406881376275254
be,who,255,8,9998,0.025505101020204042
be,they,209,9,9998,0.020904180836167234
be,we,111,10,9998,0.011102220444088817
be,she,109,11,9998,0.010902180436087218
be,those,99,12,9998,0.009901980396079216
be,matter,91,13,9998,0.009101820364072815
be,one,72,14,9998,0.0072014402880576115
be,these,53,15,9998,0.005301060212042409
be,mommy,52,16,9998,0.005201040208041608
be,ball,33,17,9998,0.0033006601320264054
be,joseph,33,18,9998,0.0033006601320264054
be,baby,30,19,9998,0.0030006001200240046
be,book,28,20,9998,0.0028005601120224045
be,thing,26,21,9998,0.002600520104020804
be,nose,26,22,9998,0.002600520104020804
be,some,23,23,9998,0.0023004600920184036
be,timmy,22,24,9998,0.0022004400880176033
be,morgan,21,25,9998,0.0021004200840168035
be,name,21,26,9998,0.0021004200840168035
be,hand,20,27,9998,0.002000400080016003
be,daddy,20,28,9998,0.002000400080016003
be,bunny,20,29,9998,0.002000400080016003
be,noise,18,30,9998,0.0018003600720144029
be,thomas,18,31,9998,0.0018003600720144029
be,all,17,32,9998,0.0017003400680136026
be,dada,16,33,9998,0.0016003200640128026
be,dillon,16,34,9998,0.0016003200640128026
be,light,16,35,9998,0.0016003200640128026
be,shoe,15,36,9998,0.0015003000600120023
be,mandy,15,37,9998,0.0015003000600120023
be,mama,15,38,9998,0.0015003000600120023
be,tongue,14,39,9998,0.0014002800560112022
be,spoon,13,40,9998,0.001300260052010402
be,sock,13,41,9998,0.001300260052010402
be,kitty,13,42,9998,0.001300260052010402
be,boy,13,43,9998,0.001300260052010402
be,eye,13,44,9998,0.001300260052010402
be,toy,12,45,9998,0.001200240048009602
be,water,12,46,9998,0.001200240048009602
be,doggie,11,47,9998,0.0011002200440088017
be,man,11,48,9998,0.0011002200440088017
be,cow,11,49,9998,0.0011002200440088017
be,stuff,11,50,9998,0.0011002200440088017
be,tooth,11,51,9998,0.0011002200440088017
be,catherine,11,52,9998,0.0011002200440088017
be,theo,11,53,9998,0.0011002200440088017
be,bear,10,54,9998,0.0010002000400080016
be,belly,10,55,9998,0.0010002000400080016
be,foot,10,56,9998,0.0010002000400080016
be,duck,10,57,9998,0.0010002000400080016
be,cheerio,9,58,9998,0.0009001800360072014
be,car,9,59,9998,0.0009001800360072014
be,more,9,60,9998,0.0009001800360072014
be,finger,9,61,9998,0.0009001800360072014
be,paul,9,62,9998,0.0009001800360072014
be,guy,9,63,9998,0.0009001800360072014
be,diaper,8,64,9998,0.0008001600320064013
be,cup,8,65,9998,0.0008001600320064013
be,bib,8,66,9998,0.0008001600320064013
be,problem,8,67,9998,0.0008001600320064013
be,hair,8,68,9998,0.0008001600320064013
be,milk,8,69,9998,0.0008001600320064013
be,juice,8,70,9998,0.0008001600320064013
be,bingo,8,71,9998,0.0008001600320064013
be,ring,8,72,9998,0.0008001600320064013
be,jane,8,73,9998,0.0008001600320064013
be,pant,7,74,9998,0.0007001400280056011
be,bowl,7,75,9998,0.0007001400280056011
be,cookie,7,76,9998,0.0007001400280056011
be,hat,7,77,9998,0.0007001400280056011
be,game,7,78,9998,0.0007001400280056011
be,something,7,79,9998,0.0007001400280056011
be,alexander,7,80,9998,0.0007001400280056011
be,square,6,81,9998,0.000600120024004801
be,face,6,82,9998,0.000600120024004801
be,leg,6,83,9998,0.000600120024004801
be,people,6,84,9998,0.000600120024004801
be,block,6,85,9998,0.000600120024004801
be,go,6,86,9998,0.000600120024004801
be,piece,6,87,9998,0.000600120024004801
be,lord,6,88,9998,0.000600120024004801
be,big_bird,6,89,9998,0.000600120024004801
be,nana,6,90,9998,0.000600120024004801
be,tabitha,6,91,9998,0.000600120024004801
be,c,6,92,9998,0.000600120024004801
be,banana,6,93,9998,0.000600120024004801
be,ear,5,94,9998,0.0005001000200040008
be,hiding,5,95,9998,0.0005001000200040008
be,number,5,96,9998,0.0005001000200040008
be,ya,5,97,9998,0.0005001000200040008
be,everybody,5,98,9998,0.0005001000200040008
be,cheese,5,99,9998,0.0005001000200040008
be,somebody,5,100,9998,0.0005001000200040008
be,key,5,101,9998,0.0005001000200040008
be,fishie,5,102,9998,0.0005001000200040008
be,toe,5,103,9998,0.0005001000200040008
be,life,5,104,9998,0.0005001000200040008
be,porridge,5,105,9998,0.0005001000200040008
be,circle,4,106,9998,0.00040008001600320064
be,fun,4,107,9998,0.00040008001600320064
be,dog,4,108,9998,0.00040008001600320064
be,girl,4,109,9998,0.00040008001600320064
be,which,4,110,9998,0.00040008001600320064
be,bath,4,111,9998,0.00040008001600320064
be,polish,4,112,9998,0.00040008001600320064
be,pussycat,4,113,9998,0.00040008001600320064
be,your,4,114,9998,0.00040008001600320064
be,arm,4,115,9998,0.00040008001600320064
be,lunch,4,116,9998,0.00040008001600320064
be,bottle,4,117,9998,0.00040008001600320064
be,fish,4,118,9998,0.00040008001600320064
be,everything,4,119,9998,0.00040008001600320064
be,chicken,4,120,9998,0.00040008001600320064
be,phone,4,121,9998,0.00040008001600320064
be,nobody,4,122,9998,0.00040008001600320064
be,sound,4,123,9998,0.00040008001600320064
be,bus,4,124,9998,0.00040008001600320064
be,tootsie,4,125,9998,0.00040008001600320064
be,kiss,4,126,9998,0.00040008001600320064
be,piggy,4,127,9998,0.00040008001600320064
be,mouth,4,128,9998,0.00040008001600320064
be,orange,4,129,9998,0.00040008001600320064
be,nick_junior,4,130,9998,0.00040008001600320064
be,monkey,4,131,9998,0.00040008001600320064
be,ladybug,4,132,9998,0.00040008001600320064
be,morgie,3,133,9998,0.0003000600120024005
be,bed,3,134,9998,0.0003000600120024005
be,pear,3,135,9998,0.0003000600120024005
be,blankie,3,136,9998,0.0003000600120024005
be,room,3,137,9998,0.0003000600120024005
be,friend,3,138,9998,0.0003000600120024005
be,rest,3,139,9998,0.0003000600120024005
be,tigger,3,140,9998,0.0003000600120024005
be,today,3,141,9998,0.0003000600120024005
be,cereal,3,142,9998,0.0003000600120024005
be,sheep,3,143,9998,0.0003000600120024005
be,horsie,3,144,9998,0.0003000600120024005
be,apple,3,145,9998,0.0003000600120024005
be,time,3,146,9998,0.0003000600120024005
be,ground,3,147,9998,0.0003000600120024005
be,god,3,148,9998,0.0003000600120024005
be,measure,3,149,9998,0.0003000600120024005
be,mamama,3,150,9998,0.0003000600120024005
be,food,3,151,9998,0.0003000600120024005
be,cookie_monster,3,152,9998,0.0003000600120024005
be,bike,3,153,9998,0.0003000600120024005
be,his,3,154,9998,0.0003000600120024005
be,so_that,3,155,9998,0.0003000600120024005
be,turtle,3,156,9998,0.0003000600120024005
be,noah,3,157,9998,0.0003000600120024005
be,giraffe,3,158,9998,0.0003000600120024005
be,e,3,159,9998,0.0003000600120024005
be,henry,3,160,9998,0.0003000600120024005
be,wanna,3,161,9998,0.0003000600120024005
be,lydia,3,162,9998,0.0003000600120024005
be,raven,3,163,9998,0.0003000600120024005
be,job,3,164,9998,0.0003000600120024005
be,babe,3,165,9998,0.0003000600120024005
be,card,2,166,9998,0.00020004000800160032
be,balmex,2,167,9998,0.00020004000800160032
be,paper,2,168,9998,0.00020004000800160032
be,shirt,2,169,9998,0.00020004000800160032
be,michael,2,170,9998,0.00020004000800160032
be,washcloth,2,171,9998,0.00020004000800160032
be,doggy,2,172,9998,0.00020004000800160032
be,blanket,2,173,9998,0.00020004000800160032
be,page,2,174,9998,0.00020004000800160032
be,pooh,2,175,9998,0.00020004000800160032
be,roo,2,176,9998,0.00020004000800160032
be,rooster,2,177,9998,0.00020004000800160032
be,part,2,178,9998,0.00020004000800160032
be,slipper,2,179,9998,0.00020004000800160032
be,anybody,2,180,9998,0.00020004000800160032
be,bean,2,181,9998,0.00020004000800160032
be,stick,2,182,9998,0.00020004000800160032
be,tray,2,183,9998,0.00020004000800160032
be,chance,2,184,9998,0.00020004000800160032
be,door,2,185,9998,0.00020004000800160032
be,tim,2,186,9998,0.00020004000800160032
be,squirrel,2,187,9998,0.00020004000800160032
be,drum,2,188,9998,0.00020004000800160032
be,fridge,2,189,9998,0.00020004000800160032
be,squash,2,190,9998,0.00020004000800160032
be,trick,2,191,9998,0.00020004000800160032
be,duckie,2,192,9998,0.00020004000800160032
be,joy,2,193,9998,0.00020004000800160032
be,jaylen,2,194,9998,0.00020004000800160032
be,sweet,2,195,9998,0.00020004000800160032
be,lamb,2,196,9998,0.00020004000800160032
be,kitty+cat,2,197,9998,0.00020004000800160032
be,egg,2,198,9998,0.00020004000800160032
be,mm,2,199,9998,0.00020004000800160032
be,buckle,2,200,9998,0.00020004000800160032
be,elmo_book,2,201,9998,0.00020004000800160032
be,tree,2,202,9998,0.00020004000800160032
be,froggie,2,203,9998,0.00020004000800160032
be,bambi,2,204,9998,0.00020004000800160032
be,clothe,2,205,9998,0.00020004000800160032
be,fan,2,206,9998,0.00020004000800160032
be,clipper,2,207,9998,0.00020004000800160032
be,cart,2,208,9998,0.00020004000800160032
be,inching,2,209,9998,0.00020004000800160032
be,button,2,210,9998,0.00020004000800160032
be,snowman,2,211,9998,0.00020004000800160032
be,dollie,2,212,9998,0.00020004000800160032
be,iron_man,2,213,9998,0.00020004000800160032
be,lady,2,214,9998,0.00020004000800160032
be,dakota,2,215,9998,0.00020004000800160032
be,useta,2,216,9998,0.00020004000800160032
be,house,2,217,9998,0.00020004000800160032
be,a,2,218,9998,0.00020004000800160032
be,elmo,2,219,9998,0.00020004000800160032
be,alex,2,220,9998,0.00020004000800160032
be,mom_mom,2,221,9998,0.00020004000800160032
be,oatmeal,2,222,9998,0.00020004000800160032
be,driver,2,223,9998,0.00020004000800160032
be,word,2,224,9998,0.00020004000800160032
be,day,2,225,9998,0.00020004000800160032
be,dad'll,2,226,9998,0.00020004000800160032
be,fig,2,227,9998,0.00020004000800160032
be,blue,2,228,9998,0.00020004000800160032
be,vas,2,229,9998,0.00020004000800160032
be,may,2,230,9998,0.00020004000800160032
be,op,2,231,9998,0.00020004000800160032
be,jammie,2,232,9998,0.00020004000800160032
be,sucky_suck,2,233,9998,0.00020004000800160032
be,joseph_p,2,234,9998,0.00020004000800160032
be,sit,2,235,9998,0.00020004000800160032
be,shark,2,236,9998,0.00020004000800160032
be,rose,2,237,9998,0.00020004000800160032
be,tomorrow,2,238,9998,0.00020004000800160032
be,needta,2,239,9998,0.00020004000800160032
be,sleeve,2,240,9998,0.00020004000800160032
be,yours,2,241,9998,0.00020004000800160032
be,creature,2,242,9998,0.00020004000800160032
be,boat,2,243,9998,0.00020004000800160032
be,birthday,2,244,9998,0.00020004000800160032
be,nuwevah,2,245,9998,0.00020004000800160032
be,kind,2,246,9998,0.00020004000800160032
be,bag,1,247,9998,0.00010002000400080016
be,chewy,1,248,9998,0.00010002000400080016
be,lid,1,249,9998,0.00010002000400080016
be,wire,1,250,9998,0.00010002000400080016
be,basketball,1,251,9998,0.00010002000400080016
be,shadow,1,252,9998,0.00010002000400080016
be,dish,1,253,9998,0.00010002000400080016
be,pair,1,254,9998,0.00010002000400080016
be,rope,1,255,9998,0.00010002000400080016
be,bedtime,1,256,9998,0.00010002000400080016
be,shape,1,257,9998,0.00010002000400080016
be,candle,1,258,9998,0.00010002000400080016
be,sweetie+pie,1,259,9998,0.00010002000400080016
be,feet,1,260,9998,0.00010002000400080016
be,teddy,1,261,9998,0.00010002000400080016
be,home,1,262,9998,0.00010002000400080016
