rank,verb,frequency
1,be,198802
2,go,52659
3,do,36983
4,have,24979
5,get,23291
6,know,21979
7,see,18924
8,think,16937
9,want,16870
10,say,14734
11,wanna,14094
12,put,12283
13,like,10869
14,look,8944
15,come,8644
16,make,8264
17,eat,7337
18,take,6276
19,play,5671
20,tell,5096
21,happen,4622
22,give,3883
23,need,3842
24,find,3353
25,sit,3120
26,try,2942
27,hear,2839
28,read,2774
29,mean,2755
30,fall,2679
31,talk,2550
32,remember,2535
33,turn,2246
34,help,1985
35,use,1861
36,bring,1806
37,can,1749
38,call,1720
39,show,1712
40,hold,1670
41,work,1649
42,leave,1556
43,feel,1530
44,love,1452
45,let,1445
46,open,1441
47,run,1412
48,hurt,1403
49,ask,1373
50,start,1367
51,throw,1337
52,stay,1328
53,pick,1288
54,finish,1260
55,walk,1248
56,wear,1236
57,guess,1209
58,write,1201
59,fix,1170
60,buy,1154
61,keep,1141
62,fit,1125
63,drink,1119
64,break,1091
65,live,1083
66,build,1081
67,move,1047
68,watch,1043
69,draw,1042
70,sleep,1025
71,sing,1010
72,wait,975
73,will,963
74,stand,945
75,push,929
76,cry,927
77,fly,900
78,hafta,882
79,needta,877
80,pull,849
81,stop,834
82,jump,833
83,cut,827
84,drive,823
85,catch,758
86,wash,754
87,bet,740
88,miss,738
89,stick,702
90,forget,702
91,hit,686
92,sound,675
93,close,628
94,taste,616
95,blow,615
96,listen,566
97,drop,563
98,touch,551
99,ride,541
100,wonder,532
