rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3978133259829645,0.39698199910288673,6.911043815398125e-07,100
2,0.13844999499372668,0.1423136052453498,1.4927484176447334e-05,98
3,0.07535841120492964,0.07809646162490654,7.496920102335636e-06,98
4,0.049715751039148645,0.05101783527640555,1.6954233609128924e-06,96
5,0.03571659543764141,0.036668674215107465,9.06453998501252e-07,93
6,0.026879250358282796,0.027996707749625364,1.2487110214661378e-06,90
7,0.020551358268056735,0.02228567101922318,3.0078407188585174e-06,87
8,0.017400703241738553,0.018289323159252194,7.896453578019513e-07,84
9,0.014297779366958193,0.015363561401054344,1.1358913442021287e-06,76
10,0.013085174967499601,0.013145309457134005,3.616156843590252e-09,71
11,0.011576209727364065,0.01141588645055545,2.5703553086651672e-08,66
12,0.010206287342736356,0.010036506501185174,2.8825534157827735e-08,62
13,0.009389434101941603,0.008915273132957941,2.248286245075252e-07,55
14,0.008374289160551355,0.007989163728392331,1.483215984956749e-07,50
15,0.007850781627389256,0.00721366136285225,4.059222314837052e-07,46
16,0.00722151733045214,0.006556517731716779,4.4222446631819126e-07,41
17,0.006552500034133277,0.005993857459887865,3.12081525759541e-07,36
18,0.006058909546782841,0.005507664874813822,3.0387068837423116e-07,34
19,0.005162854432080762,0.00508411639877808,6.199677888374375e-09,31
20,0.004684611229909524,0.00471244637071235,7.747950635131686e-10,26
21,0.003570461948321176,0.004384158615431284,6.62102266066098e-07,21
22,0.003488319560690552,0.004092467571631694,3.6499481912413845e-07,21
23,0.003402393817548226,0.003831895148968052,1.8447139369140333e-07,21
24,0.003402393817548226,0.0035979752922798637,3.825211325820232e-08,21
25,0.0030965993630490797,0.0033870343535279696,8.435248369447286e-08,20
26,0.0030495175580612737,0.0031960256741248873,2.1464628072509284e-08,19
27,0.002884916960345196,0.0030224034996316563,1.8902548484967346e-08,15
28,0.002606342370492027,0.0028640258138964707,6.640075700477113e-08,14
29,0.002468654719747315,0.0027190786980226343,6.271216889523759e-08,14
30,0.002490871767770561,0.0025860168921677485,9.052594696556278e-09,13
31,0.0023323137646167644,0.00246351668216208,1.721420557240292e-08,13
32,0.002347330525373091,0.002350438252526027,9.657968057095556e-12,12
33,0.0024001831312063485,0.0022457953764020216,2.3835578833520952e-08,11
34,0.002381761588462452,0.002148730840116256,5.4303329674788204e-08,11
35,0.002202069824562817,0.0020584963855178853,2.0613332399188695e-08,10
36,0.0021548153065016015,0.0019744362378879294,3.253660839393582e-08,10
37,0.0021548153065016015,0.0018959734994193264,6.699908109361769e-08,10
38,0.0021345516094833147,0.0018225988478877896,9.731452546707447e-08,10
39,0.0021345516094833147,0.0017538611012011176,1.4492526309615757e-07,10
40,0.0021345516094833147,0.0016893593010690292,1.981961914712403e-07,10
41,0.0016951548748264224,0.0016287360403201298,4.411461577174281e-09,9
42,0.0016606220712878522,0.001571671813682874,7.912148327991967e-09,8
43,0.0016352924500149942,0.0015178802150188043,1.378563292680053e-08,8
44,0.0016352924500149942,0.0014671038379189644,2.8287409238788777e-08,8
45,0.0016352924500149942,0.001419110763390191,4.673452163194462e-08,8
46,0.0016352924500149942,0.0013736915396772827,6.843503628951938e-08,8
47,0.0014196686824846055,0.001330656576308953,7.923155045825643e-09,8
48,0.0011785333763865789,0.0012898338881489986,1.2387803918576528e-08,7
49,0.0011785333763865789,0.0012510671362918038,5.26114632598882e-09,7
50,0.0011495852377890266,0.0012142139216128325,4.176866772797471e-09,7
51,0.0011495852377890266,0.0011791442940967559,8.737378098035101e-10,7
52,0.0011495852377890266,0.001145739447051177,1.4790106399330525e-11,7
53,0.0011495852377890266,0.0011138905702336305,1.2741092918902485e-09,7
54,0.0011495852377890266,0.0010834978399795548,4.367544149227381e-09,7
55,0.0011495852377890266,0.001054469527782257,9.046998290091876e-09,7
56,0.0009882626013327659,0.001026721211572412,1.479064701565007e-09,7
57,0.0009882626013327659,0.0010001750762780193,1.419070593212917e-10,7
58,0.0009882626013327659,0.0009747592921994005,1.8233935755122905e-10,7
59,0.0009882626013327659,0.0009504074613748488,1.4330116212334882e-09,7
60,0.0008094306947216666,0.000927058123495381,1.3836211999915274e-08,6
