rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3591203140093702,0.364432592100428,2.822029851673245e-05,100
2,0.16164223328059757,0.1333901363076559,0.0007981809833685002,100
3,0.08766281197248058,0.07409542453789719,0.00018407400180009108,100
4,0.05426708142742586,0.048823647637069076,2.963097142999803e-05,100
5,0.03747006011315924,0.03532732093712973,4.591331176491615e-06,100
6,0.027826494500746354,0.027120512800238458,4.984101614520207e-07,100
7,0.02124050410998651,0.02168827703367388,2.0050059118753413e-07,100
8,0.015338382105558704,0.017870501032330573,6.411626259316323e-06,100
9,0.01167143939669282,0.015064876348760496,1.151541434765836e-05,100
10,0.008690004068280634,0.012930556315033015,1.798228335743666e-05,100
11,0.007142363172796165,0.01126154085139668,1.6967624747880723e-05,99
12,0.005777793991928795,0.009926688714384844,1.721332741802366e-05,99
13,0.004930957241898276,0.008838922972334807,1.527219615026633e-05,98
14,0.004182587854974639,0.007938374043676989,1.4105929895247326e-05,98
15,0.0037265982771245367,0.007182652977156971,1.194431408961628e-05,97
16,0.0033305868695946866,0.006540986235204182,1.030666408670585e-05,97
17,0.002994311505009691,0.005990544161278995,8.977410130494608e-06,96
18,0.002761811923626161,0.005514067493352452,7.5749107210893894e-06,96
19,0.002554366621686326,0.005098289452735023,6.471543370330817e-06,96
20,0.002397927228407278,0.004732860635364805,5.451914014926285e-06,96
21,0.0022290665165586626,0.004409600373675537,4.754727902032995e-06,96
22,0.0020764864845977155,0.0041219652187093015,4.183983251702736e-06,96
23,0.0020236625510379985,0.0038646649449224067,3.3892898142881216e-06,96
24,0.0019121706005835273,0.003633380738708932,2.9625643395856747e-06,96
25,0.0018120172633309794,0.00342455540927866,2.600279272136384e-06,95
26,0.0017396944073157312,0.0032352351728401466,2.2366421813453543e-06,95
27,0.0016510353806670965,0.003062948904319539,1.993499798272657e-06,95
28,0.0016237651350632025,0.0029056149716033793,1.643139003438078e-06,95
29,0.0015284036934714873,0.0027614686240096777,1.5204491229231524e-06,95
30,0.0014924748567340346,0.002629004870699197,1.2917004726436526e-06,95
31,0.001439384347726653,0.002506933154638929,1.1396604551398243e-06,95
32,0.0013777822479321324,0.002394141096084919,1.0329853082184589e-06,95
33,0.0013453803173358782,0.0022896652725976903,8.916740767338024e-07,95
34,0.001315234172364505,0.0021926675043647905,7.698892521051233e-07,95
35,0.0012845850795926504,0.0021024154808053927,6.688465651477952e-07,95
36,0.0012246042393502946,0.002018266835874019,6.299003171207805e-07,95
37,0.0012038892017238031,0.0019396559820363012,5.413527550114199e-07,95
38,0.0011594841127000979,0.0018660831653849498,4.992822212551302e-07,95
39,0.0011321751872090363,0.001797105320131302,4.4213208166802183e-07,95
40,0.0011131781009550315,0.0017323283892854344,3.8334707953962107e-07,95
41,0.0011016557861088963,0.0016714008466161793,3.246094339724475e-07,94
42,0.0010675129909462132,0.0016140082079837102,2.98657022244861e-07,94
43,0.001043139233423745,0.0015598683615541456,2.6700899185840405e-07,94
44,0.0010120883923142052,0.0015087275789744177,2.4665048172651747e-07,94
45,0.0009923631379346654,0.0014603570953505068,2.1901834417774035e-07,94
46,0.0009717451030471065,0.0014145501663708464,1.9607632410514133e-07,94
47,0.0009698132396813543,0.0013711195273142923,1.6104673649373036e-07,94
48,0.0009586728514852663,0.0013298951918670244,1.3780602599850986e-07,93
49,0.000951744726329841,0.0012907225393270015,1.1490595770433787e-07,93
50,0.0009254050946060671,0.0012534606474245266,1.0762044573502505e-07,93
51,0.0008838861299282958,0.0012179808350419687,1.1161927198499205e-07,93
52,0.0008672004088235892,0.0011841653848938584,1.0046679605522632e-07,92
53,0.0008601381944387389,0.0011519064209810077,8.512869801962072e-08,92
54,0.0008472735773187287,0.001121104919556641,7.49836039918167e-08,91
55,0.000840628325686636,0.0010916698355954216,6.302183969728289e-08,91
56,0.0008169110930687032,0.0010635173294624909,6.081463582830871e-08,90
57,0.000808976545141252,0.0010365700807390586,5.1798817445910044e-08,90
58,0.0007989414580430571,0.0010107566780538048,4.486568742820143e-08,89
59,0.0007980324661058724,0.000986011075360135,3.533595753716674e-08,89
60,0.000771082490779181,0.0009622721064405183,3.6553469136729855e-08,88
61,0.0007622601247205989,0.0009394830505533406,3.140796544071744e-08,88
62,0.0007462288118558566,0.0009175912430996751,2.9365082841792432e-08,86
63,0.0007442158159124634,0.0008965477260055834,2.32050108326184e-08,86
64,0.000737024371267171,0.000876306933213378,1.9399632062299e-08,86
65,0.0007271328415693842,0.000856826407272023,1.682042098466468e-08,85
66,0.0007256581403383465,0.00083806654352843,1.2635649107744366e-08,85
67,0.0007245839963529288,0.0008199903588610973,9.102374007040076e-09,85
68,0.0007190940288040825,0.0008025632822763208,6.967116275212763e-09,85
69,0.0007205247369860173,0.0007857529650142906,4.25472173170842e-09,84
70,0.0007193143569546478,0.0007695291080954554,2.521521232133235e-09,84
71,0.000708417674980715,0.0007538633054830599,2.065305331755657e-09,83
72,0.0007078387239985696,0.0007387289012511475,9.542030506956846e-10,83
73,0.0007058276564182649,0.0007241008593331876,3.3390994476993864e-10,83
74,0.0006882788460329907,0.0007099556445886787,4.698835956238788e-10,82
75,0.0006863954968777766,0.0006962711140669042,9.75278148661928e-11,82
76,0.0006741179652779313,0.0006830264174712601,7.936052048082577e-11,81
77,0.0006593670379466625,0.0006702019059366121,1.1739436435963436e-10,80
78,0.0006433528832895593,0.0006577790483280059,2.0811423771650095e-10,79
79,0.0006343293224191461,0.0006457403543534957,1.3021164980674646e-10,78
80,0.0006325189438749793,0.0006340693038583326,2.403616077983425e-12,78
81,0.0006300737961355804,0.0006227502817335881,5.3633863196188624e-11,77
82,0.0006287994744202341,0.0006117685179305392,2.9005347895387966e-10,77
83,0.0006201694416872284,0.0006011100321237895,3.6326109290690684e-10,75
84,0.0006187948844045976,0.0005907615826119456,7.858660093979039e-10,75
85,0.0006136161382892586,0.0005807106190854415,1.0827731940727798e-09,74
86,0.0006136161382892586,0.0005709452389273911,1.8208056523506243e-09,74
87,0.0006103574791622031,0.0005614541467457284,2.391535921436231e-09,73
88,0.0006049304169021194,0.0005522266168637798,2.7776905384812837e-09,72
89,0.0005992196766699474,0.000543252458522265,3.1323295071902703e-09,71
90,0.0005987069340359672,0.0005345219835688448,4.119707866466961e-09,71
91,0.0005892935025111682,0.0005260259764320797,4.0027798561681415e-09,71
92,0.000588534296924079,0.0005177556661952655,5.009614567845749e-09,71
93,0.0005957735104952937,0.000509702700602346,7.40818431562794e-09,70
94,0.0005794074280107422,0.0005018591218431458,6.013739789463263e-09,68
95,0.000578872064378204,0.0004942173439787196,7.166421685914881e-09,68
96,0.0005726111202921188,0.0004867701318798436,7.3686752915963665e-09,68
97,0.0005726111202921188,0.00047951058156270494,8.667710311707093e-09,68
98,0.000545487186714631,0.0004724321018158196,5.337045429572547e-09,65
99,0.0005395508534006793,0.0004655283970212353,5.479324048446687e-09,63
100,0.0005328684795763501,0.00045879345108124813,5.487109846550173e-09,62
101,0.000529990340884246,0.0004522215123692703,6.047990688591695e-09,62
102,0.0005164312702106331,0.0004458070796302138,4.987776295139381e-09,61
103,0.0005164312702106331,0.0004395448887618623,5.9115156522858885e-09,61
104,0.0005164312702106331,0.00043342990041426115,6.889227388074084e-09,61
105,0.0005160281812964763,0.00042745728834921046,7.844803077476023e-09,61
106,0.0005064342997232924,0.0004216224285065534,7.193053499284714e-09,60
107,0.0004993017450714091,0.00041592088872815337,6.9523672045346575e-09,59
108,0.000486804707080817,0.0004103484190942875,5.845563972679137e-09,58
109,0.0004895940326566178,0.0004049009428306848,7.1729194642635624e-09,57
110,0.00048678084745753576,0.0003995745477476425,7.604938709091725e-09,57
111,0.0004897535815055169,0.00039436547817558077,9.098890256882576e-09,56
112,0.000489056382651846,0.00038927012736408113,9.957296744354971e-09,56
113,0.000486995820242525,0.00038428503031391414,1.054950636775923e-08,56
114,0.0004861377321797025,0.0003794068570138145,1.1391479713676363e-08,56
115,0.0004861377321797025,0.00037463240605583665,1.2433437753989677e-08,56
116,0.0004798848458019162,0.00036995859860502344,1.2083779822792376e-08,54
117,0.0004705041050101389,0.0003653824727008715,1.1050557579364812e-08,53
118,0.0004680104317593179,0.0003609011778696846,1.1472392268793928e-08,51
119,0.00046767182935068444,0.0003565119700283903,1.2356514324552224e-08,51
120,0.00046767182935068444,0.00035221220666175744,1.3330924471469385e-08,51
121,0.00046151787379714824,0.00034799934225621446,1.2886457003209977e-08,48
122,0.00046151787379714824,0.00034387092397462687,1.384080480254286e-08,48
123,0.00045791065038689805,0.0003398245875574671,1.3944318234556312e-08,47
124,0.000457242683706085,0.0003358580534368,1.4734228465611018e-08,46
125,0.0004530003111582421,0.00033196912305042103,1.4648548494790765e-08,45
126,0.0004530003111582421,0.0003281556753443382,1.5586183091506296e-08,45
127,0.00043812163740928435,0.0003244156634525643,1.2929048513446296e-08,44
