rank,verb,frequency
1,do,411
2,think,370
3,know,316
4,go,269
5,have,177
6,get,146
7,look,131
8,like,119
9,play,116
10,see,115
11,say,100
12,want,90
13,wanna,83
14,make,73
15,take,62
16,tell,60
17,read,51
18,can,47
19,eat,47
20,happen,44
21,come,36
22,fix,31
23,drive,31
24,pick,29
25,knit,28
26,sew,27
27,catch,26
28,paint,25
29,help,24
30,feed,24
31,put,23
32,try,23
33,deliver,23
34,write,23
35,learn,22
36,use,21
37,talk,20
38,need,19
39,give,19
40,useta,19
41,show,17
42,ask,17
43,win,17
44,could,17
45,wear,16
46,hold,15
47,find,15
48,remember,15
49,chop,15
50,stick,15
51,hafta,14
52,mean,14
53,turn,14
54,hear,13
55,remind,13
56,call,13
57,sit,13
58,start,12
59,needta,12
60,feel,12
61,guess,12
62,let,11
63,live,11
64,bet,11
65,love,11
66,fall,10
67,finish,10
68,pour,10
69,bring,9
70,dust,8
71,buy,8
72,work,8
73,sleep,7
74,matter,7
75,run,7
76,cut,7
77,drink,7
78,taste,7
79,sound,6
80,exercise,6
81,dance,6
82,throw,6
83,walk,6
84,draw,6
85,leave,6
86,open,6
87,stay,5
88,break,5
89,wish,5
90,would,5
91,will,5
92,move,5
93,seem,5
94,knock,5
95,ride,5
96,jump,5
97,keep,5
98,wonder,5
99,fly,5
100,push,5
