rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3799711923427766,0.3807070964499564,5.415548549640611e-07,100
2,0.14429065261424762,0.13647923472782075,6.101824939638953e-05,100
3,0.07856337869812074,0.07489477410921078,1.3458659629771278e-05,99
4,0.04670495715591015,0.04892627872078565,4.934269494580935e-06,98
5,0.031009788558431065,0.035165384129885686,1.726897455349326e-05,98
6,0.02232390176657942,0.026848938595715688,2.0475958305039594e-05,98
7,0.01679942147121344,0.021372034816038343,2.090879280127077e-05,98
8,0.01315728034628503,0.01753952353438893,1.9204055359683032e-05,98
9,0.010696809018435479,0.014733707990145216,1.6296553307791136e-05,96
10,0.008746048842944734,0.012606396780385524,1.4902286198103362e-05,95
11,0.007919303957123624,0.010947874195340967,9.172237687815854e-06,93
12,0.007009263680722837,0.009625044100745307,6.842307205772928e-06,91
13,0.006320339422208402,0.008549777461388281,4.9703939705422246e-06,90
14,0.006024817154347011,0.007661635371308793,2.679173875377947e-06,83
15,0.00564263714976064,0.006917925947349952,1.6263615172567925e-06,82
16,0.0051273651207296754,0.006287722954958534,1.3464303034562874e-06,79
17,0.004816761002577131,0.00574812982766358,8.674478883429123e-07,76
18,0.004559332328766191,0.0052818694738003685,5.220599259541406e-07,71
19,0.004173598992517003,0.004875685035005247,4.929248110568044e-07,68
20,0.003876518501593513,0.004519252205450915,4.1310661407425395e-07,64
21,0.003668831065130067,0.004204423124042776,2.868588535703543e-07,62
22,0.003588867788592788,0.00392469041425656,1.1277683590771025e-07,59
23,0.0035769456807756396,0.0036748005686933227,9.57557908938231e-09,58
24,0.003429949264024381,0.0034504706251618795,4.211262629356249e-10,55
25,0.003149824515233024,0.0032481775426136993,9.67331799494385e-09,52
26,0.003104037740300151,0.003064999565031292,1.5239791283221733e-09,50
27,0.0030064868021978785,0.0028984953051907477,1.166216342584113e-08,43
28,0.00269419481930816,0.0027466105622679852,2.7474101100304725e-09,37
29,0.002675610167223782,0.002607605781830014,4.624596432784081e-09,35
30,0.002519800023523956,0.002479999054396833,1.584117143458211e-09,33
31,0.0025220042108423605,0.0023625209335471245,2.5434915736829142e-08,32
32,0.0024409534657914376,0.0022540783323330947,3.492231550507346e-08,31
33,0.002378047093872743,0.002153725455821388,5.0320197298043025e-08,30
34,0.0022246028021313444,0.002060640233163627,2.688372402249344e-08,29
35,0.0021745272735011474,0.0019741050822310335,4.016905475351412e-08,29
36,0.002164781495541327,0.0018934911128226594,7.359847175564109e-08,29
37,0.0019797283165431754,0.0018182450779661715,2.6076836341317554e-08,27
38,0.0018750486457170454,0.0017478785359045024,1.6172236829734238e-08,26
39,0.0014813983539037625,0.001681958801466334,4.022449312649897e-08,24
40,0.0013878680620146048,0.001620101354278361,5.393230203566323e-08,23
41,0.0010409459119923193,0.001561963439639414,2.7145926411549114e-07,21
42,0.0010409459119923193,0.0015072386509000601,2.174289183580826e-07,21
43,0.0009886455730793026,0.0014556523235928318,2.180953050252057e-07,21
44,0.0009874880401576436,0.0014069576040901522,1.7595471506572887e-07,21
45,0.0009839386474820965,0.0013609320812834611,1.4212404912934384e-07,19
46,0.0009793665506367042,0.0013173748902223347,1.1424963762943494e-07,19
47,0.0009793665506367042,0.0012761042129956304,8.805324026224009e-08,19
48,0.0009382616876543741,0.0012369551152688332,8.92177637000741e-08,19
49,0.000936982309162014,0.0011997776674961358,6.90614003619595e-08,19
50,0.0009299610447914547,0.0011644353084295177,5.4978180308611884e-08,19
51,0.0009286816662990948,0.0011308034155593156,4.085320152401157e-08,19
52,0.0009183050513042598,0.001098768052860713,3.256689493076442e-08,19
53,0.0009183050513042598,0.001068224870938608,2.2475952319195472e-08,19
54,0.0009215670848039416,0.0010390781385568781,1.3808847754125532e-08,18
55,0.0009042479338665281,0.001011239887763517,1.144727819869538e-08,18
56,0.0008581474015606092,0.0009846291575049705,1.5997634586768993e-08,17
57,0.0008567175079515012,0.0009591713228607437,1.0496784189457317e-08,17
58,0.000805964570946984,0.0009347974989028913,1.659792332569202e-08,16
59,0.000805964570946984,0.0009114440097587834,1.1125912012052136e-08,16
60,0.000805964570946984,0.0008890519147816574,6.903506705501245e-09,16
61,0.0008044453089873065,0.0008675665848543538,3.984295467083885e-09,16
62,0.0007770254104326534,0.0008469373228017882,4.8876754911095765e-09,15
63,0.0007770254104326534,0.0008271170226954722,2.5091696190885713e-09,15
64,0.0007955923754676207,0.0008080618635219516,1.5548813233710294e-10,13
65,0.000787040219204752,0.0007897310332755479,7.2404803635930445e-12,13
66,0.000787040219204752,0.0007720864800400901,2.2361431500474428e-10,13
67,0.000785170358331303,0.0007550926870575331,9.0466630925296e-10,13
68,0.0007630598563683333,0.0007387164691543855,5.92600501048196e-10,13
69,0.0007630598563683333,0.0007229267882188362,1.610663159092182e-09,13
70,0.0007611899954948843,0.0007076945856999772,2.8617588691250513e-09,13
71,0.0007611899954948843,0.0006929926303419795,4.650880613798642e-09,13
72,0.0007593201346214352,0.0006787953795758457,6.484236175152179e-09,13
73,0.000746024173579356,0.0006650788531739809,6.552144895528835e-09,13
74,0.000744154312705907,0.000651820517932135,8.52552965732504e-09,13
75,0.0007180629635817328,0.0006389991822824931,6.2510815133340054e-09,12
76,0.0007160372809688298,0.0006265948998636209,7.999939537769435e-09,12
77,0.0007140115983559265,0.0006145888811799208,9.884876690660018e-09,12
78,0.0007430181229264903,0.0006029634125772655,1.961532189100525e-08,11
79,0.0007168875296975262,0.0005917017818442204,1.5671471465591472e-08,11
80,0.0006480980564875775,0.0005807882098212516,4.530615458244305e-09,11
81,0.0006480980564875775,0.0005702077874647767,6.066894008444271e-09,11
82,0.0006458882209098649,0.0005599464178699479,7.385993509751882e-09,11
83,0.0006458882209098649,0.0005499907628065953,9.196322470668343e-09,11
84,0.0006458882209098649,0.0005403281933676094,1.1142919414721732e-08,11
85,0.0005045040801159275,0.0005309467443689059,6.992144927957454e-10,10
86,0.0005020732609804438,0.0005218350721755939,3.9052918171275946e-10,10
87,0.0005020732609804438,0.000512982415660598,1.190096558355311e-10,10
88,0.0005020732609804438,0.0005043785600302124,5.314403708864214e-12,10
89,0.0005020732609804438,0.0004960138032762939,3.671702766838102e-11,10
90,0.0005020732609804438,0.00048787892503738065,2.0147917286453345e-10,10
91,0.0004996424418449599,0.0004799651576712582,3.8719551245261225e-10,10
92,0.0004996424418449599,0.0004722641593596481,7.495703518455325e-10,10
93,0.0004996424418449599,0.000464767989082001,1.2162274555158526e-09,10
94,0.0004996424418449599,0.00045746908331004816,1.7785921701142162e-09,10
95,0.00047381050489696546,0.00045036023428796866,5.499151916351792e-10,10
96,0.00047381050489696546,0.0004434345697749417,9.226974345373979e-10,10
97,0.00047381050489696546,0.0004366855341375941,1.3782634538841784e-09,10
98,0.00047381050489696546,0.00043010687068956833,1.9100076429339723e-09,10
99,0.00047137968576148163,0.000423692605184214,2.274057653982818e-09,10
100,0.00047137968576148163,0.00041743703037435906,2.9098100702138642e-09,10
101,0.00047137968576148163,0.0004113346915603233,3.605401328617139e-09,10
102,0.00047137968576148163,0.00040538037305387593,4.355909277876324e-09,10
103,0.00047137968576148163,0.0003995690854917766,5.156762311095362e-09,10
104,0.00047137968576148163,0.000393896053937938,6.003713200566461e-09,10
105,0.00047137968576148163,0.0003883567067181606,6.8928150492277275e-09,10
106,0.0004689488666259978,0.00038294666493586185,7.3963786955508234e-09,10
107,0.0003956185607952006,0.00037766173262130347,3.224476780668665e-10,9
108,0.00043143390193387714,0.00037249788747053826,3.4734538008228902e-09,8
109,0.00040982796524049846,0.00036745127213369945,1.7957841186678266e-09,8
110,0.00040982796524049846,0.00036251818601535794,2.2382152103315366e-09,8
111,0.0004067894413211437,0.000357695077552517,2.410256553846249e-09,8
112,0.0003490635627020576,0.00035297853693841397,1.5327023271333953e-11,7
113,0.0003490635627020576,0.0003483652892626821,4.875857961373059e-13,7
114,0.0003490635627020576,0.00034385218804061185,2.7158425861959084e-11,7
115,0.0003490635627020576,0.0003394362091062562,9.268593725859034e-11,7
116,0.0003455909639370808,0.0003351144448459678,1.0975745226645548e-10,7
117,0.0003455909639370808,0.00033088409875064843,2.16291883611897e-10,7
118,0.0003455909639370808,0.0003267424802665492,3.5526533667829627e-10,7
119,0.0003455909639370808,0.0003226869999258943,5.245915674257278e-10,7
120,0.0003455909639370808,0.0003187151647399196,7.223085824861326e-10,7
121,0.0003455909639370808,0.0003148245738381386,9.465707597202912e-10,7
122,0.00034211836517210396,0.00031101291433876746,9.675490715451147e-10,7
123,0.00034211836517210396,0.0003072779574362809,1.2138540111983975e-09,7
124,0.00034211836517210396,0.00030361755469302486,1.482312407545967e-09,7
125,0.00034211836517210396,0.00030002963452270044,1.7714612476780395e-09,7
126,0.00034211836517210396,0.0002965121988543498,2.0799224062026555e-09,7
127,0.00034211836517210396,0.0002930633199662331,2.4063974601500313e-09,7
128,0.00032623578925534795,0.0002896811374796881,1.336242566439753e-09,7
129,0.00032623578925534795,0.0002863638555037116,1.5897711010948793e-09,7
130,0.00032623578925534795,0.0002831097399216086,1.8598561311361197e-09,7
131,0.00032623578925534795,0.0002799171158116112,2.1454195095875246e-09,7
132,0.00032623578925534795,0.00027678436499388876,2.4454433614868343e-09,7
133,0.0003227631904903711,0.00027370992369685627,2.4062229831157433e-09,7
134,0.0003227631904903711,0.0002706922803361308,2.7113796842909668e-09,7
135,0.0003227631904903711,0.00026772997339990763,3.0286549833260793e-09,7
136,0.0003227631904903711,0.00026482158943491347,3.357229132869808e-09,7
137,0.0003227631904903711,0.00026196576112745313,3.6963274171389993e-09,7
138,0.0003227631904903711,0.00025916116547440685,4.045217586131341e-09,7
139,0.00033965972260955484,0.0002564065220393444,6.931095405183687e-09,6
140,0.0003356083573837485,0.0002537005912892173,6.708882146596438e-09,6
141,0.0003356083573837485,0.00025104217300736076,7.1514395399812076e-09,6
142,0.0003356083573837485,0.00024843010477879356,7.600047727253335e-09,6
143,0.0003356083573837485,0.0002458632605440399,8.05418240676868e-09,6
144,0.0003356083573837485,0.00024334054921792001,8.513348423726127e-09,6
145,0.0003356083573837485,0.00024086091336996364,8.977078147145298e-09,6
146,0.0003356083573837485,0.0002384233279632946,9.444929943454491e-09,6
147,0.0003356083573837485,0.0002360267991490159,9.916486740457444e-09,6
148,0.0003356083573837485,0.00023367036311329502,1.0391354675883007e-08,6
149,0.0003356083573837485,0.00023135308497450815,1.0869161825124914e-08,6
150,0.00033155699215794217,0.00022907405772795093,1.0502751849381884e-08,6
151,0.00033155699215794217,0.0002268324012357635,1.0967239943817666e-08,6
152,0.00033155699215794217,0.00022462726125984785,1.1433967349938867e-08,6
153,0.00033155699215794217,0.0002224578085356797,1.1902631867044144e-08,6
154,0.00033155699215794217,0.00022032323788503093,1.23729480896464e-08,6
155,0.00033155699215794217,0.0002182227673657284,1.2844646509252042e-08,6
156,0.00033155699215794217,0.00021615563745667574,1.3317472666887508e-08,6
157,0.00033155699215794217,0.00021412111027646036,1.3791186353281348e-08,6
158,0.00033155699215794217,0.0002121184688339591,1.4265560853813645e-08,6
159,0.0003275056269321359,0.00021014701630943825,1.3773043487289959e-08,6
160,0.0003275056269321359,0.0002082060753647254,1.4232383004185235e-08,6
161,0.0003275056269321359,0.00020629498748110398,1.4692019116128053e-08,6
162,0.0003275056269321359,0.00020441311232365263,1.5151767152639666e-08,6
163,0.0003275056269321359,0.00020255982713081764,1.5611452887991098e-08,6
164,0.0003275056269321359,0.00020073452612806897,1.6070911999074895e-08,6
165,0.0003275056269321359,0.00019893661996454995,1.652998955263116e-08,6
166,0.0003275056269321359,0.00019716553517168647,1.6988539520122374e-08,6
167,0.0003275056269321359,0.00019542071364277212,1.7446424318658744e-08,6
168,0.0003275056269321359,0.00019370161213259866,1.7903514376474778e-08,6
169,0.0003234542617063295,0.00019200770177624414,1.727819811745352e-08,6
170,0.0003234542617063295,0.00019033846762617774,1.7719814633589366e-08,6
171,0.0003234542617063295,0.0001886934082068816,1.8160487635899657e-08,6
172,0.0003234542617063295,0.00018707203508622777,1.8600111737856783e-08,6
173,0.0003234542617063295,0.00018547387246288809,1.90385878157716e-08,6
174,0.0003234542617063295,0.00018389845676908782,1.9475822691681448e-08,6
175,0.0003234542617063295,0.0001823453362880486,1.9911728832701956e-08,6
176,0.0003234542617063295,0.00018081407078549737,2.034622406593144e-08,6
177,0.0003234542617063295,0.00017930423115464675,2.0779231308051068e-08,6
178,0.0003234542617063295,0.00017781539907408306,2.121067830881435e-08,6
179,0.00031940289648052327,0.00017634716667802176,2.046494182932632e-08,6
180,0.00031940289648052327,0.0001748991362384182,2.0881336724107785e-08,6
181,0.00031940289648052327,0.00017347091985844376,2.129614180082716e-08,6
