rank,verb,frequency
1,be,2884
2,want,678
3,go,649
4,know,578
5,do,564
6,have,496
7,get,412
8,say,309
9,think,303
10,eat,195
11,like,188
12,write,184
13,see,144
14,make,129
15,come,126
16,put,119
17,tell,117
18,mean,112
19,look,97
20,take,85
21,read,82
22,need,80
23,give,65
24,ask,54
25,love,52
26,start,50
27,spell,50
28,try,48
29,remember,43
30,sit,43
31,miss,41
32,help,40
33,feel,40
34,use,40
35,bring,39
36,call,39
37,work,37
38,hear,37
39,guess,36
40,forget,35
41,talk,35
42,happen,34
43,play,33
44,can,31
45,leave,28
46,sound,27
47,find,26
48,finish,26
49,pick,23
50,move,23
51,live,23
52,let,22
53,keep,22
54,stop,20
55,learn,19
56,cut,19
57,walk,19
58,stay,18
59,haft,18
60,buy,18
61,will,17
62,watch,17
63,wait,17
64,sing,17
65,send,16
66,tape,16
67,become,15
68,open,15
69,bet,14
70,hold,14
71,sleep,14
72,understand,13
73,believe,13
74,fix,12
75,show,12
76,turn,12
77,sign,12
78,bother,12
79,hope,11
80,figure,11
81,taste,11
82,yell,10
83,hurt,10
84,throw,10
85,win,10
86,begin,9
87,act,9
88,pay,9
89,wonder,9
90,drink,9
91,mind,8
92,lay,8
93,fit,8
94,teach,8
95,save,8
96,end,8
97,belong,8
98,care,8
99,cook,8
100,stand,8
