rank,actual_frequency,predicted_frequency,squared_error,num_verbs
1,0.3982310768869607,0.3982419289585464,1.1776745770088517e-10,100
2,0.1504549971778251,0.14079978425969977,9.32231364943341e-05,100
3,0.0822670683969816,0.0766416949622709,3.164482627994887e-05,99
4,0.04840377071857992,0.04978024111981834,1.8946707654854627e-06,98
5,0.03215598811975904,0.03561984098567811,1.1998276676735748e-05,98
6,0.023125940536900282,0.027096931114726323,1.5768766169183197e-05,98
7,0.017416904428805426,0.02150304297271361,1.6696528200012107e-05,98
8,0.013633443096755592,0.01759997303246249,1.5733359730858962e-05,98
9,0.01112848840043984,0.014749701072538776,1.3113181216569916e-05,96
10,0.009102245959295213,0.012593515552879759,1.2188963375088002e-05,95
11,0.008244587935492913,0.010915859951593975,7.135694184004633e-06,93
12,0.007309506518582558,0.009580211870283873,5.15610279424499e-06,90
13,0.006591149112949666,0.008496341389939224,3.629757612300657e-06,89
14,0.006295467250527459,0.00760247375107577,1.7082659924755433e-06,82
15,0.005894956652490494,0.006855041593857645,9.217630946399654e-07,81
16,0.005357963485243785,0.006222530139977299,7.474755004771002e-07,78
17,0.00503559606779703,0.005681638538566832,4.173708740383504e-07,75
18,0.004767178749398139,0.005214806824433333,2.003708935597129e-07,70
19,0.004366701341636788,0.004808577073160695,1.9525416210978793e-07,67
20,0.004055655244117927,0.004452480123209768,1.5746998466625392e-07,63
21,0.00383681763547672,0.004138262549564101,9.08690362291485e-08,61
22,0.0037572794838336243,0.003859339297127381,1.0416205489556502e-08,58
23,0.003746319125874505,0.0036103992378152465,1.8474215970041354e-08,57
24,0.003592019990520806,0.003387116389340793,4.1985485776537863e-08,54
25,0.0033001792184605655,0.003185935431668378,1.3051642820618766e-08,51
26,0.003253354514667851,0.003003910306050982,6.222241321249593e-08,49
27,0.0031527547315393107,0.0028385812948989266,9.870494829042942e-08,42
28,0.0028255698923579696,0.002687880371589204,1.8958404129532348e-08,36
29,0.0028149869683638962,0.0025500575749737553,7.018758348206803e-08,34
30,0.0026525764399876277,0.002423623198166291,5.241958694049956e-08,32
31,0.0026574895906715658,0.0023073019977524296,1.2263135023449862e-07,31
32,0.0025712893827715667,0.0021999966290578133,1.3785830896034192e-07,30
33,0.0025053879272877175,0.002100758227163014,1.637251942230075e-07,29
34,0.0023436047205928913,0.002008762569435717,1.1211926619156386e-07,28
35,0.002290492771106498,0.0019232906324034736,1.3483741066807517e-07,28
36,0.0022817884183220136,0.0018437126340673487,1.919103927503397e-07,28
37,0.0020847075111273122,0.0017694748600896547,9.937162428022956e-08,26
38,0.001973248787737367,0.0017000887281450456,7.461641815648062e-08,25
39,0.0015483117679551948,0.0016351216628694577,7.535957855025366e-09,23
40,0.0014490212983946594,0.0015741894441099716,1.5667064701809616e-08,22
41,0.0010712590669471717,0.0015169497606641793,1.9864019446594745e-07,20
42,0.0010712590669471717,0.001463096755563554,1.5353677422022902e-07,20
43,0.0010140649031202336,0.0014123563909924928,1.5863610931149794e-07,20
44,0.0010140649031202336,0.001364482493949248,1.2279248796241056e-07,20
45,0.0010099692715697017,0.001319253369839932,9.565665344282943e-08,18
46,0.001004942901858975,0.0012764688919249523,7.372636328130916e-08,18
47,0.001004942901858975,0.0012359479910988007,5.336335125469981e-08,18
48,0.0009625669447862164,0.0011975264837854852,5.520598496674892e-08,18
49,0.0009625669447862164,0.0011610551864680682,3.9397582085953236e-08,18
50,0.0009562545585361931,0.0011263982740776007,2.894888393823542e-08,18
51,0.0009562545585361931,0.0010934318465599048,1.8817608349540356e-08,18
52,0.0009462534418596205,0.001062042673742404,1.3407146220004987e-08,18
53,0.0009462534418596205,0.0010321270933916949,7.374284027452138e-09,18
54,0.0009492531406549302,0.0010035900412861615,2.9524987702082998e-09,17
55,0.0009316434816642865,0.0009763441953852688,1.9981538071652177e-09,17
56,0.000881578400223436,0.0009503092188844722,4.723925433816232e-09,16
57,0.000881578400223436,0.0009254110892027975,1.9213046231614358e-09,16
58,0.0008278583619474768,0.000901581501840033,5.435101355617417e-09,15
59,0.0008278583619474768,0.0008787573396273884,2.590705928860139e-09,15
60,0.0008278583619474768,0.0008568801992322063,8.422670393813191e-10,15
61,0.0008278583619474768,0.0008358959679067284,6.460310955619768e-11,15
62,0.0007965487317258884,0.000815754444428006,3.688594003962811e-10,14
63,0.0007965487317258884,0.0007964089989893941,1.952523764819386e-14,14
64,0.0008174872437651555,0.0007778162674971632,1.5737863580556116e-09,12
65,0.0008099476891990658,0.0007599358763179669,2.501181427654049e-09,12
66,0.0008099476891990658,0.0007427301940301986,4.518191656776675e-09,12
67,0.0008099476891990658,0.0007261641071678944,7.019688617974017e-09,12
68,0.0007850006722956535,0.0007102048173208545,5.59441992141116e-09,12
69,0.0007850006722956535,0.0006948216572782179,8.132254749514867e-09,12
70,0.0007850006722956535,0.0006799859241825301,1.102809732126275e-08,12
71,0.0007850006722956535,0.0006656707279038645,1.4239635628547454e-08,12
72,0.0007850006722956535,0.0006518508530541673,1.7728874364040456e-08,12
73,0.0007699989972807951,0.0006385026332453196,1.7291293754550303e-08,12
74,0.0007699989972807951,0.0006256038363542564,2.0849962499000995e-08,12
75,0.000739896820116266,0.0006131335596981686,1.606892419182637e-08,11
76,0.000739896820116266,0.0006010721341450875,1.9272293434996317e-08,11
77,0.000739896820116266,0.000589401036292393,2.264898094876193e-08,11
78,0.0007752853381750532,0.000578102807940009,3.888095022989412e-08,10
79,0.0007453489178909585,0.0005671609821679785,3.175094043721685e-08,10
80,0.0006690721951599924,0.0005565600154012214,1.265899059406999e-08,10
81,0.0006690721951599924,0.0005462852249088443,1.507664006345631e-08,10
82,0.0006690721951599924,0.000536322731242476,1.7622420170387995e-08,10
83,0.0006690721951599924,0.0005266594051686965,2.028140275310494e-08,10
84,0.0006690721951599924,0.0005172828186955131,2.3040014807475428e-08,10
85,0.0005050578075796341,0.0005081811998327204,9.755579166639503e-12,9
86,0.0005050578075796341,0.0004993433907614754,3.2654559571654266e-11,9
87,0.0005050578075796341,0.0004907588091200476,2.0446135694725512e-10,9
88,0.0005050578075796341,0.000482417412140923,5.125875056212085e-10,9
89,0.0005050578075796341,0.00047430966339966725,9.454483705120282e-10,9
90,0.0005050578075796341,0.0004664265019585103,1.4923777739926715e-09,9
91,0.0005050578075796341,0.0004587593137078383,2.1435505347967122e-09,9
92,0.0005050578075796341,0.00045129990472690624,2.8899121191233237e-09,9
93,0.0005050578075796341,0.00044404047650137583,3.72311469191378e-09,9
94,0.0005050578075796341,0.00043697360284992667,4.635458933676713e-09,9
95,0.00047797759891679266,0.0004300922084253722,2.2930106225158206e-09,9
96,0.00047797759891679266,0.00042338954866759956,2.9798552300084308e-09,9
97,0.00047797759891679266,0.0004168591910963674,3.735459774503819e-09,9
98,0.00047797759891679266,0.0004104949978416914,4.553901447861258e-09,9
99,0.00047797759891679266,0.000404291109318296,5.429698749349358e-09,9
100,0.00047797759891679266,0.0003982419289585476,6.3577770636901856e-09,9
101,0.00047797759891679266,0.00039234210892546463,7.333437146054844e-09,9
102,0.00047797759891679266,0.00038658653673391877,8.352326246913921e-09,9
103,0.00047797759891679266,0.00038097032271405964,9.410411636273332e-09,9
104,0.00047797759891679266,0.0003754887882563731,1.0503956310587331e-08,9
105,0.00047797759891679266,0.00037013745478267727,1.1629496686866783e-08,9
106,0.00047797759891679266,0.0003649120333918144,1.2783822107483156e-08,9
107,0.0003907537762386868,0.0003598084151328588,9.576153739700934e-10,8
108,0.00043034389391558193,0.0003548226618623662,5.703456490835658e-09,7
109,0.00040462673674725316,0.00034995099764557,2.9894364463153224e-09,7
110,0.00040462673674725316,0.0003451898006645237,3.5327493709024666e-09,7
111,0.00040462673674725316,0.00034053559559901275,4.107674373683674e-09,7
112,0.00033131134725549274,0.0003359850464486508,2.1843464148126527e-11,6
113,0.00033131134725549274,0.0003315349497669414,4.999808312614471e-14,6
114,0.00033131134725549274,0.00032718222828026375,1.704962351159609e-11,6
115,0.00033131134725549274,0.0003229239248667332,7.034885432746493e-11,6
116,0.00033131134725549274,0.0003187571968717197,1.5760669185838902e-10,6
117,0.00033131134725549274,0.00031467931073849017,2.76624638702907e-10,6
118,0.00033131134725549274,0.00031068763693398833,4.253374274253276e-10,6
119,0.00033131134725549274,0.0003067796451511902,6.018044081342416e-10,6
120,0.00033131134725549274,0.00030295289977078663,8.042015437428344e-10,6
121,0.00033131134725549274,0.0002992050555661515,1.0308139660410633e-09,6
122,0.00033131134725549274,0.0002955338536366703,1.2800290496448799e-09,6
123,0.00033131134725549274,0.0002919371175555343,1.5503299644650895e-09,6
124,0.00033131134725549274,0.00028841274971905397,1.8402896705933503e-09,6
125,0.00033131134725549274,0.00028495872788542547,2.1485653224663358e-09,6
126,0.00033131134725549274,0.00028157310189169557,2.4738930518692906e-09,6
127,0.00033131134725549274,0.00027825399053842267,2.8150831018024207e-09,6
128,0.0003162322381233133,0.00027499957863222693,1.700132208707873e-09,6
129,0.0003162322381233133,0.0002718081141770682,1.9735027883913455e-09,6
130,0.0003162322381233133,0.00026867790570568806,2.2614145316860005e-09,6
131,0.0003162322381233133,0.0002656073197432061,2.5628823609925145e-09,6
132,0.0003162322381233133,0.00026259477839537696,2.8769770860659904e-09,6
133,0.0003162322381233133,0.000259638757054491,3.2028220994871453e-09,6
134,0.0003162322381233133,0.0002567377822163466,3.5395902836660035e-09,6
135,0.0003162322381233133,0.0002538904294021354,3.886501114627934e-09,6
136,0.0003162322381233133,0.00025109532117946487,4.242817948949807e-09,6
137,0.0003162322381233133,0.00024835112527710185,4.607845481240091e-09,6
138,0.0003162322381233133,0.0002456565527883517,4.980927360499514e-09,6
139,0.0003333645435761274,0.00024301035645830042,8.163879129723293e-09,5
140,0.0003333645435761274,0.00024041132905043447,8.640300090659494e-09,5
141,0.0003333645435761274,0.00023785830178842346,9.12144222041137e-09,5
142,0.0003333645435761274,0.00023535014286910397,9.606822745956958e-09,5
143,0.0003333645435761274,0.00023288575604293497,1.0095986744140431e-08,5
144,0.0003333645435761274,0.0002304640792584188,1.0588505556800024e-08,5
145,0.0003333645435761274,0.00022808408336718358,1.1083975301807006e-08,5
146,0.0003333645435761274,0.0002257447708866164,1.1582015473742022e-08,5
147,0.0003333645435761274,0.00022344517481711696,1.2082267628379324e-08,5
148,0.0003333645435761274,0.000221184357511207,1.2584394145560164e-08,5
149,0.0003333645435761274,0.00021896140959189148,1.3088077065415039e-08,5
150,0.0003333645435761274,0.00021677544891781104,1.3593016993245855e-08,5
151,0.0003333645435761274,0.00021462561959286763,1.4098932068702347e-08,5
152,0.0003333645435761274,0.00021251109101813086,1.4605556995187926e-08,5
153,0.0003333645435761274,0.00021043105698395704,1.5112642125707332e-08,5
154,0.0003333645435761274,0.00020838473480036483,1.5619952601626183e-08,5
155,0.0003333645435761274,0.00020637136446382021,1.612726754105054e-08,5
156,0.0003333645435761274,0.0002043902078586824,1.6634379273756215e-08,5
157,0.0003333645435761274,0.00020244054799165826,1.71410926198021e-08,5
158,0.0003333645435761274,0.00020052168825770015,1.76472242091526e-08,5
159,0.0003333645435761274,0.00019863295173586716,1.815260183981048e-08,5
160,0.0003333645435761274,0.0001967736805137466,1.8657063872126063e-08,5
161,0.0003333645435761274,0.00019494323503910815,1.9160458657100683e-08,5
162,0.0003333645435761274,0.00019314099349753113,1.96626439966446e-08,5
163,0.0003333645435761274,0.00019136635121481238,2.0163486633881026e-08,5
164,0.0003333645435761274,0.0001896187200830226,2.0662861771710843e-08,5
165,0.0003333645435761274,0.00018789752800913795,2.1160652617966755e-08,5
166,0.0003333645435761274,0.00018620221838522945,2.1656749955591604e-08,5
167,0.0003333645435761274,0.0001845322495792416,2.2151051736375452e-08,5
168,0.0003333645435761274,0.00018288709444544445,2.264346269687728e-08,5
169,0.0003333645435761274,0.00018126623985368582,2.3133893995244092e-08,5
170,0.0003333645435761274,0.00017966918623661638,2.362226286771999e-08,5
171,0.0003333645435761274,0.0001780954471541001,2.410849230371282e-08,5
172,0.0003333645435761274,0.00017654454887406176,2.45925107383559e-08,5
173,0.0003333645435761274,0.00017501602996906017,2.5074251761567562e-08,5
174,0.0003333645435761274,0.00017350944092791017,2.555365384267207e-08,5
175,0.0003333645435761274,0.00017202434378170927,2.6030660069702766e-08,5
176,0.0003333645435761274,0.0001705603117436562,2.6505217902561037e-08,5
177,0.0003333645435761274,0.0001691169288620775,2.6977278939254986e-08,5
178,0.0003333645435761274,0.00016769378968610682,2.7446798694487772e-08,5
179,0.0003333645435761274,0.00016629049894348715,2.791373638990947e-08,5
